author, date, rating, text
Eduard, a day ago, 5, 'Very nice ambience and high quality food, very nice staff too - seldom luxury these days. Tried smoked Amish chicken and assorted smoked seafood served with toasts - delicious, followed by heavenly cheesecake. Top notch quality of ingredients, very pleased with that. I would suggest placing guests at a greater distance from each other though, packing one area tightly while 75% of tables are vacant is concerning, and by the looks of it it was not a 6 ft. distance. May be they were expecting more guests at other tables, but we were there for a good hour and a half, noticed not much influx... Aside from that very solid performance, 5 stars, would highly recommend.'
Samantha Palermo, 2 days ago, 5, 'I’ve eaten at this restaurant three times. All three times the atmosphere, food, drinks, and service were exceptional.'
Sheila Benjamin, 3 days ago, 5, 'Halifax is one of our favorite places to dine; simple elegant room, accommodating and engaging staff, delicious food- what more can you ask for? The view is unforgettable and so is the dining experience!'
Zac Levin, 6 days ago, 3, 'Very limited vegetarian'
Kwame Williams, a week ago, 3, ''
PAUL epstein, a week ago, 5, "Went for a friend's Birthday party.. excellent service"
Jason Petersen, a week ago, 4, 'Good service. Asked for an off menu item and they had no problem making it'
Chikere McIntosh, 2 weeks ago, 4, ''
Kyrsten Musich, 2 weeks ago, 5, 'Awesome brunch spot. Come hungry and ready to enjoy the various courses. Great value for a fun and different take to brunching'
Amelia Silvestri, 2 weeks ago, 5, 'OMG this place was amazing.. we sat at the bar and had the small plate brunch. I loved the experience of eating so much I had to write a review. Evan our bartender was great too'
Ola Nesgovorov, 2 weeks ago, 3, 'The staff is super nice & polite, the location & embience is very nice.\n\nBut the food was not up to the expected standard unfortunately, I ordered a chicken breast sandwich ,came absolutely burnt.\nFrom what I see in other reviews it just seems like an issue of inconsistency in expirience.'
Jerry Lamina, 2 weeks ago, 5, ''
Samuel Lopez, 4 weeks ago, 5, 'Nice place and excellent food.goof for parties'
Sobe, a month ago, 5, "We had their brunch menu and it's very satisfying. We loved almost all of the plates and the wine was perfect. I'll recommend booking in advance since it gets very busy"
Stephen Mulkins, a month ago, 5, 'Enjoyable experience.'
Merytel Rodriguez, a month ago, 5, 'Made a reservation and went to Brunch and Bubbles for one of my best friends birthday and had such a great time! Good job and unlimited mimosas for a couple hours 10/10!'
Jose Arango, a month ago, 5, ''
Autohaus Int'l, a month ago, 4, 'A bit expensive'
April Gray, a month ago, 5, 'Beautiful place.. awesome  food'
Anthony Mai, a month ago, 4, "The vibe is definitely very nice. Has a classy feel to it but don't feel pressured to dress up though (but doesn't hurt to not). The food itself wasnt amazing to blow my hats off but it was very well flavored."
Sara Finnegan, a month ago, 5, 'Excellent brunch.'
zi nyc, a month ago, 5, 'The restaurant is inside the W Hotel. Good service and polite staff. Very nice atmosphere for a weekend brunch that included unlimited drinks and small plates for a super reasonable rate. The place is right on the river front so it has a nice nyc view.'
sal salerno, a month ago, 3, 'Food not that good & way to expensive'
LauSofia SM, a month ago, 5, 'Lovely'
Egemen, a month ago, 2, 'Very poor service experience. Sat at the bar. waited for 10 min for the barmen to ask what I’d like to drink. Waited another 10min for him to make a martini that costs $16+tax. The martini is not even served in a classic tall martini glass..The guys sat next to me, they also waited quite long just to give an order. The barmen told everyone that he is sorry for the wait. If you are 5 star hotel, the service should be similar. When not, you lose customers.'
Sean Reeves, a month ago, 4, 'Great Brunch. Food was good and vibe was nice.'
Nate M, a month ago, 5, 'Fun Sunday brunch that included unlimited drinks and food for a super reasonable rate.  Fun environment, right on the river front.'
catherine呂, a month ago, 4, 'the bubble brunch is amazing'
Terri Antonelli, a month ago, 5, 'Italian feast outside made it a different experience.'
Kash K, a month ago, 1, 'Review 2: I’m writing this review for rating the general manager. He is extremely unprofessional and rude. Literally the definition of awful customer service.\n\nThanks to other professional people who work here, the issue was resolved. That’s why I gave them a 5 star review earlier. ( Review 1)\n\nAlthough we love the food and service at Halifax, we won’t be back because of the GM.'
