author, date, rating, text
Basavaraj G, 2 days ago, 3, ''
Sachin Patel, 6 days ago, 5, 'The Rose Chai here is amazing, why buy the ingredients when these guys have perfected it!'
Gaurang Patel, 6 days ago, 5, 'I have been a customer here for years, you cannot be the quality of product here.'
Shastri Maharaj, 6 days ago, 5, ''
Vishala M, 6 days ago, 5, ''
shar s, a week ago, 5, "The ambience was pretty cool and ethnic. We ordered a couple of items from their 'Most popular' menu . Rose chai , bombay sandwich and avacado toast were amazing. A good place to visit again!"
Gina Bucchiano, 2 weeks ago, 5, 'Great coffee!'
Jason Ganz, a month ago, 4, 'This place has excellent coffee. You get to pick the flavor of coffee you want for a pour over.  In addition, everything is done by cup, any not mass made in a bit machine, your cup therefore is fresh.  However, the bagel I got was overcooked, and was hard and chewy rather than soft.  If a bagel can be made soft but not insipid, that would be the perfect bagel to have with a morning cup of coffee.\n\nI am happy that it is a female owned business and will continue to support them. Just work on the bagels and the review will become five stars.'
Anuj Mittal, a month ago, 4, 'Finally a place with nice Indian style teas'
Ravi Teja Kolla, a month ago, 5, 'Great ambiance and good taste.'
Reyes Carpintero, 2 months ago, 3, ''
Kritika Sethi, 2 months ago, 5, ''
Shabeer Mothi, 2 months ago, 5, ''
Katrina Michalewski, 2 months ago, 5, "The coffee here is absolutely delicious. Haven't eaten here yet, but its a great vibe."
delfi peralta, 3 months ago, 5, ''
Lakshmi Maddali, 3 months ago, 5, 'Love their rose chai and donuts. This place is a hidden gem (no pun intended).'
EMAN ALOFI, 3 months ago, 5, 'I really like their Rose Chai Latte, and the variety of options that they do have .. 👍'
Ian Fette, 3 months ago, 3, 'I love the Garden St location, but this location (by PATH) is chronically understaffed in the morning. I waited over 15 minutes for a latte *after* placing my order today. I don’t have that kind of time built into my morning commute.'
Paige DiFiore, 3 months ago, 5, 'Love the honey bee latte! It’s so spacious in here and very photogenic, too.'
Anurag Chaudhary, 4 months ago, 5, ''
Pratik Kadam, 4 months ago, 5, ''
Anirudh PV, 4 months ago, 5, ''
Koko T, 5 months ago, 5, 'Had their rose chai latte and purple haze coffee, both are amazing! I especially love the pink drink and the rose petals on the rose chai latte 💕 will def come back!'
Haotian Cai, 5 months ago, 3, 'Disappointing espresso, not on par with other Hidden Grounds stores. Employee not wearing mask and was busy on facetime.'
Rishi Takrani, 5 months ago, 5, 'Great experience, many options to choose from. I got a Rose Chai, it tasted amazing. Nice ambience to sit, relax and enjoy a cup of tea/coffee with friends. Do check it out, variety of options available for everyone. Also they have vegan and gluten free desserts available at Hoboken store'
Randall Blecher, 5 months ago, 5, 'A refreshingly different coffee shop with a great selection of coffee and chai drinks.  The donuts are delicious too.'
Michael Deperio, 5 months ago, 5, ''
Simon Gorelkin, 5 months ago, 5, 'Monica is the best!'
X Boone (The FiG), 6 months ago, 5, 'De-LISH ! cheesiest BeC in the area'
Dheeraj Chakilam, 6 months ago, 5, 'Vegan filter coffee with oatly oat milk is amazing!\n\nThe vegan traditional chais (spiced or sweet) are great as well!'
Tushar Sudake, 7 months ago, 2, 'Slow service.\nNot tasty.'
Jennifer Krems, 7 months ago, 5, 'Great decor and cozy. One of the best chais around!'
Christabelle Liu, 8 months ago, 5, "Loved this place when it was Simply Chai, and still love it now! Though I miss some of their DELICIOUS egg/toast/hot sauce dishes, the Bombay Sandwich is SO GOOD!\n\nI'm also a big fan of their hot Saffron Chai and hot Rose Chai!\n\nThe actual coffeeshop is so spacious and comfortable, and so well decorated as well. Things are appropriate spaced out, and I usually see the same girl behind the counter when I go (average height, short, curly/wavy hair, glasses, usually in 2 braids??). Sorry I don't know your name but you're so friendly and quick, you're a rockstar!"
Agnel J D'Cruz, 8 months ago, 5, ''
Priya Bajaj, 8 months ago, 5, ''
Parul Duggal, 8 months ago, 5, ''
Roxanna Santamaria, 8 months ago, 5, ''
Katie Mc Croy, 8 months ago, 1, 'Came to try their donuts that they post on IG, they were all super small compared to the zoomed in pictures on IG. Then, they were all stale and super dense, not flakey or soft like a donut should be...maybe cause they were stale?\n\nBiggest turn off was that we posted about it on Instagram and they deleted my comment and didn’t even bother DM-ing me; this alone tells me I will never bring business to them again. We own a business and I understand the customer is not always right but be transparent and honest, don’t just delete negative reviews smh'
Nivesh Kalra, 9 months ago, 3, 'The service is crazy slow ..there were two people in the kitchen and only one person was serving orders ... Given the number of orders I would have thought the second person would jump in to serve too. However the food is actually pretty good.'
Ananya Gupta, 9 months ago, 3, "Looks like Simply Chai has been renamed to Hidden Ground Coffee; I'm assuming the tea went selling by itself.\n\nI ordered the ginger tea and elaichi/cardamom tea. While the former was okay (not strong enough in the ginger flavor) the latter was okay and too mild to the point of being off. There were also a lot of residual strands which should have been filtered out."
Keisha Mukasa, 10 months ago, 5, ''
Mason Cooper, 10 months ago, 5, ''
Shreya Mukherjee, 10 months ago, 3, 'I’ve order ginger tea couple of times from the Hoboken store. It’s either a hit or miss depending on who’s making it. And a very expensive tea for around 6$. Also they’ve replaced the sandwiches with “naan”wiches I don’t know why !! The sandwiches were good ... but seeing the bread being replaced by naan, don’t feel like trying again !'
Ashni D, 10 months ago, 1, 'I went to the Simply Chai in New Brunswick for the first time a couple of months ago (September 2020) and had a terrible experience. There was a male staff who was very rude to me and my family. The guy was unwelcoming, impatient, and spoke very aggressively to us when we were placing our order. We had some difficulty hearing him speak while he was wearing his mask and he got annoyed at us for having to repeat what he said. I have never experienced such terrible customer service at any other place. It made us feel very sad to be treated this way.\n\nWe ordered 4 hot chai drinks and they were all lukewarm and did not even taste like chai. It was lukewarm milk with some syrup in it. The small cups were only 3/4 full and for such an expensive place I would have expected at least a full cup of "authentic chai".\n\nI came back again last week hoping for a better experience, especially because I was a regular at Hidden Grounds. However, everything I mentioned above holds true - the same staff member was rude again and there was no improvement in the quality of the drinks, which is why I felt the need to write this review. I will not be coming back again.'
Joe Vigilante, 10 months ago, 4, ''
Michael Samaniego, 10 months ago, 5, 'I love their donuts - Have probably ordered more than a dozen of them but don’t regret it one bit!\n\nMy favorite is the Rose Lemon Donut - It’s fluffy, not too sweet and just melts in my mouth\n\nWill keep ordering!\n\nI don’t understand all you one star reviewers.'
Aditya Borde, 10 months ago, 4, ''
HARSHA VARMA, 11 months ago, 4, ''
Bhavik Jain, 11 months ago, 5, ''
Roshan Bhakta, 11 months ago, 5, ''
Sourabh Saha, 11 months ago, 5, 'Wonderful chai! Especially the masala chai.\nThe Bombay grill cheese is also worth trying 💯'
anwar hyder, 11 months ago, 1, 'I wish I could give a zero. Horrible chai from the place which has the word chai in their name. Expensive and tasteless sugar water. Not sure how this place has many high reviews. Please contact me and I can share a recipe for a better chai. Good luck and take care !'
Chirag Rana, 11 months ago, 3, 'Weekdays are lame! Not a happening spot. Must visit in weekends. Overpriced for a tea lol\nStarbucks 👌'
Chinmay Nerurkar, 11 months ago, 5, ''
Jacalyn Boer, a year ago, 5, 'A really cute spot with delicious drinks.'
Shree Rodriguez, a year ago, 5, "Taking traditional Indian sweets and turning those flavors into donuts/bundt cakes..... Pure genius! Their chai, sandwiches, and bakery items are so delicious!! If you haven't visited yet, you are missing out!!"
Tatiana Super, a year ago, 5, 'Good food and doughnuts and amazing rose chai latte!!!'
Coffe lover Benavides, a year ago, 4, ''
Jin Park, a year ago, 5, 'Three words: spicy grilled cheese.\n\nWow. Hearty sando packs a punch. I’ll be back for more + cardamom tea.'
Nuha Syed, a year ago, 2, 'I drove about an hour to get some chai because I was excited to try out Simply Chai, but I was extremely disappointed with the customer service. I am not sure if the drinks are worth the customer service!'
Amit Khandelwal, a year ago, 5, ''
Akshay Arora, a year ago, 5, 'This was a nice find. Very cozy, desi and cool Indian food and drinks. The Saffron Chai Latte was yumm and the Hot Chai my friend had was also delicious!! Highly recommended.. 🌟'
Sravani Giddaluri, a year ago, 5, 'My go to chai place'
Priyank. A, a year ago, 4, 'Worth visiting! The masala chai and bombay sandwich were great.'
Krupali Patel, a year ago, 5, ''
Gaurav Singh Tomar, a year ago, 3, ''
Kritika Singh, a year ago, 4, 'An amazing place to hangout with friends and sip a cup of chai. Variety of fusion and traditional chai options. Their signature gulab Jamun donuts and rasmalai donuts are to die for. One of the amazing indian fusion places in Hoboken. Their menu is very interesting and they keep adding new stuffs to their menu. The best part of the place was dosa waffles which they have discontinued due to covid hope to get it back soon on menu!😀'
thahmeena begum, a year ago, 1, '(Ice gola) kala khatta and kacchi kairi was worst full of condensed milk you can’t even hold in you mouth toooo mucchh sweet'
Dini Ajmani, a year ago, 1, 'On three different occasions I have tried to order a speciality drink and the barista messed it completely. The staff is untrained. Today, for my mango lassi, the guy started reading the instructions for the first time. Took a long time to make it and The drink was extremely sweet. Given how expensive their drinks are, it was such a disappointment. The place is a great idea executed poorly.'
Ayush Kalla, a year ago, 4, ''
Maulik Jajal, a year ago, 5, 'Nice place for fresh Masala/Ginger Tea and tasty  Sandwich near Hoboken terminal.'
Prachee K, a year ago, 4, "Went in to grab a drink late one Sunday afternoon. There was no crowd so we were able to walk right in and order. We got a hot saffron chai latte to-go. They did have outdoor seating available but we decided to stroll the nearby waterfront instead. The saffron and chai flavors worked really well together. They offer some very interesting tea combinations. Seems like they have a really creative brunch menu too. I would definitely like to try more of their items next time I'm in the area."
Archie VS, a year ago, 5, 'Great egg sandwich. Very tasty. Their gulab jamun donut is a must have. Will definitely go back to try some of their Chai varieties. The menu makes the place seem like a fast food place but it does take a bit of time for them to get your order ready especially on a busy day. Patience and mask requires 😉'
amandeep singh, a year ago, 5, 'Good place to hang out for tea'
D Saxena, a year ago, 4, 'The food here is amazing. I’ve been twice and had the cupcakes, donuts, veggie samosa, one of the chai drinks and kala Katta. All items were phenomenal. I don’t know what other reviewers are comparing the gulab jamun donut and ras malai cupcake to. I’ve never had anything like these items, and regardless, the flavor is so strong on all items and comes through. The ras malai cupcake tastes like ras malai, the rose cupcake tastes like a rose falooda. Even the veggie samosa, though the frozen taste was there, it was still so nicely flavored that I didn’t care. Coming from downtown jersey city I know what bad cupcakes are and these are fluffy sweet and tasty. No they’re not magnolia or Carlos but we don’t need another vanilla cupcake. I will be back every chance I get. 4 stars is for the awful service. Please hire more and better people. It takes way too long for a basic order and the service is rude and unfriendly on top of it both times I have been. Sometimes slow service can be made up for by a warm smile and nice attitude, and this place doesn’t have it. But tone is set at the top so I would look for management to change this.'
Bri, a year ago, 4, 'I recently came here to try something different and enjoyed the drinks, though they are a bit on the pricier side. I love that they offer gluten free donuts, and had the lemon poppyseed. My boyfriend had a mango lassi and said the flavor was good, but would’ve preferred it to be a bit colder (this could just be that we’re not used to how it should be prepared). I noticed a lot of reviews that had issues with the staff, but had a pleasant experience when we were there.'
Yolanda Vicente, a year ago, 5, ''
Mehul Mistry, a year ago, 2, "Chai was way too expensive. Ordered ginger tea but it was okayish, didn't taste like authentically brewed chai. Also ordered Bombay sandwich which was ok."
Jane Yu, a year ago, 5, ''
Kelly Patel, a year ago, 2, 'Started following on Instagram and was really looking forward to my visit. I ordered a iced saffron chai tea latte which was disappointing. Only taste of milk and sugar came through. No saffron. I also ordered rose cupcake, ras malai cupcake, chai masala donut and gulab jamun donut. First of all the donuts where just cake mixes shaped in a round, not a donut, really dense and lacking in strong flavor. The cupcakes were GOD awful. Stale, unappetizing and the cream frosting was dense, rock hard, and tasted like thick cement. They need to do some quality control on their drinks and desserts. A place like this is an amazing concept and could do so much to advance strong Indian flavors but today’s selection was a miss. I wouldn’t go back unless they change. One star only for supporting a homegrown business and maintaining business during a pandemic.'
Aditi Gupta, a year ago, 1, "We ordered signature golaganda (crushed ice that costs more than $7 at this place after taxes) and all we got was rose flavored icy milk. This was supposed to have three flavors. Maybe they should tell people if they are out of 2 of the 3 flavors. I was so excited to try my favorite childhood dessert and was sorely disappointed. Who adds milk to gola?? Ridiculous.\n\nEdited to respond to the owner response: We were the only ones there when we ordered, and the server called us specifically to give this order to us on a table close to us (we didn't pick up the order from the counter). No one else came in or left during this time. Maybe you need to train your staff to prepare the correct order. We live 40 minutes away so can't just hop in again. Thanks for the response though."
saumil joshi, a year ago, 4, ''
Raj Asokkumar, a year ago, 1, 'To the Owner- Please teach some basic customer service to the person who is taking the order. I walked in to your place at 2:30PM- Aug 30th. The person taking the order said I may order the food through her or through the tablet. So we decided to order the food through the tablet. In the middle of the ordering process, the tablet timed out and deleted our cart before placing the order. So we walked up to her to place the order through her but she refused to take our order claiming that she was busy. When I went back to the tablet there was already someone placing the order and they took almost 10 mins to complete their order. When I asked her to bump our order because we were there before she refused and gave us a irresponsible reply to us. She simply said sorry with a horrible attitude but refuse to take out order. This place is really slow and if you are short of staff, hire an extra person. I saw 2 people walked out without placing the order  because this place is order. Please teach some basic customer service to your employees and tell them to apologize when they mean it or have a solution. You lost my business!'
Anisha Thaker, a year ago, 5, ''
Vineeth Nair, a year ago, 1, 'The staff wasn’t wearing gloves while preparing and asked for tips; Ordered rose chai latte: very sweet . Not satisfied!'
ABHIJEET TAWAR, a year ago, 5, 'Really nice place for brunch'
Rohan Randeria, a year ago, 4, ''
Anupama Prakash, a year ago, 4, ''
Sameer Misra, a year ago, 1, 'We went there again on August 1 around 8:40-ish in the evening. We were really hungry and placed an order for two sandwiches, one chai and one soda. There were two orders before me and the service was really slow. About 20-25 minutes after placing the order, they informed me that they stop preparing sandwiches 15 minutes before closing. I wish they informed me earlier or if there was a simple notice saying the same thing in the store then I wouldn’t have wasted 25 mins standing waiting for my order. The chai was disappointing for 5 bucks, which is more than Starbucks, and so was the Kala Khatta soda.\nI was there in early January as well when the menu had dosa waffles. The food was good back then but the service was slow and disappointing.\n\nEditing after owner’s response since there is no option for reply:\nAt least the staff should have a glance at the orders coming in and let people know they won’t be served food instead of making them wait for 20 mins before informing.\nWhy I called the chai disappointing?\nIt wasn’t good, I didn’t like it. When we pay $5 for a coffee or chai whether at Starbucks, Tim Hortons, a local chai shop or any other place.. we expect it to be good :)'
Sahil Patel, a year ago, 3, ''
Sushobhita singh, a year ago, 5, 'Such a beautiful ambience! Perfect fusion cafe...I had mango cup cakes and Green Mango soda drink. Both the items were yummy 😋 Definitely reccomend this place.'
Jayeeta Putatunda, a year ago, 1, 'Horribly slow service. Staff should be a little more courteous.'
abhishek jain, a year ago, 1, 'Horrible service looong wait and still got wrong order. When reported to the cashier , she started arguing and said that she cant fix and had to call the manager\nDrinks were good but food items were horrible\nWorst service ever!'
Sachin Jain, a year ago, 1, 'horrible horrible service.. extremely impolite and rude staff..\n\nThey serve wrong orders and refuse to correct..'
Dixie Mortals, a year ago, 5, 'I enjoy how simply chai is a chill environment with unique Indian/ Hindu (not sure the accuracy on that) style decor and options. I recommend this place even if your just stoping by. It is toward the pricy side but its quality worth.\n\nMy go to is Alex since the start. There’s a new girl that works there she is my other go to. Not sure what her name is, it start Ed something.'
Anumeha Jindal, a year ago, 5, ''
Fatima Dastagir, a year ago, 5, 'This is the best place to fulfill all your chai cravings!! ALEX is my go to person and all time fav also!!! 100% RECOMMENDED 😊'
Swaptik Chowdhury, a year ago, 5, ''
Manan Shah, a year ago, 3, 'A little expensive tea cafe with some variety delicacy. A elaichi/ginger chai along with Jalapeno poppers and Dosa Waffle are things to go for when you visit this place. Some snacks are overpriced like the above 2 but it is a must try when you visit this cafe. The falooda I tried in the end doesn’t live upto the expectation since it was full of ice and essence'
Anuja Shah, a year ago, 5, 'In love with their drinks n dosa waffles'
Jared Johnson (Jared), a year ago, 3, 'The flavors are there, but nothing is so authentic nor elevated to justify the inflated prices, especially for the baked goods.'
Deepak Shah, a year ago, 5, 'Loved it'
Amit Mhatre, a year ago, 4, ''
Lisa Proctor, a year ago, 2, 'Been to this Cafe many times. They have really great Teas. My Boyfriend, his friends, and me usually order the Magic Masala Chai and the Cardamom Chai.\n\nI recently ordered from Simply Chai through Grubhub delivery. Our teas smelled sour and made our tummies hurt a little.\n\nNot sure if it was just an off day or maybe something happened during transit with Grubhub.\n\nWe will still be back as this seems like a one off situation.\n\nThanks'
Best Foods New Jersey, a year ago, 5, ''
Yashas Bysani Muralidhar, a year ago, 5, 'Amazing place. Love the mild flavored chai.'
Shrayank Gupta, a year ago, 5, ''
Sonia Malhotra, a year ago, 3, 'Great fare and ambience however they always seem to close down earlier than the usual time. Happened once when I was there with a friend, we were told on entering that the place is shutting down at 6, when the usual time is 8 pm; we finished in a hurry and left.  Second time, called them beforehand and same response. It will be good if the website and the auto response on the phone number can be updated to reflect actual timings.'
Ginette B, a year ago, 4, 'Menu leaves a lot to be desire. Not many grain free options, but the place is very spacious if you need to work. Decor is cute. Lots of natural sunlight'
sanjana rao, a year ago, 4, ''
Sean Singh, a year ago, 4, 'Loved the atmosphere. The order taker didn’t tell me when my order was ready which meant my order sat on the counter for a few minutes. The turmeric latte was delicious as turmeric flavored things go. The dosa waffle was just okay. Based on the name I wanted something with a little more flavor. I would return to try more of the menu.'
girishc78, a year ago, 3, 'Ginger and masala chai was good, waffle dosa was so so, not great.'
Abhimanyu Gupta, a year ago, 5, ''
Sudeepta Sahu, a year ago, 1, ''
Rashmi Kamath, a year ago, 5, ''
Rushabh Maru, a year ago, 5, ''
Aditi Prabhu, a year ago, 4, ''
Prachi Teltumbde, a year ago, 4, ''
Aditya Phulsunder, a year ago, 4, ''
Ben and Stef Thornberg, a year ago, 5, "Killer little spot. I'd highly recommend the ginger chai."
Aneesha Krishnakumar, a year ago, 5, ''
Devharsh Trivedi, a year ago, 5, ''
sarita shinde, a year ago, 3, 'I had higher expectations from the place. The ginger tea was good but the chai latte and saffron tea were disappointing. The waffle like dish is something called- angry young woman, which was average. The the other open toast was good.\n\nI would go here again only for the ginger tea and under dire circumstances.\n\nStill look for that amazing cup of strong tea!'
Jayrut Patel, a year ago, 2, "They don't prepare indian chai. They buy ready to drink Girnar chai packets and add hot water and flavors. Poor choice of the menu and expensive food for the breakfast."
SUPRIYA PAI, a year ago, 5, ''
Zachary Smith, a year ago, 4, ''
Karishma Rane, a year ago, 5, ''
