author, date, rating, text
Meidos De Jesús, a week ago, 5, ''
Lauren Reich, 3 weeks ago, 5, "I've been to House of Que 5 times and I've had a wonderful experience every single time. I am not even a huge meat/BBQ eater but the food here is so good and so is the 512 sauce which I would eat just by itself if possible. The sides are all delicious but the corn pudding is above and beyond. I dream about it, I think about it all the time, I wish I was eating it right now. I don't even have photos of the food because I eat it all so quickly my brain doesn't have time to process the idea of taking a photo. I've also had a GREAT time at Dueling Pianos (I'm the nerd asking for them to play Hamilton.) I highly recommend stopping by!"
Amit Dutta, 4 weeks ago, 4, ''
Amit Mhatre, 4 weeks ago, 4, ''
Joe Tomic, 4 weeks ago, 1, 'Not one to write reviews, as I don’t think anyone’s opinion should deter you from having a good time. With that being said, I have never been treated as poorly as I did on Saturday afternoon. It was my friends 27th birthday and we arrived at House of Que in great spirits. Unfortunately I could not say the same for some of the Saturday staff. As soon as we sat down, the bartenders grew visibly upset and our entire group became uncomfortable (about 20 of us). We ordered food and drinks and did our best to enjoy our company! Over time, we went from being unhappily served to completely overlooked. If the bar was busy, thats completely understandable - it wasn’t. When we inquired if there was a problem, one of the bartenders called my girlfriend a rude name that I don’t plan on repeating. Shortly after, I was told we would no longer be served for the “safety of others.” No reason was provided. Rude servers, rude security staff, and an overall poor experience. Hoboken has plenty of phenomenal places to spend a beautiful Saturday afternoon, this is not one of them!'
Lindalee Battaglia, a month ago, 5, 'Love it.'
Advait Gharat, a month ago, 4, "The ambiance was amazing. There was karaoke, which was great. Super sweet and helpful staff. The chicken burger wasn't the best, but wasn't bad either. My friends who had the beef burger liked it. All kinds of fries were amazing. The normal ones were better than the curly tho."
Anastasiia S, a month ago, 1, "If you don't know how to pack your food for takeout so it's not all mushy and gross then don't give the takeout option. All containers were crushed, food is bland and all our family feeling sick now. Don't ever recommend anyone to eat here 👎"
Johanna Báez Amador, a month ago, 5, ''
maurice otayza, a month ago, 5, '(Translated by Google) Linda Vista ❤\n\n(Original)\nLinda Vista ❤'
Lior Naaman, a month ago, 5, ''
Shadi Sheikhfaal, a month ago, 4, "Not the best brisket and sausage I've tried but the wings were delicious"
Kennyomar Garcia, a month ago, 5, 'Staff super friendly and attentive. Delicious food and awesome views of NYC.'
