author, date, rating, text
Paula Mannarino, 3 weeks ago, 5, ''
Fargol Araghi, a month ago, 2, 'I had a bad experience at this place! I am not sure about the level of cleanness!'
Ryan Kelly, 2 months ago, 5, 'A bit pricey but the rolls are quite good. A go to place for good sushi in hoboken'
Peter Rabatt, 2 months ago, 5, ''
Steven D'Addone, 2 months ago, 5, ''
Timothy Auyeung, 2 months ago, 3, 'Everything is good, just never told me about a 3 dollar delivery fee.....'
Nil Cor, 3 months ago, 5, 'Love this place. Have been attending for years now.'
Frances Carr, 3 months ago, 4, ''
Erin Rodriguez, 3 months ago, 1, 'Illuzion left a sour taste in my mouth. I was really excited to try their sushi as it was one of the few sushi restaurants in Hoboken that I haven’t tried yet. Last week, I went to go pickup my takeout order & when I got there, I was asked if I picked up the order 10 minutes ago. Turns out they gave my order to someone else. I had to wait an additional 25 minutes to get my order remade on top of the 30 minutes I had already waited.\n\nTip for the restaurant: ask for the customer’s names when you’re taking an order on the phone. Mistakes can happen when you only take the customer’s phone number.\n\nThe sushi itself was below average. The Philadelphia rolls had so much cream cheese that it reminded me of bagels from Dunkin that are notoriously always loaded with pounds of cream cheese. The rolls weren’t fresh, tasted mushy, fell apart easily, and I didn’t enjoy a single bite.'
Alaa ElShazly, 3 months ago, 1, 'The waiter was very rude any requests was declined, i wont recommend the place for anyone'
Coupling Gamers, 3 months ago, 5, 'It was amazing great service and food'
Hoda Tantawi, 3 months ago, 2, 'I wanted my sushi without rice. Yes its a weird request but I get it everywhere we go.Some times I get charged extra and I dont mind. When I asked and she said no, I told her you can charge me more she said no very rudely. I asked if she can ask if its possible she said no'
Allan Xiao, 4 months ago, 3, "Service was good, I ordered salmon tataki but somehow they heard it as teriyaki. They refunded that so will give them a star for that.\n\nBut food overall was meh, especially for the price. Bought 2 lunch specials: 3 rolls, udon tempura. Sushi didn't taste like fish, more like sweet potatoes. Udon Tempura, shrimp was small and the tempura in general was more like biting a hard cookie and very dry. Half the udon was just greens. Didn't eat much of it，just drank the soup.\n\nSalad was just lettuce."
ed G, 4 months ago, 1, ''
Ray Tsang, 4 months ago, 2, ''
eda kurt, 4 months ago, 5, ''
Robert Checchia, 5 months ago, 5, ''
IEmersonTellEmI, 5 months ago, 4, 'Great food and staff is really nice!'
Luis Velez, 5 months ago, 4, 'Had the spider ramen which was delicious and filling. Had zero wait time but got busy real quick. Service was good.'
Megan Gillen, 6 months ago, 4, 'This spot has good sushi as well as ramen. Both times I’ve gone I’ve had good service and didn’t have to wait long for a table. Food was tasty - I’ll definitely be back!'
Tejaswi N Rao, 6 months ago, 5, ''
amber white, 6 months ago, 5, 'Friendly staff, great fresh food'
David Rosensaft, 7 months ago, 4, 'Interesting food. Very fast service'
Marc Cohen, 7 months ago, 1, 'The service was absolutely terrible. They truly don’t care about their customers and the food is extremely subpar. Would highly recommend avoiding.'
Foo McCoolio, 7 months ago, 5, ''
Neil Shah, 7 months ago, 2, 'Used to love this place, and it was my go to sushi in Hoboken for 11 years. But the food I had today was awful. Lobster we straight rubber. Tuna made me gag. Salmon was okay. And the shrimp was slimy. I should have known better based on how quickly my meal was ready, but nothing seemed fresh. Hopefully this was an anomaly.'
Isabella Cauley, 7 months ago, 5, ''
Hazzel Bx, 8 months ago, 5, "I ordered here last night and just wow. I ordered tuna tataki, sushi deluxe, yellowtail jalapeno rolls and chicken teriyaki for the family. This was by far the best Japanese food I've had in a long time. Everything tasted so fresh. We were so happy with the quality of the food we will most certainly be ordering from here again."
Yailine Avalos, 8 months ago, 5, ''
Cesca Cat, 8 months ago, 5, 'Love it here, the sushi is so good, always fresh!'
Alejandra “Ale” Santana, 8 months ago, 5, 'Simple, neat and simple. Very comfortable and delicious ramen soup and green tea tempura ice cream. I would like to visit again!!'
Anaury Garcia, 8 months ago, 5, 'Loved the place. Food was excellent. When I visited was just opening so there was not a lot of people.\n\nYou can bring your own bottle!'
Wendy T, 9 months ago, 5, "So delicious and clean tasting. I luv this place! I always get the fried rice or udon with vegetables in a stir fry teriyaki sauce and it is absolutely AMAZEBALLS!!! Things to note: call ahead, pay ahead, and parking is tough. It's best to arrive on 4th St. and request curbside, if they're not too busy to accommodate. Very nice staff, fast service, and packaged very well."
Alberto Salin, 9 months ago, 5, ''
Resourceman1, 9 months ago, 1, 'I am so sorry to have to post this poor review. I had such a nice meal all went well. Then I get home today and check my credit card and they added $10 tip to my credit card when I left $11 cash tip. I do this so they get their money right away and this is how they repay me for thinking of them. This is either the greedy owner or host I have no idea ,but be aware they have no problem adding to your card. I am 100% sure the bill is $52 I have the receipt . They charged my card $62. what a shame because I liked it there now I will never go back. shame on you !!!!!'
Eni A, 9 months ago, 5, 'Great sushi place. Fresh and delicious. Highly recommended!'
Chris Frie, 10 months ago, 5, 'The Miso Black Cod appetizer is amazing 👏'
Kevin Schultz, 10 months ago, 4, ''
Will Horne, 10 months ago, 5, "Love Illuzion. I frequently drive to Illuzion from Jersey City because it's so damn good. Not only is it great but the prices are great as well."
Emily Ng, 10 months ago, 5, 'Got the california roll dinner and it was great! Really filling and tasty :). I review a lot of place in Hoboken on my insta emilys_travels'
Elizabeth Minett, 11 months ago, 5, ''
Palash Agrawal, a year ago, 5, ''
Thieng Le, a year ago, 5, 'Very excellent place. Fresh. Service was paired well.'
Erica Brackman, a year ago, 5, 'The fish here was extremely fresh. The servers were also knowledgeable about gluten free requirements and things I needed to add or change. I thought the nasu miso was just so so but the sushi was 🔥'
Brendan E, a year ago, 5, 'This is my favorite sushi in hoboken. Great prices too'
Ari Freuman, a year ago, 5, 'My go-to sushi spot in Hoboken. Service could stand to be friendlier.'
Zain M, a year ago, 5, ''
María Paula Díaz Contreras, a year ago, 5, 'Good service and good Ramen!'
Yury T, a year ago, 5, 'Delicious sushi & really good Ramen. The prices are a little high but it’s absolutely worth it.'
Christian Gonzalez, a year ago, 5, ''
Dee Rodriguez, a year ago, 5, ''
Christopher Urbane, a year ago, 5, 'My go-to sushi place on Hoboken for many years now whenever I come to visit.'
Karan Sethi, a year ago, 4, 'Great food and good vibes.'
Sophia T, a year ago, 4, 'Decent sushi with a nice setup'
Michael Rosen, a year ago, 4, ''
Harsh Patel, a year ago, 5, ''
Zhiying Jiang, a year ago, 5, 'Great food and great service'
Vincent Maupu, a year ago, 1, 'This place is absolutely not transparent ont their pricing. I placed on order based on the menu provided on THEIR website and found out when they deliver the food that the prices had actually been increased by more than 40%!!!\nFor instance, their Maguro sushi is advertised at $3.5 per piece on their website while the actual price is $5!!!! When I called to complain about this huge gap in prices, absolutely NO EFFORT NOR PRICE ADJUSTMENT were provided.\nThe official website is actually pure PRICE MISLEAdING and FALSE ADVERTISING. I just don’t want anyone to fall I the same trap and will make sure to follow with official institution to see if any legal action can be intended against these thieves!'
David Torres, a year ago, 5, ''
Robert Diaz, a year ago, 5, ''
Bailey Mariner, a year ago, 5, 'After trying 3-4 other local sushi spots I think Illuzion takes the cake for takeout! Definitely our go to for salmon avocado rolls, the fish is really good and the price is on point. I’ve only dined in once but it was a positive experience. Always nice staff.'
Natali Gonzalez, a year ago, 3, 'Did takeout, food was good, have to try different menu items to give a better review'
Diana Sanchez, a year ago, 5, ''
swapnil moon, a year ago, 1, "Service is not that good here. The vegetable rolls are ok, but you have to be careful of you don't eat fish, the rolls I had ordered had some fish eggs on them."
Arianna Arias, a year ago, 5, ''
Matteo De Santis, a year ago, 4, ''
Principia Betrò, a year ago, 4, ''
Tim Tatulli, a year ago, 5, 'Hands down the best sushi in Hoboken.'
D, a year ago, 5, ''
Flordaliza Araujo, a year ago, 5, 'I love their sushi!! It’s so delicious and it’s BYOB. The only terrible part it’s the parking.'
Clifford Gallegos, a year ago, 5, 'Fantastic food, friendly employees, regularly excellent character. They charge affordable rates and the food quality is fantastic. I recommend this place.'
Sarah Pinski, a year ago, 1, 'Rude rude rude rude and very rude'
Anil Katwaroo, a year ago, 4, ''
Gina Dawson, a year ago, 4, 'Byob'
Marco Cammarata, a year ago, 4, ''
Robert Schaedler III, a year ago, 5, ''
Rich West, a year ago, 5, ''
