author, date, rating, text
Gary Berger, 4 days ago, 5, ''
Michael Desousa, 5 days ago, 5, 'I can honestly tell you that the chicken wings here are no joke. Make sure you get the chicken wings'
Aneesh Shinde, a week ago, 5, 'One of the best pizzeria to have a cheese slice!'
Mr. Joanna Dark, a week ago, 5, "I ordered 4 boxes of  Pizza for my daughter's birthday the night before, hoping this would eliminate the problem of my food getting on time. My Pizza arrived an hour later than expected. They didn't even call me as a courtesy to inform me that my delivery would be late. When I called, I was told it should be there as we spoke and the driver still didn't arrive. When I finally got the Pizza, the pies looked burnt/recooked. I will not recommend this place for delivery and terrible customer service. I should have ordered from another place. Avoid ordering from them; you might as well starve, and it seems you pay for old Pizza. I wish they had negative stars as rating."
Mitchell Reiff, a month ago, 5, ''
Eric J, a month ago, 5, 'Amazing pizza and even better service. The owner clearly takes care of his customers and truly cares about their experience.'
matthew dogali, a month ago, 5, ''
epicsushi íí, a month ago, 5, ''
Liz Sperman, a month ago, 5, 'Says they are open until 3AM online but got there 250a, and they closed already.\nKeep your google info up to date or don’t close early. Do you not want to make money?\nPlus new ownership changed the mushrooms, I mean I love fresh mushrooms but the old ownership did it better. Guess I’m a Basile’s girl now. 🤷\u200d♀️'
Kathy, a month ago, 5, ''
Darell Reyes, 2 months ago, 5, ''
The Critical J, 2 months ago, 5, "PROS: This pizza place is the best parlor overall in the area. Unlike the other pizza parlors this place is big, clean, and has room to sit down. They accept credit cards for any size purchase and the employees are nice. It's located where many of the bars are and they offer a variety of toppings just like any parlor would\n\nCONS: The tables can only hold 3 people max. so if you have a group of 5+ then you're out of luck on grabbing a place to sit\n\nOVERALL: I will be coming back here. This place is the best around, so why would I settle for less?"
Erick Van Der Maas, 2 months ago, 5, ''
Zachary Seelenfreund, 2 months ago, 5, ''
Adrian Gomez, 3 months ago, 5, ''
Abhi Patel, 3 months ago, 5, 'The food was soooooo goooooooood! Customer service was amazing!'
Phil Beyli, 4 months ago, 5, ''
Holy Bananas, 4 months ago, 5, ''
Auqix, 4 months ago, 5, ''
Adam Valvo, 5 months ago, 5, 'Great big good slices!!'
Dennis Leon, 5 months ago, 5, ''
Stacy Bertrand, 5 months ago, 5, 'So good, and the staff was so sweet! ❤'
Christina “Giggles” Mansen, 6 months ago, 5, 'Went with friends for italian pasta dishes and was kind of appalled that they were charging 14-15 dollars for pasta dishes where they are clearly skimping on the spaghetti, sauce, and meat. Seasonings on the dishes left a lot to be desired and we found metal shavings in some of our pasta dishes! Cannolis are also very subpar despite the premium price. If your going for Italian food in hoboken, this is not the place to stop'
Sakshi Naik, 6 months ago, 5, 'Very tasty Pizzas.\nStaff is extremely friendly.\nPizza slices for just 5 dollars or so... Very fulfilling. Best pizza place in Hoboken.'
Anand Patel, 7 months ago, 5, ''
Carlos Rivera, 7 months ago, 5, 'Food was delicious'
Kyle “Kt”, 7 months ago, 5, ''
esmil .com, 7 months ago, 5, ''
adam decicco, 7 months ago, 5, 'These guys have taken over and are KNOCKING IT OUT OF THE PARK!  Everything is fresh and tastes outstanding. Specifically, their sauce is "sweet" because of the fresh ingredients. Absolutely the best pizza in town right now. Don\'t fall for fancy gimmicks. This is the real thing.'
Genti Mullaj, 7 months ago, 5, 'The best pizza I have ever had. Amazingly crispy'
Infospeed NYC, 8 months ago, 5, "Was passing through and needed a slice. The nearby competition wouldn't take cards for under $10.  I asked on the street for a decent  place and was pointed in this direction ...under $10 on the card? no problem. So I tried the margherita pizza and was pretty amazed. Nice thinner crust , great sauce and taste and it's definitely up there in the above average,  higher quality, genuine Italian pizzerias."
E M, 8 months ago, 5, 'We had heard Impostos was under new management so we decided to give it a try. Safe to say we were pleasantly surprised! We have been looking for a solid Buffalo chicken slice in Hoboken since we moved here 3 years ago and this one is definitely the winner. The regular slice is great as well which is an added bonus. We’ll definitely be ordering from here again!'
Kecia Cotton (Kay), 9 months ago, 5, 'They make the best chicken Caesar Salad ever!!'
Jose Ramon Rodriguez, 9 months ago, 5, 'Nice cervices very nice people'
Thomas Link, 10 months ago, 5, 'Under new management. Great food in a newly renovated space.'
Dasha Katovich, 10 months ago, 5, 'Delicious food! The place is clean and has great customer service!'
Mark Leach, 10 months ago, 5, "The owners Alvin / Blair are great guys...and although Imposto's is under new management...they have retained the previous cook who is very good."
Erica Lopez, 11 months ago, 5, 'Um...terrible I ordered fried calamari they tasted like they came from boxed food.stale no flavor no salt no pepper nothing. I ordered garlic bread WITH cheese and they couldn’t even do that right they left out the cheese. Terrible a simple order gone wrong.'
David Rosensaft, 11 months ago, 5, 'Always reliable, tasty Italian food.  Not fancy.  Outdoor seating & takeout available.  Fair prices.'
Peggy Dyer, 11 months ago, 5, "Love the pizza it's very very very great pizza"
David Newman, 11 months ago, 5, ''
Anna C., 11 months ago, 5, 'The Hispanic guy making the pizza was very friendly and made sure our table was sanitized before we sat on them to eat. Was a bit pricey, but cant complain much after it being the only spot open after 10 pm.'
Dev Chatterjee, 11 months ago, 5, "Under new Management and the new management is amazing! Food quality went up 10fold and a much friendlier crowd. The guys from Gio's in midtown (which is already  a great spot) took over this and the quality is exceptional. A little bit more on the pricier end but you get what you pay for (and it's worth the dollar). Keep it up guys."
Terik Ahmed, a year ago, 5, 'We had some good heroes togo. They have a good sauce recipe and quality ingredients.'
Cristina Herrera, a year ago, 5, 'Clean, friendly delicious 🍕'
Valerie LaMastro, a year ago, 5, 'Heard about the new owners and gave them a shot tonight! Really yummy (says my husband!) and friendly service! Just a heads up for a quick fix - on Seamless, you have the ability to pick your toppings per half (left and right side) but I don’t think that is translating to the order that the chef sees. Tonight we had like 6 toppings over the whole pizza but we were trying to make a meat side and veggie side, so I ended up not being able to eat it. If you can fix that, we will definitely order again! Thank you!'
Eric Cruz, a year ago, 5, "New owners are very polite. New menu is very good. Food is great. I recommend to try the new menu. It's excellent."
Amanda Garner, a year ago, 5, 'Went to Pizza several place from Newark to Manhattan. This was the best pizza. Also the friendliest and cleanest.'
Anil Patel, a year ago, 5, 'The pizza is very good. I enjoyed their food. Staff are friendly.'
Luke Leonard, a year ago, 5, 'I am incredibly happy that I recently revisited Imposto’s! I had heard that there was new ownership, but unfortunately I had yet to make the trip. Since grabbing a slice for lunch a few weeks ago, my roommates and I have been ordering their food regularly. The pizza is fantastic and they have a long list of delicious entrees as well. I am writing this review while eating a delicious Imposto’s chicken parm slice, I hope you enjoy as much as I do!'
Ariel Self, a year ago, 5, "The new owners of Imposto's go above and beyond to give top notch service. They're friendly and personable.. not to mention their food is DELICIOUS. I was addicted for an entire week, literally went there every day. I even met Alban & Blers (brothers/owners) parents, who were also very sweet people. I love a family business :)  I can't recommend Imposto's enough, any time a friend or client is new to visiting Hoboken, I take them to Imposto's for the best WORLD FAMOUS pizza. I would tell you which one is my favorite.. but it's so hard to choose!  Highly recommend!"
Louis Dapron, a year ago, 5, ''
Fred Dedomond, a year ago, 5, 'The food is nice and fresh and appealing to the eyes'
Pat M, a year ago, 5, ''
Kouryou Ngin, a year ago, 5, ''
PAUL santana, a year ago, 5, 'Came here on a date with my girlfriend, and we will definitely be going back. I was excited to try/find a new pizza place because seemingly all other pizza in Hoboken started to blend into one neutral flavor. The slices are huge and the vast cannoli flavor options was intriguing. I can’t wait to go back to try them all. Over all very friendly staff and one of my new favorite locations.'
Tisha Concepcion, a year ago, 5, 'I love the spaghetti and meat balls definitely coming back'
Marilyn Rotondella, a year ago, 5, 'Great pie'
Joseph Aubourg, a year ago, 5, 'Great pizza and service'
Latonya James, a year ago, 5, 'Pizza was very delicious!!!'
Nas Dafku, a year ago, 5, 'Everything from appetizer to dessert was absolutely delicious! The fried raviolis were amazing! The pizza was crispy, perfect amount of sauce and cheese. The fruity pebble cannoli is a must! The new owners really take pride in their work and it shows in their food and presentation. 5 ⭐️ all around!!!'
Philip Pachade, a year ago, 5, 'Got two plain slices of pizza, it was awesome!'
Susan L. Ratte, a year ago, 5, 'There is NOTHING average about Imposto\'s 🍕 at all!!! One of the best mushroom slices ++ made with FRESH 🍄 slices, never canned ++ I\'ve had in quite some time! Two brothers work this pizzeria, with as much love and care as Primo and Secundo in "Big Night," the famous 90s Indie movie to cause a restaurant revolution, according to Mario Battalli!'
jonathan ortiz, a year ago, 5, 'Used to work there'
Christina G, a year ago, 5, 'Buffalo chicken pizza is slammin. Also BYOB.'
Gary Garza, a year ago, 5, ''
D Jr, a year ago, 5, 'The pizza is okay.'
maria del pilar sandoval tarazona, a year ago, 5, ''
Dia “MzChaos” Aka MzChaos, a year ago, 5, ''
Daniel, a year ago, 5, 'Great pizza.. Very thick slices'
RABAH BENLEFKI, a year ago, 5, ''
Adrienne Wolf, a year ago, 5, "Delicious slice of pepperoni pizza...loved thst the crust was crispy on the bottom but toppings nice and melty fresh. Sauce has bright flavor if you eat some on it's own off the pizza you can taste it. Better than my local pizza in Northern Va."
James Provence, a year ago, 5, 'This pizza is terrible'
