author, date, rating, text
Alex R, 2 days ago, 3, 'Prices are high, but food is unrefined. Can find better easily. Service is not bad. New decore is comfy. They just need to make food with better recepies.'
Simon Myoung, 2 days ago, 5, 'ㅇㅇ 졸맛임 추천 아저씨도 친근함 강추'
cristina marin, 5 days ago, 5, 'Great food and service!'
Kapil Gupta, a week ago, 4, 'Tasty food.'
Ari Jiang, 2 weeks ago, 3, 'We just moved to Hoboken and saw this place has hotpot so decided to try it. Do NOT recommend. I can make much better hotpot at home that’ll cost less. The hotpot we had there was pathetic. Ugh. What they make is so amateur and is overpriced for what it is. If you want authentic hotpot go to Manhattan, LIC or best - flushing. If you don’t wanna travel, do yourself a favor and go to h mart and just buy ingredients there.\n\nOnly reason not giving a lower star is that the younger waiter was very considerate and caring. We really appreciate his service - hope you find a better place to work.\n\nWe’ll try this place’s regular dishes and revise review if needed.'
Danielle Eichenbaum, 2 weeks ago, 5, ''
Lalit Bansal, 3 weeks ago, 5, 'Such a delicious food! Too impressed!'
Auston Tighe, 3 weeks ago, 5, 'Prices for Hoboken were reasonable. Food was really good I had the duck and was able to try their beef noodle bowl. Broth in the bowl was thick, had volume and depth. All around good place with nice pricing and hours.'
Katrina Cheung, a month ago, 5, 'Some of the best Chinese food I’ve ever had and it takes a lot for me to say that as a Chinese person. Love their beef and broccoli, the chicken fried rice and their chicken wings. Everything is always so good and it doesn’t make you feel bleh afterwards which is great.'
Michael Quinlan, a month ago, 5, "Excellent food, great service.  My only regret is that I ordered pork fried rice thinking I was specifying the type of rice that went with my lunch special, when what I actually received was a meal-sized portion in addition to my meal.  It was delicious nonetheless!  I'd go back again soon if it weren't for all the other places in Hoboken I have yet to try."
J F, 2 months ago, 1, 'Food was disgusting. Chicken was inedible. People must have terrible taste in food to think this is actually good.'
Matteo De Santis, 3 months ago, 5, ''
Allison Serries, 4 months ago, 5, "Love this place! It's like a gourmet Chinese restaurant. Very happy professional service. The food is amazing. I tried almost everything on the menu and still not disappointed. It's BYOB. Very convenient location being that a liquor store is next door. My husband is very picky with food and he can't stop talking about how delicious the food is. Number one Chinese dining in Hoboken. Oh, and if you like spicy,  they'll recommend a really good dish! I recommend the cucumber appetizer to calm down the spice if you dare to go spicy!"
Piush K, 5 months ago, 4, 'The food is good. I would rate above average. However, they brought the order one by one with a significant wait in between. The service could be better.'
Anukrati Khare, 5 months ago, 4, 'Good food.\nIts super busy place although I went during weekday, so the only issue is they got our order one at a time which was not expected.'
sunghee kim, 6 months ago, 5, 'Nice and essential selection for hot pot! Glad for that hoboken has this decent Chinese place to dine in.'
Tianzuo Huang, 6 months ago, 5, ''
Hannah Law, 7 months ago, 1, ''
Vaasu Pendyala, 7 months ago, 5, ''
Nina, 7 months ago, 5, ''
Maria Isabel Moreno, 7 months ago, 5, 'An a casual arrive!!! But an amazing surprise!!! The best Chinese restaurant I’ve ever had! Everything was delicious! I highly recommend this place!'
Lindsay Macolino, 7 months ago, 5, 'Hands down best Asian food I’ve had in Hoboken. The quality of the food is out of this world, we order from here almost every week!! We love the soup dumplings, beef dumplings, boiled beef, and the eggplant. Highly recommend!'
Greg Monchak, 8 months ago, 5, 'Hands down best chinese meal ever. Do yourself a favor and order C9 "Chicken Home Style" if you like spicy. It is fantastic!!'
Celeste Perlez, 9 months ago, 2, 'Food was not that great. Worst dumplings I’ve ever had (really thick, sticky, and not enough filling) and the food was bland.'
Brian Fang, 10 months ago, 5, 'Very good!'
Joe Falvo, 11 months ago, 5, ''
Ryan Wang, 11 months ago, 4, ''
Nina Akhigbe, a year ago, 5, 'ummmmm i dont like spicy food'
Tina Ahuja, a year ago, 5, 'This is hands down my favorite Chinese food place in all of Hoboken. Found when looking up "best dumplings in Hoboken" 2 years ago and that\'s for sure, they are pretty damn good. Their other best dishes in my opinion are the chicken and broccoli along with the sesame chicken. For upscale quality Chinese food, the prices are very reasonable. Recommend to anyone and everyone!'
Lisa L, a year ago, 5, ''
David Orr, a year ago, 4, 'Nice outdoor dining spot, they have four or five tables in a parklet. Lunch was good, a step up from standard Chinese takeout.'
Sophia T, a year ago, 2, "How can people rate this so well! Horrible food, do not order the miso soup and it's not even cheap\nEdit: it was the wonton soup, sorry"
Leo, a year ago, 5, ''
Karen N, a year ago, 1, 'Isn’t it illegal to charge prices that aren’t on the menu in the restaurant or online? This has happened twice. We’ve ordered take out and have been told, “oh, this is not $11, it’s actually $15 now but none of our menus have been updated”. Greasy food that comes at a high cost. You’re better off dining at Precious closer to the PATH station than at Keming. Disappointing. Also, there’s no way you can hydrate enough after all the MSG that is put into the food - not great on your health or your wallet.'
Vishal Patel, a year ago, 5, ''
Kat P, a year ago, 5, ''
