author, date, rating, text
Wayne Ferguson, 3 days ago, 4, "Yeah, don't remember being here. Lol"
N King, a month ago, 4, 'Nice venue. Only issue was accessing the site for the event.  Door was locked with no direction as to how to get in. Once access gained, everything was nice.'
Elena Jinella Carlos King, a month ago, 4, ''
Autohaus Int'l, a month ago, 5, 'Plisner house, great draft beer, very hype environment'
warren jackson, a month ago, 5, "The food is delicious and this is the only place I'll actually drink a beer. Andrew,Tony and of course Yari are absolutely great bartenders who make my drink perfect everytime! The management is great and was helpful with all our needs!"
Sanjana Lal, 2 months ago, 4, ''
Chirag Bilimoria, 2 months ago, 4, ''
María Belén Barrera Peláez, 3 months ago, 5, ''
Robert Marone, 3 months ago, 5, 'Great event space. Plenty of room, clean.  And friendly bar staff'
Andrea Wood, 4 months ago, 4, ''
Jacob Yi, 5 months ago, 4, ''
J Hype, 5 months ago, 5, ''
Alex Whitman, 6 months ago, 5, ''
Shane King, 7 months ago, 5, 'This place is great, I am planning on having our wedding at this location. They are very accommodating and flexible.'
Victoria Feinberg, a year ago, 5, 'Very cool place! Such a good vibe!'
NaomiM Morton, a year ago, 5, 'Cool space with great food'
Joseph Murgittroyd, a year ago, 5, 'Excellent place for a party.  The Host was Great and the Bartenders were Amazing. Two thumbs UP.!!!'
John Pope, a year ago, 3, 'Good for corporate events.'
Rich Milito, a year ago, 5, "What a great venue. We attended a 50th birthday party last Saturday night in this really cool restored turn-of-the-century building. The staff was amazing, the waitstaff did a great job with passed hors d'oeuvres, interacting with the guests and doing the little extra things like bringing over some cheese bites after my wife declined some previous items saying she preferred fried stuff. The bartenders were quick and efficient, showing off the cocktail making skills and producing some great drinks. The buffet was well stocked and the staff made sure the chafing dishes were stocked and hot. Street parking was easy to find, actually parked right in front of the door. Heard there is a lot nearby put didn't need it. Great time was had by all."
drew diener, 2 years ago, 4, ''
nido Rinaa, 2 years ago, 5, ''
Elizabeth Zamora, 2 years ago, 5, ''
Michael Vega, 2 years ago, 5, 'Best cocktail bar in Hoboken it used to be open to the public but now is just an event space'
DeeLorri Photobooths, 2 years ago, 5, 'We did 2 gigs here. Both times the staff was helpful and venue is awesome. Vintage feel. Had a great time.'
Kevin Kieffer, 2 years ago, 5, ''
Marian McGee, 2 years ago, 5, ''
Richard Hatter, 2 years ago, 4, 'Fun party / event venue!'
jonathan schuman, 2 years ago, 5, ''
Michael Haynes, 2 years ago, 2, ''
CT Jermin, 2 years ago, 5, 'Great space. Great vibe'
The Lions Den, 2 years ago, 5, 'Very nice atmosphere upon entering reminded me of a speakeasy. The bartender knew how to make a proper gin gimlet!! Great appetizers'
Brandon Bell, 2 years ago, 4, 'Drinks were very good and the bartenders knew how to make pretty much any drink in the book'
Stephen Lagano, 2 years ago, 5, 'Fun space.  Manager Vincent runs a great operation.'
Joe Minuti, 2 years ago, 5, 'Great food and a great place to dance'
Daniel Chediak, 2 years ago, 5, ''
김완미, 3 years ago, 5, 'We had our wedding party here. It was beautiful! Everything was so beautiful. Thanks to Kolo klub💍 Especially this venue is really great for Dacorators. Real wooden tables and so on.. Kolo klub is basically cozy and elegant'
Karen W, 3 years ago, 4, 'The bartenders are the best!!  The servers give the best service.  Their customer service is the best!'
Jessy Amane, 3 years ago, 5, 'Great atmosphere.  Super lovely decorations.  Bartenders are awesome.'
Rob Mattsson, 3 years ago, 5, ''
Antonello Raffaele, 3 years ago, 5, 'Awesome time great food great drinks'
Anukrati Khare, 3 years ago, 3, ''
