author, date, rating, text
Angela Frid, 2 weeks ago, 5, 'Fast and efficient service, excellent product with a large variety of custom bubble teas, highly recommended.'
amelie, 3 weeks ago, 5, 'DANA WAS AMAZING!!!!! LOVE HER SO MUCH!! BEST EMPLOYEE EVERRRR!!!!'
Nagnath Prabhu, 3 weeks ago, 4, 'This place has got a nice variety of bubble teas. You can also adjust the level of sugar in your drink and they actually make it accordingly'
Justin Chen, a month ago, 5, 'Fast service, everyone (except some customers...) wears mask.'
The Travelling “RJ” Bhuiyans, a month ago, 3, ''
Ivanna Kaleniuk, 2 months ago, 5, 'If you are a bubble tea fan definitely check out this place. Great variety of flavors and quick service. You can also order pick up 👍🏻'
Mitchell Reiff, 2 months ago, 5, ''
Andrew McCauley, 2 months ago, 5, ''
prshant batra, 2 months ago, 1, 'I was told to wait since they seemed to be busy to order. I sincerely waited 10 mins and then a Chinese man walks in and orders. I was told by the lady behind the counter “I thought you are just here to see how bubble teas made since you don’t look Chinese or Asian”. Fact check - India is part of Asia and I found it to be super rude. Would never go there again.'
hiba khan, 3 months ago, 5, ''
Xingyang Wu, 3 months ago, 5, 'The bubble is really delicious, I like it.'
Mimi ZZ, 3 months ago, 1, 'Stay away from this place'
Max Oro-Hahn, 3 months ago, 5, ''
eda kurt, 3 months ago, 5, 'Very delicious!! Kind staff and fast service. There is so many options. I recommend kung fu milk tea.'
Umm Kalthum, 4 months ago, 1, 'Sadly BAD first experience:( green tea had a really bad after taste maybe bad??? When we asked if they would replace with something else was told flat out NO. Not my idea of good customer service! Not going back and do not recommend:( Hoboken)'
Logan Minami, 4 months ago, 5, 'I Came here on a whim before dinner after just seeing it on maps. Best bubble tea I’ve ever had.   I’m no tea connoisseur but I’ve spent 2 years working in a bubble tea shop and I’m from an area where bubble tea is very mainstream at every corner so I’ve had a good taste of many different kinds.\nThe tea itself was extremely “rich” and tongue tingling, and the flavor I got was a very nice combo of strawberry lemon green tea.  Not to mention the grape popping bubbles was something I have never heard of but was very impressed by.  Would 100% recommend to anyone in the are or walking the streets.  Definitely will make that a must stop for now on whenever I’m up north!'
Kui Sun, 4 months ago, 5, ''
Jigz, 4 months ago, 5, ''
payam rastogi, 4 months ago, 4, ''
Akash Sharma, 4 months ago, 5, 'My favorite!'
Priscilla Lozada, 4 months ago, 5, ''
Timothy Maryanski, 5 months ago, 5, 'Amazing service by girl with blonde hair behind the counter!!'
Liezel Ayangco, 5 months ago, 5, 'Very delicious!! Highly recommend the taro milk tea and wintermelon milk tea.'
Pete, 5 months ago, 4, "Would give five stars if you dialled down the sugar levels a little. It's getting to be too much, even if you ask for less sugar."
Shachar Ashkenazi, 6 months ago, 5, 'Delicious bubble tea!'
Ivan Radoslavov, 6 months ago, 5, ''
ankur wadhwa, 6 months ago, 4, ''
Pruthvi Bhat, 6 months ago, 5, 'Thai Bubble tea combined with Regular and Coffee Bubbles makes the drink delicious!'
Rajarshi Choudhury, 6 months ago, 4, ''
Emely Wexler, 6 months ago, 5, ''
sandra villamar, 6 months ago, 5, '(Translated by Google) Excellent\n\n(Original)\nExelente'
Alex García, 6 months ago, 5, "I give it a 5 stars because their bubble teas are the best, especially the mango slush. It's the best bubble I have ever tried. I'm currently disappointed with them because they are not giving stamp cards anymore (they are doing so well, I don't understand why they take them out) but overall their bubble teas are good and prices I believe are fair. Their staff is friendly, and the place is organized and clean."
Muath Mahmoud, 7 months ago, 4, 'Tea experience is too sweet.'
Oleksandr Artiushenko, 7 months ago, 5, ''
Foo McCoolio, 7 months ago, 5, ''
Mariia Aksenova, 7 months ago, 1, 'Terrible customer service! I ordered hot oolong tea, they made just black regular tea and refused in refund.\n\nThey asked me to pay when I wanted to exchange that drink for something else.\n\nManager was there but didn’t want to talk.\nRip off'
Mae Dungo, 7 months ago, 5, ''
Agentsmith 2099, 7 months ago, 5, "They're awesomesauce!! Prices are pretty good but remember you get what you pay for! The staff is very friendly and very organized. Too bad you can't eat in yet because it is a very chill vibe. Their teas are great and their milk shakes or slushes are the best!! There spill proof cups are awesome in function and design! Whether it's a bubble tea or a milk shake that's the place to go👌"
tianwei liu, 7 months ago, 5, '👍🏻'
Yolanda Dell-Graham, 7 months ago, 5, ''
Linda Du, 7 months ago, 3, 'Way too sweet!'
Anna Woerz, 7 months ago, 5, 'Yum!  Great bubble tea.  Can adjust your  sugar content.'
