author, date, rating, text
Emily Ng, a day ago, 5, 'Delicious and so tasty! The garlic shrimp mofongo was great. All the entrees come with two sides except for mofongo though! Garlic sauce was amazing.\ninstagram: emilyeatsat'
Dirty Sanchez, 3 days ago, 5, 'The oxtail is on point'
Carlos Rivera, 6 days ago, 5, 'Food was delicious... Definitely will go back'
Lem Wilson, a week ago, 5, "The food is amazing. My wife and I had the best bistec empanizado we've ever eaten, along with maduro, avocado salad, and rice with beans. Everything was so fresh and the bill was unbelievably inexpensive. They will be seeing a lot of us in the future."
Frael Reinoso, a week ago, 5, ''
Sheila Dilone, a week ago, 4, 'Very nice tiny place. Good music, ambiance. Nice staff and great food! Real latin american flavor.'
RAJAT MALHOTRA, a week ago, 4, 'Good food\nSmall space'
Luis Negrin, a week ago, 5, 'I love eating at La Casa. They have great cuban sandwiches & pastelles & great service & atmosphere.'
CARMEN-DELIA V, 2 weeks ago, 5, 'Delicious empanadas,  alcapurias. Friendly, clean  n great service.'
rolando castilla, 3 weeks ago, 5, ''
Avi Persaud, 3 weeks ago, 5, 'The best Caribbean Latin food I’ve ever had. Chicken fried rice is phenomenal and so is the Garlic chicken. Plus the staff are very attentive and welcoming! A weekly staple at this point'
Alexa Angel, 3 weeks ago, 5, ''
Eric P, a month ago, 5, 'Always consistent, and always tasty. Chicken  & beef stews, empanadas, and the basics, rice and beans, are all great.'
Maura Ruiz, a month ago, 5, '(Translated by Google) Delighted with the attention and everything they serve is very delicious and very friendly, the staff are very affectionate and welcoming to customers.\n\n(Original)\nEncantada de la atención y todo lo que sirven es muy delicioso y muy amable el personal son muy cariñosos y acogedores con los clientes.'
michael roman, a month ago, 5, "First time here with wonderful looking food and delicious and such a large amount recommend it highly can't wait to go back"
Zama Rivera, a month ago, 5, 'Great service, dinner was delicious.'
Ricardo Castillo, a month ago, 5, 'Huge portions, great prices, and most importantly food was great.'
Altinay Cortes, a month ago, 4, 'Delicious food and nice staff. They missed my pickup order from GrubHub but gave me complimentary desserts.'
Kaitlin Jean-Noel, a month ago, 5, 'All the workers are so kind and welcome AND the food is top tier. The Mangu La Casa was phenomenal, would definitely recommend.'
Anthony Rodrigues, a month ago, 5, 'Another really flavorful and good Latin cusine place'
Kat Scott, a month ago, 5, "This place has such great vibes. AND it's BYOB. The wait staff is so patient and nice. We ended up trying three different appetizers including the tostones rellenos and then split the Cubano and one other sandwich, and the bill was under 40$. Great deal. And such delicious meals."
Stephanie Ortiz, a month ago, 5, 'La Casa is by far our favorite restaurant in Hoboken. It’s like my grandmas cooking but healthier and delicious (don’t tell abuela). After a few years of obsessing over la casa, both friends and family also love the restaurant. Either ordering out or enjoying the hole in the wall quaint feeling in person. This weekend we asked la casa to cater our rehearsal dinner, everyone was so excited and la casa delivered above and beyond. Even with 2 hrs of traveling with the food it tasted so fresh and delicious. We ordered everything from rice, yuca, croquettas, pernil but the ropa vejia and cubanos won many people’s hearts. The coconut cake and guava cheesecake left within seconds too. Thank you la casa for making the start of the wedding weekend unforgettable for us. We knew our stomachs would be happy and ready for the next day. Highly recommend la casa for a dinner night or event. Alan was amazing to work with!!'
Matteo De Santis, a month ago, 4, ''
Priyanshu Deshraju, 2 months ago, 4, 'Dinner for 2. Ordered grilled chicken Mexican style. Love their green sauce. The chicken felt old and rubbery but the place is Value for money.'
J Martinez, 2 months ago, 5, ''
John D, 2 months ago, 5, ''
Mark Bullock, 2 months ago, 5, ''
Frank Guzman, 2 months ago, 5, "I had the Oxtails w/ yellow rice, w/ pigeon peas and sweet plantains.. WOW!!! still licking my ffingers and the place has a Peaceful ambiance...Definitely a go to, you'll Love it...Peace\n😎😉💣💥💯👨🏻\u200d🚒✌💗😜🥘🍲🥗🥣🍧🥮🍰"
Janet Castiblanco Gonzalez, 2 months ago, 5, ''
Amanda Shirley, 2 months ago, 5, ''
Brandon Martinez, 2 months ago, 5, 'Super quick service, great staff, and great food'
Jerome Langella, 2 months ago, 5, 'Amazing food. By far the best Cuban sandwich in the tri-state area. A must try. The signature dishes are also excellent. The staff is very friendly and very helpful. Restaurant is BYOB.'
Alfonso Austin-Rivera, 2 months ago, 5, ''
