author, date, rating, text
Virendra Rajput, a week ago, 1, ''
Jaasiel Rincones, a week ago, 5, '(Translated by Google) Good attention.\n\n(Original)\nBuena atención.'
Ankush Midha, a week ago, 5, ''
Audrey Germain, 2 weeks ago, 5, 'I crave their Manhattan Falafel sandwiches. Best ever!'
Mahmoud Aitouakrim, 2 weeks ago, 5, ''
Amina Aly, 3 weeks ago, 1, 'had the worst food poisoning of my entire life today because of the chicken i ate from here 😔. please cook your chicken throughly!!!'
Andre Kerr, 3 weeks ago, 4, 'Loved the lamb over rice.'
Regina Cappio Wilson, 3 weeks ago, 5, ''
Rajarshi Choudhury, 3 weeks ago, 4, 'Delocious falafel and shawarma. Usually fast. But its their spicy red sauce that makes the difference for me. Recommend it.'
rajat chaudhary, 3 weeks ago, 4, ''
Ali Mahamat Abakar, 3 weeks ago, 5, 'Like it'
Justice-Keith Monroe, 3 weeks ago, 5, 'First time… here’s the thing… I’m getting back in shape.. trying to shed the COVID 30. I happen to have a huge crush for Mediterranean food.. HUGE crush. And this place was actually good. I had the lamb Shawarma sandwich and four falafels. When I told my trainer what I had for lunch… he wasn’t upset… so yea.. I love that there was more lamb in there than anything. Because after a workout, you’re looking to refuel with protein. This hit the spot..'
357 Fort Knox!!!, 3 weeks ago, 5, ''
Fabiola Santana, 3 weeks ago, 4, "The food its good for the price, It's fast and convenient."
mohmd mansy, 3 weeks ago, 5, ''
Swati Dhawan, 3 weeks ago, 4, ''
Ehasan Ahmed, 4 weeks ago, 3, ''
Kyle, 4 weeks ago, 5, 'Woooooh amazing, best falafel around'
Arsany Basily, a month ago, 3, "The shawarma sandwich was topped with shawarma but otherwise mostly lettuce. My friend didn't like his chicken sandwich. Facility is clean."
Naveen Sharma, a month ago, 5, ''
Jason Ganz, a month ago, 5, 'I love the new touchscreen order system that is used.  As an introvert, it helps me order efficiently without the risk of the human element causing errors - at least at the ordering stage.  I hope this stays permanent.'
Akshay Kumar, a month ago, 5, ''
Maaref Ali Khan, a month ago, 5, 'Very tasty falafel sandwiches, quiet unique with the non veg add ons in a faisal sandwich, lived it'
BB Barry, a month ago, 5, 'Best Shawarma in Nothern NJ'
Saad Jamil, a month ago, 5, ''
TaisiiaNY S (NYTaisiia), a month ago, 5, ''
Matty V, a month ago, 5, 'Great flavors and even better price.  Food is top notch quality'
Greg Foote, a month ago, 4, ''
Sarah Gusa, a month ago, 5, ''
Gopal Agarwal, a month ago, 4, ''
Darshit Vora, a month ago, 2, ''
Anthony, a month ago, 5, 'One of my all time favorite restaurants! The complementary fresh pita bread and the garlic sauce is always why I keep coming back. Overall, Mamoun is affordable, tasty and has several healthy options in the menu.'
