author, date, rating, text
Doge, a week ago, 5, ''
Max McCarthy, a week ago, 5, ''
John Bing, a month ago, 5, "Going to Mario's for years..service is amazing and always friendly...never disappointed...great place for kids and adults...especially yankee fans...jtb"
Victoria Wefer, a month ago, 4, ''
Anthony hagy, a month ago, 5, ''
Monica jimenez, a month ago, 5, 'Fantastic is Great the food and atentión'
Mafoo B, 2 months ago, 1, 'A good way to lose customers is to make your calzone, stromboli and sandwiches half the size they used to be.\nGood job guys!'
Rich Luick, 2 months ago, 5, ''
Okamifan1 Productions, 3 months ago, 5, 'The food was phenomena. I had a pepperoni pizza, blew anything in my home city of Richmond VA away. The only issue (which I cannot exactly penalize them for) is parking... Trying to find parking in Hoboken from my brief time there is like trying to find hay in a needlestack.'
Linda Diaz-Murphy, 3 months ago, 5, 'Love the pizza'
Mitchell Reiff, 3 months ago, 3, 'The pizza was good but there was absolutely no taste to the sauce what so ever.'
Arlette Garcia, 3 months ago, 5, 'Always fresh and super delicious! This is my go to spot whenever I am in the area .. they offer outdoor dining and the staff is always polite and friendly!'
Alejandra Rozo, 4 months ago, 5, ''
Jim Hodgson, 4 months ago, 5, "Mario's is a great neighborhood place, big selection of slices and drinks in the cooler. Sit inside or out."
Gala Pavlova, 4 months ago, 4, 'Guys, you really should mark which of your dishes are spicy. I wasn’t even notified about it'
Andrys Perez, 4 months ago, 5, 'Great pizza!'
Zoe Moran, 4 months ago, 4, 'Great for walk in service as parking is often difficult in Hoboken.'
Kenny Young, 5 months ago, 5, 'Great service. Nicest guys. Great food. Cheap beer!'
Yarnel Paz, 5 months ago, 5, ''
Sean Sattaur, 6 months ago, 5, ''
Jackson Nivelo, 7 months ago, 5, ''
Mariela González, 8 months ago, 5, 'Best pizza in hoboken and such a nice staff'
Adit Jain, 8 months ago, 1, 'Very sleezy place, ordered 2 slices and my bill was around $8, the menu had a price of 5.5$ for the 2 slices.. not sure where the extra 3$ came from.'
J Toma, 8 months ago, 5, ''
Emily Lucas, 10 months ago, 5, 'I love the people who run the place and they have such good pizzas, Stromboli’s, and meatballs! Best in town.'
Clark Eastham, 10 months ago, 5, 'Best pizza in the area'
Alfonso Indacochea, 10 months ago, 5, 'Always very good food and friendly service.'
Dan McHugh, 10 months ago, 5, 'Excellent food and service!'
Steven Seward, 10 months ago, 5, ''
Kavy Jain, 10 months ago, 5, ''
Larone Ferguson, 10 months ago, 4, 'Fast service food was great'
Olga Zavorotina, 11 months ago, 1, "Be aware that there's no chicken in their caesar salad, though it's not indicated in the menu. I consider it a fraud."
M M, 11 months ago, 1, 'Paid almost $40 for a SMALL personal Buffalo Chicken pie and a Chicken Caesar wrap. Perdue chicken on both orders, the worst Caesar dressing around, nothing but some weird hot sauce on the chicken on the personal pie and zero ranch OR blue cheese. Honestly worst pizza I’ve had in years and the wrap couldn’t even make up for it. Huge waste of money'
Дмитрий Королев, 11 months ago, 4, "2nd visit: Second try wasn't so good. Caesar salad without chicken for 7.5 dollars? sounds strange. But pizza is still very good.\n1st visit: Very tasty pizza, good atmosphere and pleasant employees! Recommend! 👍🍕"
Tyler Symons, a year ago, 5, "Great pizza and $2.50 blue moons can't go wrong"
Emily Ng, a year ago, 1, 'I don’t know if there was micsommunication, but I ordered a penne vodka pie and a buffalo chicken pie. What I got was not that. It was a pie with cheese and pasta and no vodka sauce. And then a pie with grilled chicken in barbecue sauce. Maybe they just heard me wrong? And I paid almost $40 for this so I was disappointed.'
Steve Geiges, a year ago, 5, ''
Trevor Harris, a year ago, 5, ''
Monica Bukowski, a year ago, 5, 'Great service and food!'
Pieter Sommen, a year ago, 5, 'Great pizza. Wonderful service! A place with a heart!'
Mila Petrova, a year ago, 5, 'The best cannolis I’ve ever had! Staff is amazing, so friendly and welcoming. Staple in the neighborhood.'
Eran Bachar, a year ago, 5, ''
Jagger Doll, a year ago, 5, 'Ordered pickup from Grubhub. Pizza was quite good, made relatively quickly. I showed up early and the wait staff was more than kind despite me not dining in. I was definitely surprised in a good way, compared to picking up from many other restaurants.'
Marsha Jones, a year ago, 1, ''
Sleepy Strawberry, a year ago, 5, ''
Joe Minuti, a year ago, 5, 'Good pizza at a good price. Great for walk in service as parking is  often difficult in Hoboken.'
EA C, a year ago, 5, ''
Daniela Q, a year ago, 5, ''
Matthew Wicks, a year ago, 5, 'Definitely my new favorite pizza place. Tons of different specialty slices and the staff is super nice. Def recommend'
David Chacón, a year ago, 5, ''
Kalyani Jagannathan, a year ago, 5, 'Very friendly staff, great sangria for takeout...and the veggie pizza is really good'
RADIZZLE4000, a year ago, 5, 'Cheerful chefs! Meals are pretty cheap and serves alcohol as well. Located on a back street too.'
Eladio Jose Severino, a year ago, 5, 'Food service was perfect'
Brandon Felice, a year ago, 5, 'Top 5 in Hoboken'
Marty Ippolito, a year ago, 5, ''
