author, date, rating, text
tough cookie, 2 days ago, 1, 'Hate to do this. But there really wasn’t much hospitality and price clearance'
Jerry R, 3 days ago, 5, 'This is the best bakery in North Jersey for me. I go there for the pastries. Everything is always fresh and tastes amazing. The berry one with the pink cream filling is my favorite. The recipes are original. The space is cozy. And the people who work there are friendly.'
Shweta Kamat, 6 days ago, 5, "I've tried a number of savory and sweet pastries and cakes from this place over multiple visits. Excellent flavors and quality.\n\nThe savory leek strudel especially is so so so good. Must try."
Peter Bates, 2 weeks ago, 5, ''
Pranit Trivedi, a month ago, 4, "The bakeries bread and desserts are the closest to what is German bakery food should taste like. Showed this place to my German friend and she's hooked to this place for her fix. She comes all the way from Brooklyn! I'm fan of its strudels and pastries this place has to offer."
Aaron Cohen, a month ago, 5, ''
Sage Hartlaub, a month ago, 5, 'Lovely, family run, great owners, amazing food! Leek and Parmesan strudels are my go-to treat from the cart, and I’ve never gotten a bread there that I didn’t like!'
Francesca Jakeway, a month ago, 5, 'The most delicious bakery on this side of the hemisphere'
Mary P, a month ago, 5, "Cozy space for tasty pastries presented beautifully. It's truly family-run -- the cashier's grandchild was playing at her feet as she rang me up. Beautiful place. :)"
Aakriti Mahajan, 2 months ago, 5, 'Their savory pastries are so good I cannot stop thinking about them.'
Christoph Dann, 3 months ago, 5, ''
Tameka, 3 months ago, 5, 'The beehive cake is fantastic! Just enough filling, layered with a moist cake. I will definitely return back to try their other treats. 😋'
Gerald Jones, 4 months ago, 4, ''
Yair Weizman, 4 months ago, 3, ''
Ed Wiegner, 4 months ago, 5, 'Old German Bakery\nAmazing Deserts, Cakes and Pastries'
Hailey Dugan, 5 months ago, 5, ''
Chinmay Nerurkar, 6 months ago, 5, ''
AI Polzer, 6 months ago, 4, ''
Diego Colman, 6 months ago, 5, 'Excellent cakes!'
Roberto Reisinger, 7 months ago, 4, '(Translated by Google) Unique breads, a place to visit.\n\n(Original)\nPanes únicos, un lugar a visitar.'
Tony Rodrigues, 8 months ago, 1, 'Not true German'
Elyce Sweeney, 8 months ago, 5, ''
Pétros, 8 months ago, 5, 'The gentleman and his wife are really awesome and they treat everyone very nice always a big smile. Besides the fact that almost everything there is beyond yummy 🤤 i always run for my Nutella donut and if you go late you will miss it because they finish fast 🥺 10 stars 💯'
Omar Lopez, 8 months ago, 5, ''
Huiyan Wang, 9 months ago, 5, 'Delicious!'
Alex Garzon, 9 months ago, 4, ''
Ilayda Karabayir, 10 months ago, 5, 'The cakes are amazing here. It’s not too sweet and perfect flavor.'
Theodore Mullally, 10 months ago, 5, ''
holly jerdi, 10 months ago, 5, ''
Young K, 10 months ago, 5, ''
William L, 11 months ago, 5, ''
Tom Brown, 11 months ago, 5, ''
Barath Kumar, 11 months ago, 4, ''
Caroline Culp, 11 months ago, 5, ''
Art P, a year ago, 1, 'Yesterday i purchased a cake for a party. I ordered it in the morning and it was ready by 3pm. To our huge disappointment the cake was not freshly baked - it was either defrosted or baked a day earlier. The cake was over $80...so for this price we expected it to be better...or at least fresh.'
Sean Sears, a year ago, 5, 'Love this place! Dessert and pastry not too sweet for my sweet tooth.'
Fabian Westerwelle, a year ago, 5, ''
Pamela Santizo, a year ago, 5, 'I tried about 4 different cakes and it was amazingly delicious. I’m very picky with coffee so if I like it it’s definitely good and I loved this coffee. Service was also Great.'
Luke Scott, a year ago, 5, 'Pastries were amazing, will be back to try some other items sometime! Very nice staff working as well.'
Gaurav Singh Tomar, a year ago, 5, ''
Pete, a year ago, 5, 'This is a great little place'
Danil Piletski, a year ago, 5, ''
Radima Alakaeva, a year ago, 5, 'Omg, the best pastries and bread in the area. 😍'
Boris Khanales, a year ago, 5, 'Best bread in Hoboken!'
RED Dacquel, a year ago, 4, ''
Ninan Tan, a year ago, 5, "Hands down the best pastries outside of Europe. There's a reason why they always run out of their signature items by noon!"
Harry Messenger, a year ago, 5, 'Incredible bread - the best around here.\nWonderful service - would def recommend!'
ofer givaty, a year ago, 5, ''
SENA DZABLU-KUMAH, a year ago, 5, 'Love this place!!! I get all my Christmas cookies from here. I Was born in and grew up in Cologne Germany as well, and the owner Haydat always has time for a little ‘Köln’ chitchat. Their pastries, breads and cookies are top notch. Oh, and of course their cakes! Schwarzwälder Kirschtorte Babyyyyyy!'
Animesh, a year ago, 5, 'Authentic, European tasting pastries. Best bakery in Hoboken.'
Karan Sethi, a year ago, 4, 'Good pastries and welcoming host'
Ana Karen, a year ago, 5, 'The desserts are delicious'
amueller1976, a year ago, 5, 'Very Good coffee and delicious cakes'
Louise van der Meulen, a year ago, 5, ''
John Doe, a year ago, 5, ''
Ken Boyar, a year ago, 4, ''
Chanell Newton, a year ago, 5, 'Very nice and tasty food 👌'
Maik Krehbiel, a year ago, 4, 'Nice bakery wich german style bread and others'
Rohan Randeria, a year ago, 5, ''
Zaida Melendez, a year ago, 5, 'Best pastry'
Riley Dunn, a year ago, 5, 'This is a must visit if you’re in Hoboken. The owner & baker Haytad is a gem and will quickly detail all of the days offerings. Bread sells out by noon. Desserts are available into the late evening with huge variety. Try the Gluten-Free Almond Chocolate tart or the Vegan Chocolate Hazelnut cake, both $3.50... easy on the conscience and the wallet.'
Kenny O'Trakoun, a year ago, 5, ''
Altynay Narmanova, a year ago, 5, ''
Lawrence “L A” Johnson, a year ago, 5, 'Awesome food'
Orysia Servatniuk, a year ago, 5, 'My favorite place to get desserts in Hoboken. They are all so light, not too sweet and delicious. We always eat a couple and take some to go for the road.'
Hiral, a year ago, 5, ''
Teddy Holden, a year ago, 5, 'Awesome blueberry and cheese danish. Great apple sponge cake! Friendly owner'
RK Yoo, a year ago, 5, "Guy here was so funny. Hello tell you what's what and what he likes to eat. Came here with friends Sunday night after dinner and only cakes/tarts left. Figure we would give it a try.\n\nBest thing I've had in a while.  Everything was delicious. Nothing was too sickly sweet. Nothing was bland. Everything was fresh and the cream was so light I thought the baker plucked clouds from the sky. Yum!\n\nHighly recommend apple pie/tart for fresh apples, walnut cream cake, deliciously creamy and slightly salty to balance your sweet and finally the strawberry cream cake to brighten your day. Will definitely come back to try other desserts!"
Corey Hammond, a year ago, 5, ''
Phillipp Schmoll, a year ago, 5, "I can't say enough about this place. I lived in Germany for 10 years and I know a thing or two about German bread. I have never found another bakery that even comes close to this one. They are the real deal, and the owner is one of the nicest guys you'll ever meet. Top tip: get there Early because the good stuff sells out fast, like the Quarkbällchen (Donut balls) that are crack-ish! Don't forget to try the cakes and strudels - they're amazing!!"
Megha Varkal, a year ago, 5, 'Amazing pastries. We tried two different pastries and hot chocolate. It was really nice.'
Ayushi, a year ago, 5, ''
Tatiana P, a year ago, 1, "Named one price and then charged a different amount on the credit card with no warning. Apparently, they charge extra when you pay with a card, even on amounts above $10. That's unethical practices, decent places warn the customer about all the extra charges before processing the transaction."
Mitesh Puthran, a year ago, 5, 'Great baked foods'
Raffi Babakhanian, a year ago, 1, ''
Kaliane Ung, a year ago, 5, ''
Eric Lampi, a year ago, 5, 'Great bread and pastries.'
Mike Pacheco, a year ago, 5, ''
Ismail Dag, a year ago, 5, 'I feel like I was in Berlin.. 😊😊😊😊👍👍👍👍'
roy o., a year ago, 5, 'A gem in Hoboken NJ! I tried their Leek Strudel and got a slice of Beehive cake to go, both of them are delicious!!!'
Autohaus Int'l, 2 years ago, 5, 'Great taste super great service by young female employee'
Alson Lu, 2 years ago, 5, ''
Mirvari T, 2 years ago, 5, ''
Prayash Kapadia, 2 years ago, 5, ''
Rushabh Barbhaya, 2 years ago, 5, ''
Ivan Kunz, 2 years ago, 5, "Fantastic breads. Every time I'm visiting Hoboken I go there to buy a bread. They have a great selection and the best rye bread (the rustic) that I've ever tasted. Very friendly owner and the staff makes this a visit I'm always looking forward to. Would highly recommend their pumpernickel and sunflower breads as well as all the tasty pastries and cakes."
Eran Eliahu, 2 years ago, 5, ''
marisol moreta, 2 years ago, 5, "Beautiful establishment, the desert was delicious, the coffee is savory, and the owner is very friendly. Can't wait to come back, highly recommended!"
Cynthia S, 2 years ago, 5, "Amazing coffee!!! Didn't even need sugar. The pastries are good and i didn't feel guilty of eating it afterwords, light and sweet. Everything is good quality."
koko ohanian, 2 years ago, 4, ''
yolanda esquivel, 2 years ago, 5, '😋😋😋'
Jorge Enrique Garcia Borrero, 2 years ago, 4, '(Translated by Google) Excellent place to enjoy German delicacies. Desserts are super delicious, I recommend it.\n\n(Original)\nExcelente lugar para disfrutar las delicias Alemanas. Los postres son súper deliciosos, lo recomiendo.'
Andrew G, 2 years ago, 5, "Brilliant bread and pastries. The family that runs this place is very nice too. It's always clean. We try to get a loaf of bread from these guys every week. We love this place."
Amanda Barron, 2 years ago, 5, ''
marciano gonzalez, 2 years ago, 4, ''
Ruth P (Ruth), 2 years ago, 5, 'Favorite place for German bread and sandwiches'
Kay, 2 years ago, 5, 'Super tasty and fresh! Everyone is also really nice.'
Michael Berns, 2 years ago, 3, ''
Robert Siebelink, 2 years ago, 5, 'Great taste and warm service.'
mamut yayla, 2 years ago, 5, ''
Wendi Tao, 2 years ago, 5, 'Good place to get your daily bread. Support local. Love this place.'
ulascan ersoy, 2 years ago, 5, 'Nice and friendly service, apple croissant was delicious. Nice coffee as well.'
Ana Suarez - particular, 2 years ago, 3, ''
Natalia Sdobnova, 2 years ago, 5, 'My favorite bakery! Always fresh, delicious and friendly!!!'
Pablo Guzman, 2 years ago, 5, ''
Adam Testa, 2 years ago, 5, ''
Vinothini Baskar, 2 years ago, 4, 'They have wide range of pastries, but they run out of them soon on weekends. Authentic German cake is good. (Almond + Vanilla)'
Mariano C., 2 years ago, 4, ''
graceeunjoo, 2 years ago, 4, 'Delicious savory and sweet pastries. Try the plum crumb cake and the tomato Parmesan strudel. Yum! Outdoor and indoor seating. Friendly service.'
Kaustubh Asawa, 2 years ago, 5, ''
luidel enrique palmar rosales, 2 years ago, 5, '(Translated by Google) Sweet salty exquisite\n\n(Original)\nDulce salado esquisito'
Katrina B, 2 years ago, 5, 'We exploded Hoboken and this bakery caught suddenly our attention. Nothing old about this place but very german! The owner is a very friendly man and knows how to make delicious things! The apple cake was to die for! Very fruity and light, together with a great german style coffee... heavenly.\nWe come back and have to try more.\n(The bread was looking awesome, too!)'
Anastasia Milyutina, 2 years ago, 3, ''
Taylor K, 2 years ago, 4, '(Translated by Google) Not sooo authentic but if you miss Germany, you can feel a bit at home. You can not speak German with every employee and they have toasted my pumpkin seeds ... Funny but tasty. The pretzels are really expensive but they are baked according to a german recipe. You can preorder rolls ... handy.\n\n(Original)\nNicht soooo autentisch aber wenn du Deutschland vermisst, kannst du dich ein bisschen wie zu Hause fühlen. Du kannst nicht mit jedem Mitarbeitern Deutsch sprechen und sie haben meine Kürbiskerne Brot getoastet ... Komisch aber lecker. Die Brezen ist wirklich teuer aber sie sind nach einem Deutsche Rezept gebacken. Du kannst Semmeln vorbestellen...praktisch.'
Salvatore Rubino, 2 years ago, 4, 'Very nice bakery'
Alexis Ramirez, 2 years ago, 5, 'Just like going back in time when all was well love it'
Mohammad Ilbeigi, 2 years ago, 4, ''
Silvia Cuevas, 2 years ago, 5, '1. Great customer service. The owner was kind enough to explain every dessert and give us a brief history of his store. 2. The dessert was AMAZING. Very light and delicate but also made with quality ingredients. For anyone considering, don’t second guess this spot. Enjoy!'
Kevin Schultz, 2 years ago, 5, ''
Jyotsna Khanduja, 2 years ago, 5, ''
Pasha Solovey, 2 years ago, 5, 'Nice quiet place with delicious deserts and pastries. I am a customer for many years and there are not a lot of alternatives in town if it comes to deserts. Very friendly staff, always a pleasure to stop by, grab coffee and chat for a few minutes.'
