author, date, rating, text
Ana Luiza Boiati Machado Carnovali, 2 weeks ago, 4, ''
D. Bansal, a month ago, 1, 'Update 10/09:\n\nService has drastically gone downhill\n\nOriginal:\nWould give more stars if I could. Food and service is excellent. The cacio e Pepe is recommended.'
Kirsten Walpert, a month ago, 2, 'Good food, terrible service.  Felt pushed out the door from the moment we sat down.  Appetizers served at the same time as mains.  Several servers were rude and made comments about us leaving throughout the meal.'
Michael Oake, a month ago, 2, 'BOTTOM LINE: Review your Bill.\n\nThis 2 star rating is strictly based off of some food being good. The pasta was well done, the eggplant burrata honestly was delicious. You get the gist.\n\nI’ve never experienced more insulting ownership in my life. Enough for me to sit here and write this review.\n\nOur waitress was new, the risotto was never fired, so it came late, and the steak was drastically over cooked.  None of this is why I’m here.  Our check came and the bill was 12 dollars higher than expected. Our 7 waters cost 14 dollars (the menu said 1 dollar each). The steak cost 44 dollars (39 on the menu). This issue was quickly elevated to management since it was our waitresses second day. When the owner came,  I pointed out the discrepancy and he stated that meat costs have increased. I recommended he change his menu prices because my expectation was to pay X. Longer story still long, it ended when the owner stated “pay what you want” “do you go food shopping?” “it costs hundreds of dollars to change my menu” “there’s a lot of things I should do”.\n\nBottom Line: Review your Bill'
Allison, 2 months ago, 2, ''
Debora G, 2 months ago, 4, ''
Jack Ferreira, 3 months ago, 5, 'Been here on a couple occasions and the food never disappoints.  Gio is a superstar and Iggy the owner is a stand up guy.  Their wood fire pizza is super thin and very crunch.  I always leave there thinking about when will be the next time I have the pizza.'
Joseph Peterson, 3 months ago, 5, 'Beautiful place. Great wait staff. The owner (Iggy) made us feel at home. Food is out of this world.'
Christopher Dunne, 3 months ago, 1, "Ordered through the Panello website (links to Slice).  Pizza was cold and missing mozzarella, so I returned 10mins later thinking they would make this right.  Instead shop said the menu on the website must be wrong and didn't know why the pizza would be cold.  0/5 for customer service but 1/5 for the cold pizza I'm eating."
Jace Graham, 4 months ago, 5, 'Great pizza, great service, fast'
Chintan Shah, 4 months ago, 5, ''
bruce baxter, 4 months ago, 5, 'Great food, The white pizza was amazing. Rigatoni Bolognaise was very good. BYOB makes the place even better.  We got there early and didnt understand why with food so good that the place was empty. By the time we left the place was full. And people waiting to get in'
Ricardo Llera, 5 months ago, 1, 'Terrible service by Iggy the owner and the waiters. We were there along with some other families with kids for a nice dinner when suddenly we got verbally attacked by a client who was drunk and high on weed with his friends demanding all of us to take our kids away. What did the owner do at this point? Absolutely nothing! No apologies, no accountability whatsoever for having to put with this idiot, or even offered a discount. They should close this place down if they allow clients who can’t handle being around families! And on top of it all service was slow and the food was bad 👎🏼👎🏼'
Gilda Llera, 5 months ago, 1, 'We are regulars and always loved this place until today, we got verbally ASSAULTED by a customer and Iggy (owner) did nothing no apology nothing, we were amongst 4 tables that got verbally abused by a customer in the outdoors area while enjoying our meal, Owner tried to calm down THAT client but didn’t apologize to the rest. Guy was smoking weed and drinking, complaining about why are kids even there? Excuse me? Walking up to tables threatening customers saying he wanted to enjoy a nice night as adult with no kids? So maybe don’t go to the restaurant that has not one but two daycares next door and is in the middle of a cultural center for kids? Inexcusable and poor response from the owner all of the affected families are local residents from buildings in and around Monroe, won’t be going there won’t be booking special occasions there and we are disappointed.'
Mitch Takematsu, 5 months ago, 5, ''
Hande Kursav, 6 months ago, 5, 'Best sour dough pizza in Hoboken!'
Redouan Nhili, 6 months ago, 1, 'food is good, location is nice with a great outdoor set up. I actually used to go almost every week with family, but it does not seems to be often enough to get decent service. Waiters are rude, too busy and give a real bad vibes. You feel like you are bothering them.'
