author, date, rating, text
Leslie Lawson, a week ago, 5, ''
K Sullivan, a week ago, 5, "Love this place! I've been looking for a good Pho restaurant for a while."
Dee M, a month ago, 4, ''
Alex Moskal, a month ago, 5, 'Go here. Great banh mi, great pho, great vermicelli, great iced coffee. Everything was great.'
Qin C. Xue, a month ago, 2, "Was craving some Pho and first time having it in NJ. The flavor was good, but the portion are WAAAYYYY too small for an adult. I'm a skinny asian guy and feel like this pho was made for a 5y/o kid. And the lemongrass beef we ordered was spicy (very spicy) and I think it not supposed to be"
Eloy Musso, a month ago, 4, ''
Michaela Deitrick, a month ago, 5, 'This place is my go-to for comfort food. The staff is really efficient, and their pho tastes awesome. They always read my "special requests" section of the online ordering, which I really appreciate!'
Yue ZHANG, 2 months ago, 5, 'favorite Asian restaurant in Hoboken! Love the beef stew and pho. Great outdoor seats.'
Sri Hartono, 2 months ago, 4, 'Delicious taste...good portion...and reasonable price'
Yash Dave, 2 months ago, 5, ''
Tomomi Ohta, 2 months ago, 5, ''
Zhiyu Zhou, 3 months ago, 5, ''
Abby Washuta, 4 months ago, 5, 'This place is such a delight. Fast service and the grilled pork and grilled chicken vermicelli has such a good grilled flavor. Love it.'
Kathleen Matthews, 4 months ago, 5, ''
Kaustubh Asawa, 4 months ago, 4, ''
Tom Digges, 5 months ago, 5, 'I love this place! Their food never disappoints (my faves are the lettuce wraps, gyoza, and the Bahn Mi).\n\nStaff is always very friendly and the prices are VERY reasonable (though the portion sizes aren’t massive like you get at some other takeout restaurants. Pho is the exception, you get a good amount of Pho in one order.\n\nI wish I lived closer!'
Marlee Ann-Marie, 5 months ago, 5, 'Love this place! Great authentic food. The best pho'
Shareen Fatima, 5 months ago, 4, 'It’s a sweet little spot for Vietnamese cuisine in Hoboken. Their portion sizes for Pho are quite big and could easily be shared between two people. The summer roll was colorful and quite delish. The staff are nice and friendly. Would definitely recommend the place.'
Qingchen Dang, 5 months ago, 1, 'There is a Chinese female waitress who gave the worst service ever.'
Jinhao Wu, 5 months ago, 5, ''
Megan Gillen, 6 months ago, 5, 'Great pho and pork banh mi. Very reasonably priced and the food was so tasty. I would definitely recommend this place and am excited to try the other things on their menu.'
michael luk, 6 months ago, 4, ''
Ron George, 6 months ago, 4, ''
Elaine Vuong, 6 months ago, 5, ''
Aidin Ameri, 7 months ago, 5, ''
Cassandra Jones, 7 months ago, 5, 'Will only eat Pho from Pho Nomenon! Not only is it out of this world but their customer service is A1. I literally eat here at least once per week'
