author, date, rating, text
Audrey, 3 days ago, 5, 'Good outdoor seating and beer list. Can have a relaxing casual time here.'
Sabrina G, 4 days ago, 1, 'Absolutely horrendous experience not once but three times here. But this last experience was the worst. Not sure if it was the manager or someone else but he disrespected my mom publicly because she was trying to wave down someone to help us while chewing (so she wouldn’t be speaking with a full mouth). No one has been to our table in well over 15 minutes (as usual there). I hate writing negative reviews but after three bad experiences, it clearly was not just an unlucky night.'
Gisselle C. Santos Perez, 5 days ago, 5, ''
Jennifer Decker, 5 days ago, 5, 'Such a great selection on the menu, that you’ll end up ordering several appetizers and entrees.  You must try the big pretzel! Everything was amazingly good! And it was such a fun atmosphere, with many different dining areas.'
Soomyee Song, 6 days ago, 3, 'Food was good, especially the Pretzels. Spätzle tastes more like American Mac and Cheese not like Germany. Service needs improvement not very efficient. Lady server at the bar should not work there very unfriendly'
Glenn Shivers, a week ago, 5, ''
Emanuel Remilus, a week ago, 5, ''
Harsh Mistry, a week ago, 5, ''
JJ, a week ago, 5, ''
Gökay Zeren, a week ago, 5, 'Bratwurst was great and schnitzel is juicy. We’ve had better versions in Germany but the food here is solid! Apple strudel was thick. Beer is amazing. The place makes you feel like in Germany but you need to wait a little bit on the weekends to get seated. Especially you’re a crowded group. Highly recommended💯'
Herb Zieger, a week ago, 5, ''
Antony “CarpeDiemCrea” Magne, 2 weeks ago, 5, ''
Emily Ng, 2 weeks ago, 4, 'delicious pierogis!! love the atmosphere and all the drink options'
Rashaad Williamson, 2 weeks ago, 5, ''
Martin Olszewski, 2 weeks ago, 5, 'Loved the converted factory space.  Very good food. Excellent beer selection.'
Aliaksandr Gulyuta, 3 weeks ago, 5, ''
Tomas Moreiro, 3 weeks ago, 5, ''
Kenneth Fernandes, 4 weeks ago, 5, ''
Autohaus Int'l, 4 weeks ago, 5, 'Best beer'
Elena Jinella Carlos King, 4 weeks ago, 4, ''
Erika Aldrich, a month ago, 4, ''
TenSix, a month ago, 4, 'Food was good, drinks were good,  ambiance was good,  service needed help.  It helps if your drinks arrive first, then appetizers, then main course.. not in a random order'
Kevin Orourke, a month ago, 4, "It's Octoberfest. If you're looking for a quiet place on a Saturday afternoon this isn't for you. If you're thirsty from me a long bike ride get a beer and a pretzel. It's loud and fun."
Teresa Mendez, a month ago, 5, '(Translated by Google) Nice place . great variety of beers !!\n\n(Original)\nLugar agradable . gran variedad de cervezas !!'
Sébastien Colpron, a month ago, 5, ''
Diana’s Cakes, a month ago, 5, 'Grate place to enjoy with friends. Friendly staff, good food.'
Robert Koch, a month ago, 5, ''
Juan luis Pelaez, a month ago, 5, ''
Bruce Posner, a month ago, 5, 'Nice, big open space. Good meat dishes.'
Courtney Desh, a month ago, 5, 'Fun beer hall/ garden. TVs, food etc. good prices, pretty spacious. Outdoor seating too'
Eunhae Kim, a month ago, 5, ''
Art Thomas, a month ago, 2, "When it opened and for years it was an authentic-feeling beer garden with actual beer garden music, food and service.  Now it's a sports bar with wings and chicken fingers, bar staff with t-shirts and pop music.  Just basically Texas-Arizona with sports on screens everywhere and more kids running around.  I really, really miss the old place that was one of my favorites.  At least the pretzels are still good."
Oleksandr Artiushenko, a month ago, 5, 'Probably the best beer garden in the area!\nGreat choice of beer, decent food and live music!'
Chanel “シャネル” Right, 2 months ago, 3, 'The food here is average the place is nice for socializing you can sit a large group together  on the benches. There’s nothing really special on the menu just kind of come here for a drink, hang out and talk.'
Hannah Pereira, 2 months ago, 5, 'I really like this place. Food always good and great service'
Andrew Wong, 2 months ago, 5, ''
Lauren Halloran (Brink), 2 months ago, 5, ''
Chirag Bilimoria, 2 months ago, 4, ''
Franco, 2 months ago, 5, 'Great beer'
Lior Naaman, 2 months ago, 5, ''
Kelvin Graham II, 2 months ago, 4, 'This place had a really great atmosphere. Definitely felt like a beer garden. The selection of beers was very impressive and the staff was very friendly. The food was OK. I had the fish and chips and was a bit disappointed that they used seasoned fries rather than the traditional style "chips" fries. Great experience overall.'
Fredrick Shiroma, 2 months ago, 5, "I still come here and it's still a great spot to visit in Hoboken"
Wesley Yap, 2 months ago, 5, 'Love the place.'
Abhijeet Shrivastava, 2 months ago, 5, ''
carlos teixeira, 2 months ago, 5, '(Translated by Google) Good\n\n(Original)\nBoa'
Antonio Casas, 2 months ago, 4, 'Great beer options'
Santiago, 2 months ago, 5, ''
Adam De Marchi, 2 months ago, 5, 'I love this place. Great food, especially the pretzel. Beer is awesome too. Fast and friendly service. What else can you ask for?'
Kirsten Walpert, 2 months ago, 5, ''
Jose Morales, 2 months ago, 5, ''
María Belén Barrera Peláez, 2 months ago, 5, ''
Kiko Cunningham, 3 months ago, 4, ''
Kesavanand M, 3 months ago, 5, 'Place adds so much of life to this area.'
Charles Yim, 3 months ago, 5, "We sat outside. The weather was nice in there evening. Ordered so much food and they were all good. Love the beer selections. Plenty of parking since it's in an industrial area."
Bradley Johnsen, 3 months ago, 4, ''
Alex Arnold, 3 months ago, 1, 'Trash'
Martini N. Rossi, 3 months ago, 2, ''
Zhuo Chen, 3 months ago, 5, ''
Har Dewakalu, 3 months ago, 4, ''
Brett Z, 3 months ago, 5, "This place was awesome! Love the Octoberfest style seating and attentive staff. The liter sized beer glasses ensure you'll be happy at least until your server comes back around even in the busiest times. I would definitely go again and would recommend anyone to try it out. The wings and pretzel were also very good."
Viraj Patel, 3 months ago, 5, 'I was literally impressed with the menu. They had so many different beers and most of them were so amazing.\nIt became my go to place now.\nThanks for the good service and live music.'
Chris Della Fave, 3 months ago, 4, ''
Dirty Sanchez, 3 months ago, 4, 'Good drinks'
Sam Wasserman, 3 months ago, 3, ''
Zach Saegesser, 3 months ago, 5, ''
Mob, 3 months ago, 5, 'Good food friendly staff & a good hangout..)'
Gilberto Matos, 3 months ago, 4, ''
Victoria Thoman, 3 months ago, 5, ''
Nicholas Prochilo, 4 months ago, 5, ''
Marina Havriliak, 4 months ago, 4, ''
Seth Victor, 4 months ago, 4, "Fun food, nice German/Austrian fare that you don't get at every bar. The beer steins are loads of fun, and the banquet tables with the candles help nail the perfect atmosphere. Four stars only because it can get massively crowded on the …"
tim going, 4 months ago, 5, 'Great place for a big group!'
Giri Reddy, 4 months ago, 4, ''
Robin Anil, 4 months ago, 5, ''
Sebastian Duchnowski, 4 months ago, 5, ''
Ralf274, 4 months ago, 5, ''
