author, date, rating, text
Theresa K, 2 weeks ago, 5, 'Love this place. Just good yummy traditional pizza.'
kevin ROME, 2 weeks ago, 5, ''
Miss Faye, a month ago, 2, ''
Bruno Francisco, a month ago, 5, ''
Ahmed Abdelmohsen (Ahmed), 2 months ago, 4, 'Al'
Raul Hernandez, 2 months ago, 1, 'I ordered a pizza. The pizza was cold. The calamari was burnt. And the guy who works for chow which is the service that they use, had dogs inside his car and the pizza was next to the dog. To make it worst, the guy didn’t come out of his car you had to come and pick it up from his car. The WORST experience ever. Wouldn’t recommend.'
Camila Quijano, 2 months ago, 2, 'Honestly ok pizza .. but this 15 year old kid had the nerve to ask for a tip after a $50 dollar order that was to made to go. The entitlement of deserving a tip was a little outrageous. I won’t be back, there’s ok pizza everywhere'
Lauren Walt, 2 months ago, 5, 'Delicious'
Adam Bilal, 3 months ago, 5, 'Good pizza'
Israel Villanueva, 3 months ago, 5, ''
Lucas Burns, 3 months ago, 2, ''
Samantha Lago, 3 months ago, 5, 'best salads and slices in town! definitely recommend! :)'
Manoela Morais, 4 months ago, 1, 'Asked to a risoto and this what a receive. Regular rice with meat?????'
Mitchell Raver, 4 months ago, 1, 'I’m not one to write reviews but the Buffalo chicken sandwich was so bad that I had to. As if a 9 Year old made it. Stay away from this place.'
Parth Patel, 4 months ago, 1, 'This guys are so dumb\nThey don’t know how to run an Resturant business !\nI ordered food and they said food will be delivered in 40-45 min . Food never came on that time frame !\nI called again like where is my food\nThey said your food is still here ! I don’t know why but do you need your food ? It will take 2 More hour !\nGuys don’t order or eat in\nThis is so in responsibility'
Antonio Fisch, 4 months ago, 5, 'Great pizza excellent service !'
eda kurt, 4 months ago, 2, ''
MG J, 5 months ago, 5, 'Front staff was extremely nice and welcoming. Pizza and salads were also really good, would definitely go again!'
New money Jones jones, 5 months ago, 1, 'So I moved to Hoboken about a year ago From Manhattan I live a block away from this pizzeria Had a little gathering What about 10 people And we ordered 4 pies This was the worst pizza ever This makes Hoboken look bad'
BARUN ROY, 5 months ago, 5, ''
Marvin Rodriguez, 6 months ago, 5, ''
Nathaniel Arocho, 6 months ago, 5, ''
Rowshanara Mustafiz, 6 months ago, 1, 'DO NOT GO :((  Worst in Hoboken\nSuper cheap packaging material, one plastic bag put 5 bottle, once I hang on fall down all, taste is horrible, honey mustard sauces mix full of water'
Colleen Zelaya, 6 months ago, 2, 'Staff was very nice. The place is dirty inside. Bought a margarita slice no taste and they don’t use fresh mozzarella or basil. Had better pizza in hoboken  restaurants'
Nathan Pegasi, 8 months ago, 1, 'Horrible place, worst people and worst food.. this place is the worst and should close! Attention ! Delivery person harassed people and is dangerous man !'
George Lombardi, 8 months ago, 5, "This place has some good pizza. The chicken parm sandwich is good too. The owner is really friendly and they have good hours. I highly recommend this place. It's my neighborhood pizza spot. You can't sit inside but they have tables outside."
Aditya Narayan, 8 months ago, 5, 'Excellent Grandma Pizza. Must try in Hoboken'
Mario Macri, 8 months ago, 1, ''
fabio delconte, 9 months ago, 1, 'So my wife order Riceballs , chicken with rice, mozzarella and tomatoes salad ... so the rice ball was dry and hard, the rice was saggy and unflavored, the mozzarella of the tomatoes salad taste funny .. I just eat the chicken and was dry too just cause I was hungry.. the rest finish in the garbage .. now we try to get the refund cause spend the money to throw it in the garbage is ridiculous!!'
Vazquez Jose, 9 months ago, 5, ''
Prakhar Prasad, 9 months ago, 5, ''
Jacob Gonzalez, 9 months ago, 1, "Worst pizza I ever had. Burnt and cold, not even warm. I ordered a Margherita pizza and it's all messed up. This place sucks."
Hector Garcia, 10 months ago, 5, 'Best Pizza Pie 😋🍕In Hoboken'
Shanill Ramos, 10 months ago, 5, 'Good pizza'
kem patel, 10 months ago, 5, 'The pizza here is amazing.I could eat there every day.'
bhumik patel, 10 months ago, 5, 'Best pizza in NJ in my opinion  great sauce and cheeeezy cheese yummmy 🍕'
Wild Groups, 10 months ago, 4, 'Love the cheese slices from here. Much better than other pizza slice places I’ve tried in NJ. Definitely recommend it.'
