author, date, rating, text
Katerina Malakhova, 6 days ago, 5, "Surprisingly delicious salads. Service is a bit rushed, but that's expected"
Michael Monaghan, 2 weeks ago, 5, ''
Tay-Tay N, 3 weeks ago, 1, "The Food was disgusting. I ordered the steak salad and my boyfriend had the rosemary roasted chicken. When I tell you the worst meal we've had in years, I recommend no one eat here. My steak was cold and looked raw. Way Too chewy and the greens looked days old. My boyfriend's chicken was pink and his string beans were soggy. He couldn't even eat the rice because the grains were stuck together and cold. One star, hope I don't die of food poisoning."
William casillas, 4 weeks ago, 5, ''
Hassa Shahzad, a month ago, 1, ''
Aries Zamora, a month ago, 5, 'Great and friendly staff, delicious food!'
Victor Zhou, a month ago, 5, ''
Benjamin Prosnitz, a month ago, 4, 'Tasty but overly oily'
Adrienne Doyle, a month ago, 2, 'So greasy and they need to learn portion control. Quality over quantity!'
Aakriti Mahajan, 2 months ago, 5, 'An affordable healthy lunch place. Their Mac and cheese is too good to not get with your other healthy food though.'
Mich Mick, 2 months ago, 1, 'I ordered the steak and it was still raw not even lightly grilled. And it came cold. And it was full of fat inside.\nThe quality used to be good but it has changed they should take quality out of there name. It’s not worth it.. it left such a bad taste in my mouth I had to throw it out, and I lost my appetite.'
James Robinson, 2 months ago, 5, 'Always fresh and very affordable. Never a long wait.'
Mica Nkusi, 2 months ago, 2, "*Delivery order review*\n\nTried this restaurant a number of times over the last 3-4 years and early on i was happy with the quality of the food. But in the last year that's changed dramatically.\n\nMy last order of the herb marinated steak is a prime example of how bad its become. The steak which used to be medium is more over cooked & dry, the sweet potatoes which are supposed to be cubed and roasted came mushy and burnt ( not first time) and the sauted broccoli had an acrid taste.\n\nQuality level here has been consistently dropping over my last 3 orders so clearly not an isolated instance. Truly hope they improve but can't recommend at this point"
Sandra Herrera, 2 months ago, 2, 'Salad is not fresh chicken rice no sprouts again and macaroni and cheese is dry never again'
Katie D, 2 months ago, 5, ''
Hip Hop Junky Radio Show, 2 months ago, 3, '2 issues. Their pieces of salmon get smaller every visit and eating inside of there is damn near impossible with the flies trying to invade your meal. Other than that the food is pretty good. The mac n cheese used to be excellent but it seems as if they brought in a nee cook since last year. The mac n cheese now tastes gross'
Farhath Feroz, 2 months ago, 1, 'Ordered the Mediterranean salmon salad on UberEats. It came with a huge piece of metal in it'
Utkarsh Srivastava, 2 months ago, 2, ''
Chris Kleinknecht, 3 months ago, 5, ''
Devin Rolon, 3 months ago, 5, ''
Rick Klempner, 3 months ago, 1, 'First and last time. Ordered the steak salad from the Hoboken NJ restaurant. There were 3 pieces of steak and the rest of the salad was basically soggy scallion. Just awful. Do not recommend'
Nehal Samuel, 3 months ago, 4, 'Nice place where you can find different varieties of salad and food. I liked quinoa ,sweet potato and roasted chicken as well'
Tyesha Hill, 3 months ago, 5, 'Quality greens kitchen food is amazing! It will have you second guessing is it really healthy because of how tasty it is. Great place, great atmosphere, and great food.'
Dimitrius Rivera, 3 months ago, 5, ''
CheF Marv, 3 months ago, 5, ''
BT LUCAS, 3 months ago, 3, 'I ordered through Uber eats. Unfortunately 1 of 2 bowls I ordered were wrong. 2 sides of Mac and cheese is what I ordered. Instead I got one. I ordered extra steak. They give me three pieces. It’s laughable. Also, because I ordered though Uber eats the restaurant simply can not do anything. I can find a better option in the future I’m sure. Too bad. They did had good.'
Carlos Zuniga, 4 months ago, 5, 'Excellent food and service I recommend'
Kaz V, 4 months ago, 1, 'Not worth 16 dollars for a salad.  Half of the bowl is mainly greens with minimal toppings. No attention to necessarily needs for a take out order.'
James Provence, 4 months ago, 1, 'Do not order from here for delivery. 2.5 hours after the anticipated delivery. Called the "restaurant" 2 times and they had no answers or were anywhere near compensating. Terrible service and the food that was eventually delivered was terrible.'
Addison Taylor, 4 months ago, 4, 'Always good stuff, friendly staff'
George Augusto, 4 months ago, 5, 'Beautiful'
LUIDEL PALMAR, 5 months ago, 5, ''
Matt, 5 months ago, 5, ''
Brian G, 5 months ago, 4, "It's difficult for me to give 5 stars to fast casual restaurants. Though the staff is nice, the interaction is merely transactional of a assembly line nature. The 4 stars is strictly food based, which was hearty and delicious. Every year my father and I plant a garden with an assortment of vegetables. Both parents grew up in N.C. so farm to table was a way of life. I have a bias against a restaurant on the strip of Hoboken saying they are fresh/nutritious. However, a man's gotta eat."
BOUCHRA ECH-CHETYOUY, 5 months ago, 5, ''
Stacy Hoenigmann, 5 months ago, 5, "Best salad place in Hoboken! So many options and ways to customize your order, and they always fill your bowl to the brim so you know you are getting the best portion size. Can get busy during lunch, but that's to be expected."
Half Pint, 5 months ago, 4, ''
Vivek Thirumalai, 5 months ago, 4, ''
Giselle Ross, 5 months ago, 1, "Ordered my salad at 1:20 for a 1:41 pickup. Walked over (15mins) to pick up my food only to get back to the office and realize its the wrong salad. I called to let them know and its been 30mins for them to deliver when I am only down the block (Im super pregnant and its 88 degrees outside which is why i'm not walking back) . The salad is not worth it - they provided me with a tiny side of dressing ON THE SIDE. Never ordering from here again."
Courtney Lind, 6 months ago, 1, 'My husband and I ordered salads from QG for the first time last summer and mine had a piece of thick wood toothpick in it!! Thankfully I didn’t swallow it but definitely concerned that it made its way in. We gave them another shot later on and not even kidding, this time his bowl had the same type of wood toothpick piece in it!! I’m not sure why this keeps happening. Where are these coming from?? Definitely not ordering from here again but a warning to everyone else - check for foreign objects in your meal!!'
Rebecca Minacapelli, 6 months ago, 5, 'Please please please please please bring back the three bean ceviche.'
Rachel Britt, 6 months ago, 5, 'I LOVE this place! I have gotten it delivered 3 times in the past week. You get a decent amount of food for what you pay for and it taste really clean and high-quality. I did have a minor issue where they delivered someone else\'s meal but they sent a new one ASAP. Also, the portion sizes seem to vary a bit. I\'ve gotten different amounts of chicken in the bowl each time. All in all though a good choice for healthy food. Plus their "simple kale caesar" is the best I\'ve ever had and I don\'t even like kale that much!'
Edward Cooper, 6 months ago, 5, 'They have very good quality food. I wish they would get Apple Pay.'
ObeseSkyDiver, 7 months ago, 2, "Food was good, steak was cold and i got charged extra for avocado. I don't have an issuing paying extra for something but at no point was i told Avocado is extra when making the food and the menu doesn't say that it is extra. Just at the register after everything is packed and bagged that theres an extra charge for it. Please put down on the menu that Avocado is extra."
Smoove White, 7 months ago, 3, ''
Charles Campbell, 7 months ago, 5, ''
Scott Edwards, 7 months ago, 5, 'Yum, yum, yum. I just moved from NYC and am so happy this place exists...reminds me so much of my fave takeout, Dig Inn. Love the Brussels sprouts, salmon, Mac, and carrot fries.'
Richard England, 7 months ago, 1, "So I just ordered a Chef's Plate with a base of brown rice, sides of carrots & broccoli, with salmon as my protein.  When handed the bowl, it looked as if somebody had eaten half of it.  This had to be the skimpiest $15 meal ever sold.  I get it if it were just the small piece of protein as I've had that happen before, but this server went incredibly light on the rice & sides too....the RICE!!!\nI usually don't do this bc my opinion isn't overly important, but I needed to vent. The silver lining is that it eliminated a choice of establishments in hoboken that I'll frequent."
T Rex, 7 months ago, 1, ''
Karen N, 7 months ago, 5, 'This mac and cheese!!! Also their Brussels sprouts, beets, sweet potato... basically everything.'
Mario Jorell Haigler, 7 months ago, 5, "Great salad fixin's you can make your own salad. It's basically the chipotle of salads lol"
Michael Small, 7 months ago, 2, 'Food good but no contactless payment in a food establishment in a pandemic? Come on...'
aasif jain, 8 months ago, 5, 'Very friendly staff and delicious food'
Bigga Bills, 8 months ago, 1, ''
Natalie Nikolaieva, 8 months ago, 5, 'Super friendly, clean and unbelievably yummy place!\nCome here If you’d like healthy and delicious food!\nI’ll come again for their salmon bowl with spicy  Brussels sprouts ❤️✨'
jon, 9 months ago, 5, 'Clean quality food.  Owner actually cares - *updated review just tried the steak its so good cuts like butter. Great clean food'
CJ, 9 months ago, 5, "Great experience and great food. My salad was fresh, got a good bit for what I paid, and on top of it staff was friendly and helpful. To top it off, I forgot my wallet and they don't have apple pay yet (coming soon they stated) and they were extremely patient with letting me go to the mobile site to place an order. Jay was particularly nice and pleasant. Definitely will go back for a healthy meal."
Sly Inda, 9 months ago, 5, 'awesome staff...this is how you know a place cares, it was almost close ..like a few mins before...and they ran out of Mac n Cheese but decided to make me a whole batch...awesome staff...really watch how the staff acts towards the end of a shift to know if they care'
Megan Nist, 9 months ago, 1, 'Used to order from here every week but they took it off uber eats and it says it’s “too far” and also won’t let me order from the website even though we live 15 min away (2 miles)'
Claudia C, 10 months ago, 5, 'Pleasantly surprised! Very tasty and healthy food & good portion size. The chicken and steak were flavorful and perfectly cooked. Would order from here again :)'
Muhamad Q, 10 months ago, 2, "You need to have an acquired taste to eat this food. I couldn't believe how the chicken and steak tasted like liver, which was really nasty. Also the sides are so salty and bitter. The only thing i honestly liked is their salad and mac and cheese. Expensive salty food i couldnt dare to finish. First and last time ordering."
Breanne Crawford, 10 months ago, 2, 'Ordered salmon with sweet potatoes etc. Everything overall seemed ok but both me and my friend were sick the same evening after! Be careful!\nGiving two stars because staff was actually nice, otherwise I would give one for food only.'
Kalanni More, 10 months ago, 5, 'If your ganna eat..\n\nEAT HERE‼️😋🥰'
Chao Wu, 11 months ago, 5, 'Great and fresh food'
Margaret Finnegan, 11 months ago, 5, ''
Majid Ramezani, 11 months ago, 4, "Fantastic healthy food. Great warm and cold choices. I love hot dishes with two sides. I suggest trying their salmon. I visited this place during Covid. No dine in but I wasn't happy with the staff following Covid protocols. However they all wear masks, they were touching the masks frequently when preparing the food. I like the freshness and quality of the food a lot but prefer not to visit during covid."
Anthony Pein, 11 months ago, 5, 'Amazing food'
Silvia Roche, a year ago, 5, ''
Cassarah V, a year ago, 1, 'Don’t order online! Literally the 3rd time we have and gotten the SAME results. Not once were the sauces we ordered and paid for in the order or  extra chicken for my boyfriend that was paid for.'
Rachelle Martins, a year ago, 3, 'Ordered the tofu bowl via Grubhub and it arrived 30 mins late while I was in a meeting for 2 hours - not fun in a rumbling stomach. Food was ok - a bit too salty, but healthy and fresh tasting.\nThe one major concern is that this restaurant completely ignore my double instructions to not send me any plastic utensils or straws. I hate that they out it in me to pollute the planet\nQuality greens team - pay attention to customer requests and leave the plastic stuff out!'
Anile geefe, a year ago, 5, 'Best server and food'
Thomas Steitz, a year ago, 5, 'Great food quickly, but at a premium to most fast casual.'
lovetta G, a year ago, 5, 'The workers there are amazing and made me had a great experience while picking on my choices of food.'
Frances Rosario, a year ago, 5, 'This is the best food in Hoboken! Hands down! I definitely recommend the Rosemary Roasted Chicken! I can eat this any day 😌'
Rianna Ang, a year ago, 5, 'Their food is always great! When I go, The taste it always the same! Delicious! All the ingredients taste clean and fresh!! Staff are always amazing!!'
Sarah Bonilla, a year ago, 5, ''
Leila Parra, a year ago, 5, ''
David P, a year ago, 5, 'Great place.  Food is very fresh and healthful.  Restaurant quality food that can be picked up fast.  Salmon was delicious, along with the beets side and the broccoli.  Will definitely return.'
K C, a year ago, 5, 'Just tried for the first time. Food was slamming!'
Beixi Li, a year ago, 2, "Ordered a delivery from their website and it's been two hours.\n\nfood is good though"
Tamara Tummings, a year ago, 5, ''
Precious Bonaparte, a year ago, 5, 'Love it'
Fathia Danastor, a year ago, 3, ''
LSUFAN67, a year ago, 3, 'First time in to grab a couple of salads for my wife and I.  We both ordered the Steakhouse Salads and a side of Mac and Cheese.  The food was great and well prepared.  The staff was busy but were able to keep up and keep the place clean and in order.  My only issue and why I rated a 3 was the music that was playing. I know I’m an older gentlemen but I can’t imagine why a restaurant that serves patrons of all ages, races and ethnic groups would  allow vulgar music to play so loud you can’t hear the person standing next to you.  I mean this is a place to grab a bite to eat not a night club.  I hope they make different choices in the future and maybe this was a one off situation because the food is great.'
Jerry Martinez, a year ago, 5, 'Food and Ambiance is amazing. Staff is always Friendly'
Luis Muniz, a year ago, 5, 'Just ordered here for the first time! Herb marinated steak was incredible.  Best food I’ve had in a while!  Definitely ordering here again!'
Dr. Christine Palma, a year ago, 5, 'My go to healthy option in Hoboken'
Randall Blecher, a year ago, 5, ''
Luke Mallet, a year ago, 5, 'Very good fresh food. Really like the curried carrots and the chefs plate. Can somwtimes make 2 meals'
Stefan Aurori, a year ago, 5, ''
William Álvarez, a year ago, 5, ''
Anthony Rodriguez, a year ago, 5, 'A bit too pricey but the food is heavenly and the staff attentive and synchronous it looked like a dance routine'
Renee L'Heureux, a year ago, 5, ''
Nadav & Oria Malka, a year ago, 5, ''
Steffanie, a year ago, 5, 'My absolutely FAVORITE healthy place in Hoboken. Is not only healthy but it’s delicious!\nMy only advise is to buy it in the main restaurant if you can because delivery is too expensive through seamless.'
Katie Luky, a year ago, 5, "Just received our first catering order from this place and I have to say that it's very similar to Dig Inn, but doesn't have that funky smell that DIG inn food does, thats a plus. Will probably order from them again. Def recommend them for office style catering."
Robert Mihok, a year ago, 4, 'Fresh, quality food. Worth a try.'
Fernando Dorado, a year ago, 5, ''
D. Bradley McIlquham, a year ago, 5, ''
rishi patel, a year ago, 4, 'Many "healthy" options, but the food is a bit bland. I got the rosemary chicken plate and the chicken tastes a bit undercooked and a friend I was with got a salad, in which the chicken tasted undercooked as well. Would give this a 3.5 stars because of this. Dig in vibes but not as good.'
Candice Brookins, a year ago, 4, ''
Francis Ortaliz, a year ago, 5, ''
maureen gallagher, a year ago, 4, ''
Fatima Jones, a year ago, 5, 'The food was fresh and delicious .The place was clean and the staff was very friendly.'
Emily Ross, a year ago, 1, 'I will never order from this place again. They have the most rude drivers. I have a newborn. I asked the driver if he could come upstairs and quietly leave the food hanging next to my door. He said he is not allowed to do so I would have to come and grab the food from him or he will take it back to the store. I explained that I have a newborn baby and I do not want to expose him to the cold. How rude can you people be. Look outside the window to take his license plate its a honda licence plate c32 jsm. This driver needs to get fired immediately he does not have any idea how to treat customers'
Matt Origoni, a year ago, 5, 'Best quick salad spot in Hoboken. Huge hot portions too.'
William Baker, a year ago, 4, 'Grear simple salads and rice bowls. Wish the hot food was a bit healthier and simpler.'
Amit Verma, a year ago, 4, ''
Kris Lehner, a year ago, 5, ''
Stephen Lagano, a year ago, 4, ''
Dave Curran, a year ago, 5, "I can't get enough quality greens. On the pricy side but the food is worth it for me. I'm a fan of the plate with quinoa, steak, half chicken, Brussels, and Mac and cheese. The sweet potatoes are good too"
Mel M, a year ago, 3, ''
Sherin Joy, a year ago, 3, 'The food here May be healthy but not tasty for me,I am not satisfied. There was so less options for seasoning. It was my first try probably the last as well🙃'
Cj Ninebot, a year ago, 5, ''
Marie Papp, a year ago, 4, "They have really good chicken and salads.  The only thing I wish they wouldn't put so much oil and salt on their cooked kale and other cooked vegetables.  It maybe some vinegarette but it feels oliy and heavy. Their Alpine cold unsweetened tea is excellent!"
Mista Bayview, a year ago, 5, ''
Marco Garcia, 2 years ago, 5, ''
Jeremy Zuttah, 2 years ago, 4, 'Healthy and tasty choices. Portion size has definitely been shrinking since they opened'
Nidhin Pattaniyil, 2 years ago, 4, ''
Sym Cardnel, 2 years ago, 1, 'Just did not like what I ordered at all (salmon, greens n rice)... wayyy to much oil n or butter. Nasty!!!'
Rachel Abbott, 2 years ago, 5, ''
Amy Ma, 2 years ago, 5, ''
Connor Murphy, 2 years ago, 5, ''
John Ozed, 2 years ago, 3, 'Footlocker!'
Michael Edwards, 2 years ago, 5, ''
Ruben Hernandez, 2 years ago, 5, ''
Preston Martin, 2 years ago, 5, ''
Dhawal Deota, 2 years ago, 4, ''
Davis Timothy, 2 years ago, 1, 'Too much salt in carrot fries ugh!!!'
Sid Nayak, 2 years ago, 5, ''
David Jamroz, 2 years ago, 5, ''
lucas vasquez, 2 years ago, 5, ''
Sonja Balcer, 2 years ago, 4, ''
