author, date, rating, text
Caryn Danzy, 6 days ago, 5, 'Loved this is place. The food is original....try it!'
Peter Rothwell, a week ago, 3, 'Stopped by today for a slice of pizza at 2PM on a Tuesday.  The slice purchased was a dried slice, with a few fresh mushrooms added.  The mushrooms were the only fresh part of the pizza.  The pizza was not half as good as Natali’s up the street.'
Eren Solu, a week ago, 4, ''
YOUNG IL LEE, a month ago, 1, 'Absolutely horrific!!! Never ever will order food from here again!'
Anita Garcia, 4 months ago, 1, 'It’s all thin bread. No sauce, very thin layer of cheese'
MAL BROWN, 4 months ago, 5, 'Great pizza very friendly staff'
Cathy Mc Guire, 5 months ago, 5, 'food was great'
Tony Bogo, 5 months ago, 5, 'great'
Darvin Avila, 6 months ago, 5, 'They got great pizza, excellent service, and some tables outside if you want to eat there. The will open inside soon tough.\nThe drinks are also good.'
Dirty Sanchez, 7 months ago, 5, 'Great pizza'
E G, 7 months ago, 5, 'Simply the best pizza'
Michael Young, 11 months ago, 3, 'bland pizza - so many great choices in the area for pizza and we had 2 different pizzas - mediocre at best - we ordered delivery via slice that had this place rated 5stars'
Lowell Kaps, 11 months ago, 5, ''
Genta Nika, a year ago, 5, ''
Christian Girigorie, a year ago, 5, 'The pizza here are fantastic!! Thumbs up!'
Joseph Capaldo, a year ago, 4, "Always satisfied ! Pizza was excellent. I ate some meals there a while back and6 loved it. Don't forget a cannoli !!"
Kiersten Gormeley, a year ago, 5, 'Ordered delivery last night for the first time ever...fried calamari was amazing and fresh. Sad I didn’t know about this gem earlier!! Will be back :)'
Mack Bango, a year ago, 5, 'Awesome'
Yvonne Rodriguez, a year ago, 5, ''
MYB Exchange, a year ago, 4, 'Enjoyed the Eggplant Parmigiana sandwich.'
leslie witkowski, a year ago, 5, 'Great food and service ! Really fresh and definitely quality food during these crazy times ! Thank you !'
Vlora Aliu, a year ago, 1, "This place is not sanitary and the staff, especially the males are rude and nasty. Honestly you are in the service industry the least you can do is be polite. I'm shocked they're still in business."
Michael Dattolo, a year ago, 5, ''
Danielle Penge, a year ago, 5, 'I have been eating here for years. My favorite dish is the penne vodka. Their homemade sauces are so delicious. The pizza here is always cooked perfectly and they have a very fast delivery service!'
Silvio Micheloto, a year ago, 4, ''
Simon Belmundo, a year ago, 1, ''
Fabio Almeida, a year ago, 1, "Used to be one of the best pizzas in Hoboken and it's now the worst one. What a pity."
Will, a year ago, 5, ''
Darby Foreman, 2 years ago, 4, 'Great slice and convenient location. No frills.'
Viraj Mehta, 2 years ago, 4, ''
Greedy V2, 2 years ago, 5, ''
Myriam Fernandez, 2 years ago, 4, ''
David Horowitz, 2 years ago, 3, ''
Sean Karg, 2 years ago, 5, ''
Christina McGill, 2 years ago, 5, 'Best pizza in Hoboken.'
David Jamroz, 2 years ago, 5, ''
RAG 1964, 2 years ago, 4, 'Clean and good pizza ! Of the best I had'
Himu Ahmed, 2 years ago, 5, 'Well the customer service is very good. Treat you nice. Their pizza is little pricey  but one of the best in the whole of Hoboken.'
M, 2 years ago, 5, ''
Garrett Nunn, 2 years ago, 5, 'The mother and son that worked here were incredibly nice and the food was excellent. Plus the price was on point too.'
Matt Yablonsky, 2 years ago, 5, ''
nema, 2 years ago, 5, ''
Nina Segura, 2 years ago, 5, ''
Familie Helbling, 2 years ago, 5, 'Great food and very nice staff. We went there three times to eat pizza and we liked it so much! We can fully recommend.'
Pierre El Wazan, 2 years ago, 3, ''
Sa'id Kharboutli, 2 years ago, 4, ''
Broad Spectrum Publicity V., 2 years ago, 5, ''
Claire Dillon, 2 years ago, 5, 'Loved the pizza and cheesy fries, next trip will visit again😁😁'
Isidro Guzman, 2 years ago, 5, ''
Leif U, 2 years ago, 5, ''
Norberto Melendez, 2 years ago, 5, ''
Michael Legregni, 2 years ago, 2, 'Just stopped in to get a quick sandwich for lunch,  grilled chicken with lettuce, tomato and onion with Italian dressing. I wouldn’t feed this thing to my dog. The chicken looks like it’s a few days old and it’s rockhard, not an ounce of dressing on the bread, a few shreds of lettuce. Going right in the garbage.'
Joe Minuti, 2 years ago, 5, 'Homemade pizza with fresh mozzarella and other toppings.'
Allen Dierolf, 2 years ago, 5, ''
Savannah Jones, 2 years ago, 5, ''
David Orr, 2 years ago, 4, 'Really nice little place. Plain slice with a perfect crispy crust.'
Jaime Traverzo, 2 years ago, 5, 'Awesome'
Sylvia Jimenez, 2 years ago, 5, 'The food  is great! The staff is always friendly and the restaurant is kept clean!!!'
Harold JR. Milne, 2 years ago, 4, ''
Walter Pineda, 2 years ago, 5, ''
Tanya Panchenko, 2 years ago, 5, ''
Eileen Spadavecchia, 2 years ago, 4, ''
Lisa Hoskins, 2 years ago, 5, 'Seriously great pizza.'
Isabelle Garlick, 2 years ago, 5, ''
김현회, 2 years ago, 1, 'Frozon pizza is better than this about 20dollar for this'
Latia Bates, 2 years ago, 5, 'Love their pizza!'
Gregory Gioia, 2 years ago, 5, 'Very good pizza'
Dillon Wu, 2 years ago, 5, "Hidden gem in terms of food!  It's a pizza place no doubt but all dishes cooked to order.  Served hot and fresh.  So delicious!"
Alex Cardenas, 2 years ago, 5, ''
a a, 2 years ago, 5, 'Yummy pizza 🍕'
Iman Osman, 2 years ago, 5, ''
Chris Cigainero, 2 years ago, 5, 'Clean and friendly staff'
Bobby Kuhfuss, 2 years ago, 5, ''
Brandon bk, 2 years ago, 4, 'Good chicken parm, friendly atmosphere'
Sean Kogan-Vovsi, 2 years ago, 5, ''
Peter Wehmeyer, 2 years ago, 5, "Excellent dinner dishes & awesome pizza.\nAnd they're really nice there"
Anthony Esposito, 2 years ago, 5, ''
Melissa G., 2 years ago, 5, ''
Sara N, 2 years ago, 5, ''
Róbert Busa-Fekete, 2 years ago, 1, ''
Jorge Quinoness, 3 years ago, 5, ''
Michael Bolls (マイケル・ボールス), 3 years ago, 5, 'Nice quiet spot in North Hoboken. Pizzas was fresh and delicious. Lots of table space for crowds. Enjoyed the memorabilia to the area as well.'
Bujar Osmani, 3 years ago, 5, 'Best pizza in town,family owned and operated!'
Gil Rivera, 3 years ago, 3, ''
G Morales, 3 years ago, 5, 'Great pasta dished'
Joe, 3 years ago, 5, "Best pizza I've ever had"
Melissa DiLorenzo, 3 years ago, 5, 'It’s a solid place, fast delivery and very pleasant guy who takes the order. Some things are excellent and some are just ok. Nothing is ever inedible or anything. Fresh bread,  margarita pizza is awesome but it’s not like a real margarita. It’s a cross between regular old school pizza and margarita but everyone always loves it and says it tastes really fresh. Cannolis are outstanding, fine dining quality.'
KAROL AGUILAR, 3 years ago, 2, "I ordered a pasta bolognese and was disappointed especially because I had a craving for this. The sauce was oily and the pasta was dry. Maybe they're known for other foods on their menu that taste better, but I probably won't order from here again."
GĒKE SOUND, 3 years ago, 5, 'They took my food allergies seriously and served the best buffalo chicken slice ive ever had.'
