author, date, rating, text
Dave Watts, 6 days ago, 5, "One of the best gems in Hoboken. Great food, great service, and easy parking! Look no further next time you're in the mood for Italian in the Hoboken/JC/Weehawken area. You won't be disappointed. Make sure you try their Mozz Sticks!"
Mark Wald, a week ago, 5, 'Delicious.  Noisy.'
Nam Woo, a week ago, 5, ''
Joe Minuti, 3 weeks ago, 5, "Good Italian American food at a reasonable price. They make their own mozzarella fresh on location. It's bring your own bottle if you want to drink. There is a large parking lot with free parking."
Anthony Zurbito, 4 weeks ago, 5, ''
Shawn E, a month ago, 5, 'I love this place. Some of the best Italian in town and very reasonable. I recommend any dish on the menu, and the Tartufo is outstanding! Cozy atmosphere, good service, and delicious food.'
Jenn Chan, a month ago, 5, ''
reshma srinivas, 2 months ago, 3, ''
kira, 2 months ago, 5, 'Best Brick Oven Personal Pan Pizza in Hoboken/JC, I literally go to smorgasbar (3 Second st) maybe 3x a week just to pick up a pie for myself & I’m not ashamed about that. With 4 types of seating areas & available bar til midnight nearby,  it’s an amazing experience. Back to the pizza, cheese is so fresh, sauce is full of flavor & crust is so good nothing will be left! Staff is cool & always ask if I enjoy my food. Well done'
Lauren Melfi, 2 months ago, 5, 'A hidden little gem! Super fast delivery too!'
Cina Arias, 2 months ago, 5, 'Excellent service and delicious food'
Supreme -_-RD, 2 months ago, 5, ''
Mark Mattheiss, 2 months ago, 5, 'They are one of my favorite restaurants in hoboken and have the BEST mozz sticks I’ve ever ordered from a restaurant.  Very nice atmosphere and great service 10/10 would recommend never dissatisfied!'
Robert Levy, 2 months ago, 5, 'Food is amazing!! Best Mozz sticks you’ll ever have'
Tatum Ayers, 3 months ago, 5, 'Overall great experience! Friendly, welcoming, and felt at home. The coal fired pizza was fresh and made to order - highly recommend!!!!'
Teresa Geis, 3 months ago, 5, ''
Quinn Candelaria, 3 months ago, 5, 'Had dinner at San Giuseppe Sunday night with a some friends. Food was great, some on the best Italian food I’ve had in Hoboken; the vegetarian pizza is to die for. Nice and inviting atmosphere. Ronald was awesome, should get a raise! Will definitely visit again soon.'
A Pagan, 3 months ago, 4, 'The food is out standing . Delicious'
P C, 3 months ago, 5, 'Great food and service. The clams with linguine was very fresh. Very kid friendly restaurant.'
Kris M, 4 months ago, 5, "So very happy this place made it through the pandemic. It's a hidden gem and so worth the time and dining in. Please go NOW and take a look and enjoy the amazing food!!"
CurlsnPearlsss, 4 months ago, 1, 'Great food but the blonde waitress (she’s never introduced herself by name) who served us was not friendly or attentive at all. This was not the first time she’s served us and we always get the same attitude from her. I love supporting local businesses but I won’t be returning to this establishment.'
Sean Donovan, 4 months ago, 5, "Don't know what the bad reviews are about. Have been here numerous times and have never had a bad experience.  Amazing food, great service. Owners are always there to make sure everything is up to standards and they never disappoint. A must go if you're in the area. BYOB. Love it!!"
Kevin Libutsi, 4 months ago, 4, 'Good food'
Sri Rajan, 5 months ago, 3, ''
Avi Cohen, 5 months ago, 5, 'Been coming here a long time and never had any impression other than terrific food.'
Danielle Caple, 5 months ago, 5, 'B.Y.O.B!'
Art Monti, 5 months ago, 5, "Small but comprehensive...\nOutstanding cousine... etnic or regional, Giuseppe can cater different requests and service impeccable...with Danielle service organizer to Giuseppe owner...you can't go wrong in order to enjoy your dining experience.... I had a party of 27  guests and the party was smashing.\nTry it you will love it"
Pascal Ferreira, 5 months ago, 5, ''
Brian Paz, 5 months ago, 5, ''
Jose Giraldo, 5 months ago, 5, '(Translated by Google) We loved the food and there is also very good service\n\n(Original)\nLa comida nos encantó y también hay muy buena atención'
Joseph E., 5 months ago, 5, ''
Frank Bock, 5 months ago, 1, 'First time ordering from here and it was horrible.  Ordered spaghetti, cheese calzone and 4 sodas.   all 4 sodas were missing and calzone was filled with water, I never had such a watery calzone.  Grub Hub gave me back my money for the sodas but never ordering from here again.'
Agatha Lessa, 5 months ago, 5, 'They have the best bolognese pasta!'
Joanne Nick, 6 months ago, 5, 'Overall good experience, great food and great host!'
Fred Cee, 6 months ago, 5, 'What a great place !!!   We just celebrated our daughters wedding here ! There were ten of us . The table was set up and decorated  beautifully ! The servers were absolutely amazing  and attentive ! Champagne glasses and wine glasses with our water glasses . Opened our Champagnes and wines wonderfully . Then the calamari - so light and delicious . Fried perfectly. Then the best eggplant rollantini I have ever had followed by an amazing family salad with a little balsamic and topped with goat cheese !  Next the pastas  - Big portions of Rigatoni with sausage and broccoli rabe or penne vodka ! The rigatoni dish amazing ! Then a choice of salmon or chicken scarp - The Scarp was amazing - Next choice of coffee , tea, espresso or cappacino with delicious italian cookies ! Just an amazing experience ! I can not say enough about the owners  and staff !!  Plus free parking ! We will be back next time we are in The Boken !'
Kenneth Cardona, 6 months ago, 5, 'Delicious. Friendly service. Make sure to get buratta with prosciutto and veal saltimbocca.'
Mehul Agarwal, 7 months ago, 5, ''
Samuel Manchame, 7 months ago, 5, ''
Carmine Esposito, 7 months ago, 4, 'Food good service good all around good experience'
chris kay, 8 months ago, 5, 'Best Italian food in Hoboken.\nAnd now the best wings too\n\nGood job Joe !'
Ron Yu, 8 months ago, 5, 'Ordered a margherita and tiramisu. Very delicious'
Samuel ForNow, 9 months ago, 1, 'Ordered a Grandmas pie and it was thee worse one I ever had! The edges were burned and the sauce is watery. If I coulda gave that pie no stars, I would have. I could tell they have potential to be a great restaurant, just not today!\nSincerely,\n😠 disgusted on Super Bowl Sunday!'
Diego Lares, 9 months ago, 5, ''
Ellie DeCandia, 9 months ago, 5, 'Always GREAT'
Ask Me, 9 months ago, 5, 'Food was great service a bit slow but seen worst will def go bank again, and they have their own parking lot  a Major Plus for Hoboken.'
Michael Delgrosso, 10 months ago, 5, 'Best food and best people like family'
Maria Rivera, 10 months ago, 4, ''
Nicole Herr, 10 months ago, 5, ''
S P, 11 months ago, 5, 'The customer service here is excellent and the pizza is PHENOMENAL. This is now my to go pizza place.'
David Beegle, 11 months ago, 5, 'Good Italian food whether you are looking for pizza or a pasta dish they are both great. Try the homemade mozzarella sticks and garlic knots. Parking on site is convenient and prices are reasonable for Hoboken.'
Fadila Addaouki, 11 months ago, 5, 'Amazing food!!! Best specialty pizza!!'
Krysta Kalajian, 11 months ago, 5, 'We ate outside on a cold evening after it rained all day and the heat lamps were awesome! The garlic knots were absolutely amazing. We got the lasagna and the vodka sauce parm. Both were delicious and we highly recommend! Will definitely be back!'
Peter Siebel, 11 months ago, 5, 'There tonight with the family for first time. Food was delicious. Real homemade Italian food. Will definitely be back!'
Cornelius Rockefeller, a year ago, 5, 'From the Baked Clams to the Barrata to the Rigatoni Bolognese, these Italians know how to cook. Nothing is too cute and everything is classic and done as it should. They know their garlic just as much as they know their vowels. I am impressed and will be a frequent. Farewell, and till next time - CC Rockefeller'
Eric Rodriguez, a year ago, 5, "This place is amazing I'm a chef and it's very hard to impress me but they did from service to the food it's was so on point the owner joe offered a desert and coffee great place for family or to impress a date\nThe servers Ron and Christy are on point can't wait to go back"
Eddie Jimenez, a year ago, 4, "Staff is very attentive and food is great. You won't leave there hungry or disappointed."
Puro Amor, a year ago, 5, ''
Kennedy Ng, a year ago, 5, "I usually order take out from this restaurant, and sometimes dine in. Ronal always takes care of my table and is always is very attentive. Food is great and prices are good for the quality of food. I'd recommend trying the Calamri, Cacio e Pepe, chicken francese, and ravioli di casa. The pizza and Tiramisu are also very good. Great service and delivery too, with the care of Ronal and their delivery driver too!"
Jodie K, a year ago, 5, 'DELICIOUS! They have a chicken parm special with vodka sauce topped with burrata. It is out of this world. It is probably the best dish of my entire life. The owner is a good guy, he is very friendly and checks on all the tables to ensure a pleasant experience. GO!!!'
Jasmin Singleton, a year ago, 5, 'italian food, yeah, very delicious. Visited on a Wednesday I think. The staff was sociable and attentive. This place has a nice atmosphere.'
Chloe Bergman-Ray, a year ago, 5, 'My husband and I went here for the first time ever for our anniversary, and we were really impressed! Delicious food, BYOB, good prices, excellent service and atmosphere. We dined outside and its on a nice quiet side area of Hoboken. We will definitely be back!'
Spencer Colgan Wallpaper & Painting, a year ago, 5, 'This place is "the bomb!"  I have had different things each time I\'ve eaten here and it is always awesome. The owner makes sure that your satisfied. I love this place.\n\nThe food is well worth the price. My opinion.\n\nThey are now closed for good; no longer in business.'
Basia Buga, a year ago, 5, ''
Lauren Fitzpatrick, a year ago, 5, "My husband and I ate here last night for the first time and absolutely loved it. The food is excellent and maybe the best we've had in Hoboken (which has no shortage of great Italian!) The menu has something for everyone. I had the bolognese and it was incredible. My husband had the vodka/chicken/burrata special and thought it was amazing. The service is also fantastic - we felt so taken care of by Christina. Truly a great experience. If you are looking for great food, impeccable service, and just a wonderful, relaxing atmosphere you can't go wrong here!"
Salvatore Architetto, a year ago, 3, ''
Ana Donis, a year ago, 5, '(Translated by Google) A very pleasant atmosphere and the attention of the waitress is excellent. We ordered a lasagna and pasta Alfredo with chicken and shrimp, both delicious dishes. We recommend it 100%\n\n(Original)\nUn ambiente muy agradable y la atención de la mesera es excelente.  Pedimos una lasagna y pasta Alfredo con pollo y camarones, ambos platos deliciosos. Lo recomendamos 100%'
Jesenia S., a year ago, 5, 'Amazing service great tasting food two and they are all friendly .'
Philip Evan DeCorte, a year ago, 4, ''
Narin Ahmed, a year ago, 5, 'Excellent food (try their margarita pizza, house made cheese ravioli, bread sticks, meat balls and beet salad... everything is delish but those are our favs!) There’s ample outdoor, socially distanced seating and friendly staff. If you have small kids like I do, there is enough space for them to run around, ride their scooter, or play in the enclosed soccer area right next to the parking lot if they finish dinner early.  It’s never too busy or loud, so we always feel like we have personalized service! We have wondered why people opt for the loud and extremely busy other spots on Washington or 14th (where the food is also just not as good) - but we realized that many people probably don’t know the restaurant is even there because it’s about a block away from 14th and Willow.  Easily walkable from Jersey City and Union City if you are close to the 14th street bridge.\n\nHighly recommend this local, family owned business especially for a nice night out for dinner during this quarantine (and post, whenever that happens).'
Natalie, a year ago, 5, 'Food was delicious for a small restaurant not in the main part of Hoboken.  The Burrata cheese, prosciutto and roast peppers appetizer was yummy.  The linguine el dente with white clams had a great sauce.  Lastly, the chicken francese was great.  Good outdoor seating and free parking.  Also, the price is good.  I highly recommend!'
or taiter, a year ago, 5, ''
Lou Spadaro, a year ago, 5, ''
Shea Licata, a year ago, 5, 'My fiancée and I went here for dinner and everything was phenomenal including the service. Our burrata appetizer was delicious and the pizza was extremely appetizing. We will definitely be returning as it was one of the better Italian meals we’ve had in Hoboken.'
Ian Spinarkle, a year ago, 5, ''
D, a year ago, 5, ''
Anne Liegel, a year ago, 5, 'I really just love this place. I was super excited to see they recently reopened after closing for a bit during Covid. Anything I ever order is always out of this world and you can always rely on their delivery (an area I feel most restaurants in this area lack). They also have a good delivery radius (I moved from Hoboken to Paulus Hook and they reach me)! Once we can stop social distancing I also recommend them for parties. Joe hosted a birthday for me a few years ago and worked so patiently with my family to ensure everything was just as we envisioned. There was so much food and everyone had such a great time. Thanks for keeping me well fed and keep up the good work you guys!! Hope to see you in person soon.'
Sandeep Joshi, a year ago, 5, ''
Robbie, a year ago, 5, ''
Renee Alston, a year ago, 5, ''
Lil Cheeto, a year ago, 5, 'BEST PLACE EVER!!!!!\nthe food and service was 100% the best. I recommend people to come to this place if they want the best pizza.'
Alex Sacchetti, a year ago, 4, 'Awesome food the one server was good the other was a bit entitled'
Joseph Keenan, a year ago, 2, "Food is not good! Pasta over cooked and drowned in sauce, veal saltimboco was very salty and dry. Ambience is lacking, super bright LED lights need to be dimmed. Also pricey for what it is, entres were  $18 - $20+ There is much better Italian food in Hoboken. Owner was friendly at first but then kept his distance once he saw the look of disappointment on my dates face, made no attempt to improve our experinece. The server was good though and there is parking which is why I'm giving 2 stars instead on 1."
Leslie Karsch, a year ago, 5, "Excellent food and atmosphere. From salads to fresh ingredient pizza's to delicious desserts it was a great dining pleasure."
William Cerny, a year ago, 5, ''
Sven Sauer, a year ago, 5, 'Delicious pizza! Very small though, wait times likely.'
Ryan McEnerney, a year ago, 5, 'A BYOB with Parking in Hoboken. Unreal'
Stan York, a year ago, 4, 'Small restaurant with perhaps a dozen tables and a considerable take-out and delivery business.    Service was friendly.\n\nThe restaurant does not server alcohol, not even wine.   [Other reviews imply BYOB].\n\nOur table of four split two hearty salads.   Sauce was tasty - worth using some bread to chase!'
Praveen P R, a year ago, 5, ''
annie, a year ago, 5, ''
Ang Savoca, a year ago, 5, 'Sauce in everything was great, pizza was excellent!'
David Velazco, a year ago, 5, 'Amazing place and amazing food too, I believe this is the only restaurant in the whole city of hoboken that offers free parking and I love that, besides the restaurant is very good looking the food is just outstanding'
Sanjiv Singh, a year ago, 5, ''
Caroline dacosta, a year ago, 4, ''
David Torres, 2 years ago, 5, ''
Mike Falvo, 2 years ago, 4, 'Very good food and service. Limited menu'
Myles Helfand, 2 years ago, 4, ''
Diane Wesson, 2 years ago, 4, ''
Mica Nkusi, 2 years ago, 1, 'First time ordering from here and it was terrible. Found them On seamless/grub hub and ordered one minestrone soup., spaghetti & meatballs , & kids spaghetti & meatballs. The minestrone looked like someone just salted chicken broth & put in some vegetables. If you look at the attached pic you can see this soup has clear broth unlike what a real minestrone  is. Tried about 4 spoons & dumped the rest of that salted water.\nThe spaghetti & meatballs were equally as woeful. Barely had any seasoning, dry as heck & flavorless. Not sure what was in the tomato source but it wasn’t very good either.\nAlso, the regular spaghetti & meatball order ($18) is practically the same amount as the kids order($10)- except for one measly meatball.  Basically charge you   $8 for the xtra meatball. Ripoff.\nOrder came complete with some burnt bread.\n\nWould not order from here again'
Bruce Ornstein, 2 years ago, 4, 'Good food. Nice atmosphere. Friendly staff'
Matt Lucchesi, 2 years ago, 5, ''
Gregory Hodkinson, 2 years ago, 5, 'Amazing food, the owner was so nice. Great service. Highly recommended.'
Kylie Lindebner, 2 years ago, 1, 'Never leave reviews but this was SO bad, we had to. Cheese and pepperoni pizza ordered for delivery. Showed up 15 mins later with literally no cheese and uncooked dough. 30 mins before closing time, so apparently they didn’t appreciate the order. This was inedible and the whole thing had to be thrown out.'
Akanksha Bhatt (iamfab.us), 2 years ago, 4, ''
GREGORY pulice, 2 years ago, 5, 'We were visiting friends in Hoboken and tried this place for the first time. We were immediately greeted by friendly staff and owner Joseph( extremely pleasant)... and incredible aroma of making pizza. We ordered Calamarii Fritti,  and Riceballs for appetizers. Simply delicious. We had veil marsala and pollo portobello chicken . Both dishes were prepared  beautifully and bursting with taste! The meat and vegetables were both tender and delicious .  As we continued our meal our expectations continued to be exceeded. As for desert, .GREAT!!! the restaurant is immaculate clean with a cozy ambiance. Prices are very reasonable  and dishes plentiful.  By the end of the meal we were planning our next visit!!!\nGP'
warren jackson, 2 years ago, 5, "The food is always on point and its family friendly atmosphere is wonderful! I'll be back!"
Prohood Cleaningllc, 2 years ago, 5, ''
Rogelio Castro, 2 years ago, 5, 'Thier food was amazing but their tiramisu was out of this world!!!!'
David Horowitz, 2 years ago, 5, ''
Hilary Moser Rafferty, 2 years ago, 5, ''
Vincenzo Grasso, 2 years ago, 5, 'Great food , great service and great price'
e collins, 2 years ago, 5, 'We’ve visited this restaurant quite a few times over the past five or six years. It’s current iteration is the best we’ve seen. The most recent visit was flawless - great service, extremely quick serving times, excellent food. Farfelle alla vodka, penne primavera, rigatoni bolognese, pepperoni pizza, cannoli all excellent and flavorful. You can always drive up and park free at or near the front door....unheard of in Hoboken. BYO too.'
Neil Amaral, 2 years ago, 5, 'The food was great! The service was a little spotty but great overall, plus its BYOB'
Prinze Duenas, 2 years ago, 5, 'Bruh'
Tauseef Baig, 2 years ago, 4, ''
Aloysha, 2 years ago, 5, "Amazing service. Max the server was very kind and attentive. Mario the owner is very friendly and helpful. The food was very tasty. I would highly recommend this place whether you want to grab a bite with the family or a romantic date. One of the best pizzas I've had in a while. Prices are not expensive at all."
Randall Blecher, 2 years ago, 4, ''
Cheryl Citro, 2 years ago, 5, 'Small, quiet, cozy.  Service is friendly and accommodating. Food is very good. Owners are very welcoming !  You won’t be disappointed at San Giuseppe'
Stephanie Yung, 2 years ago, 4, ''
Nick SanGiacomo, 2 years ago, 1, "1 star because they list that they close at 10, but actually close at 9. If you're not taking new tables, you're closed. I've worked in restaurants and it's super common to start cleaning up around tables as they finish up. I don't like the way San Giuseppe handled this, so I went to Napolis instead and won't be returning."
adam decicco, 2 years ago, 5, ''
Allison Timpson, 2 years ago, 5, ''
john fedele, 2 years ago, 5, 'Excellent, great food and service. Bring your own bottle of wine.'
divya suryanarayanan, 2 years ago, 5, ''
Vincent Vogt, 2 years ago, 5, 'Great Pizza. Great waiters. Great value'
N W, 2 years ago, 5, '🍕🍝👍👍'
J Pagan, 2 years ago, 5, 'I just got back from my honeymoon, but I needed the take the time to thank San Giuseppe for the amazing job they did on my wedding day two weeks ago! This was the first time I’ve ever eaten at or reserved any of my events at San Giuseppe, and I can truly say I’d return and do business with them again. I felt like I was in good hands from the very beginning. The manager (great guy; very professional and personable) allowed me to close down the restaurant on a Friday night for a small wedding reception of a little over 30 people. Not only did he cater a food menu that was specific to my liking and needs, but the food and dessert were hands-down DELICIOUS; left me and my guests wanting more! They were also able to accommodate my reception set up: I was able to set up small center pieces, a dessert table, and a backdrop; everything looked beautiful. The staff was super friendly, attentive, and detail-oriented from beginning to end, and the space was the perfect size for my dinner. Their location is right inside the parking lot, which is extremely convenient, especially in Hoboken. And for everything I got (location, privacy, amazing food, friendly service, venue size and cleanliness, and overall the manager’s and his team’s hospitality, hard work, and attention to detail) the price I paid was very reasonable. I was very grateful for how much of an easy going process they made everything. Overall, I love everything about it, and I would definitely recommend anyone to visit and try out San Giuseppe! You won’t be disappointed! THANK YOU San Giuseppe, we will hopefully see you again soon!'
Jose Luis Barragan, 2 years ago, 5, ''
Daniel Chavarria, 2 years ago, 5, 'Great tasting food and the owner was so inviting and a pleasure to work with. Enjoy every minute of it.'
John Saterfiel, 2 years ago, 4, ''
Cynthia Chavarria, 2 years ago, 5, ''
Stephen Antisz, 2 years ago, 5, 'While we were one of the only 2 tables we were treated to one of the best dinning experiences I have had in Hoboken. The portabello mushroom and chicken was amazing. Also I highly recommend the fried oreos.  Excellent service all around.'
Vivek Thirumalai, 2 years ago, 3, ''
Teodora Rodriguez, 2 years ago, 5, ''
Lauren Wenzel, 2 years ago, 5, 'Great food great atmosphere and very nice service'
Samuel Nieves, 2 years ago, 2, 'Service was mediocre food was subpar'
Steven Ortega, 2 years ago, 5, 'Great place great food 10/10'
Bryan Peoples, 2 years ago, 5, 'Ridiculously good'
Jason Manenkoff, 2 years ago, 5, 'Best Italian restaurant in Hoboken and as a plus there is parking. Thanks Mario!!'
Cris Alp, 2 years ago, 5, 'Best pizza ever! Also very elegant.  Great place for a date.'
Maria Pizarro, 2 years ago, 4, 'Food was delicious but the service was not that good.'
Ian Usher, 2 years ago, 5, 'We had the vegetarian pizza with added zucchini and it was phenomenal!'
Eric Rodriguez, 2 years ago, 5, "I really love the way  decorations on plates\nAnd i saw my favorite Chef Eric he's the best"
joseph sweeney, 2 years ago, 5, 'So good. I love this place. Obviously augustinos is going to be the main attraction but this place is perfect kind of well kept secret of hoboken.'
Michael Gallo, 2 years ago, 5, ''
Scott Lagattuta, 2 years ago, 4, ''
Juan Camacho, 2 years ago, 5, 'The food was outstanding well worth it'
Stephen Cassera, 2 years ago, 5, ''
Jacklyn Cito, 2 years ago, 5, ''
Anthony G, 2 years ago, 3, 'Owners and staff are very nice & accommodating. Food was a bit bland and slightly over priced.'
Chris Paz, 2 years ago, 5, 'A welcomed oasis of great Italian food. After a long day of travel we lucked out finding this place. Well lit restaurant with friendly and accommodating staff. The Burrata con prosciutto was creamy and well seasoned. The rigatoni bolognese was meaty. The pizza had a light crust and great flavor, reminded me of the pizza in Italy.'
Al Bird, 2 years ago, 4, 'Nice place to eat.'
