author, date, rating, text
Pepe Torviso Fernandez, 23 hours ago, 2, 'Unsatisfied, i was very excited to try the avocado Burger and they gave me the bacon cheese burger even when the recipe expecified avocado burger.'
Nepheli Messini, a day ago, 2, 'Excellent service and friendly staff but as a picky eater I didn’t like the food. Too junk for my style.'
Robert Spichiger, 2 days ago, 4, ''
Shorty Garcia, 3 days ago, 5, 'The food was really good.'
Destiny Dunbar, a week ago, 5, 'The Manager on duty Khalif was absolutely amazing. I’m a vegetarian and he suggested I’d try the vegetarian shroom burger 🍔 I was pleasantly surprised it was great! I will be coming back. Thank you so much for the great service.'
Irina Briones, a week ago, 5, ''
Jason Chuback, a week ago, 4, ''
Jahn Andersen, a week ago, 5, 'Love Shake Shack in general, the store in Hoboken is very nice with a nice open seating area in the back.'
Jaasiel Rincones, a week ago, 5, '(Translated by Google) Good place.\n\n(Original)\nBien sitio.'
Emily Domrose, a week ago, 5, 'Excellent service! Came in just for a quick bite and can’t praise the front house enough. The guy at the entrance was so friendly and helpful. The service just made my day. Fantastic'
Mía Luna Guzmán, a week ago, 5, 'It is the best I omggg love it so much'
Alexis Trujillo, a week ago, 4, '(Translated by Google) Good burgers, but nothing spectacular, very small\n\n(Original)\nHamburguesas buenas, pero nada espectacular, muy pequeñas'
Adrian Danon, a week ago, 2, 'Expo chef/manager is literally yelling and verbally abusing his staff right in front of guests. Would not recommend. Food was okay.'
Mariana Giraldo, a week ago, 5, ''
Dan H, a week ago, 4, "Update: Ordered with Grubhub and was delivered successfully. I would not recommend the chicken as it tasted mushy but burgers were fine.\n\nI'm so confused what's wrong with this restaurant. Every time I order on UberEats, all drivers get unassigned after arriving at the restaurant. Waited for over 2 hours for my last order before finally cancelling."
Alan, 2 weeks ago, 3, 'Left a plastic piece In my burger and forgot my fry sauce that comes with it. I would’ve gotten no fries if I knew I wasn’t gonna get my sauce. -updated. The gave me my money back. But please don’t leave plastic in my food again'
Denise Fletcher-Cooper, 2 weeks ago, 5, 'This time the wait time was less than usual. The manager was there helping with the the flow.'
M Jeff Castillo (Jeprokz), 2 weeks ago, 4, ''
Katherin Ramirez, 2 weeks ago, 5, ''
Steven Nicklas, 2 weeks ago, 5, 'Ty Amber Great Help with a smile'
James, 3 weeks ago, 5, ''
Larry Qin, 3 weeks ago, 3, 'Would advise you to check your order before your leave. My heart sank when I opened the box of my Shack Stack to find that there was no tomato, but more importantly, no mushroom- basically a burger missing a patty. Call me unlucky maybe but I would not have expected this type of thing to happen at a brand like Shake Shack, which I otherwise quite enjoy.'
Katherine Castaño Hurtado, 3 weeks ago, 4, ''
Ola Nesgovorov, 3 weeks ago, 5, 'The nicest team on the block!\nGreat service with a smile:)\n\nNow on the food part- I ordered a one slider with cheese, bacon & avocado - the burger was very tasty\nBut the star of the meal were the truffle fries- fries with cheese & garlic & truffle dip on the side - it was soooo good\nI have no photos since I ate it too damn fast, it was so good🙈\n\nOne more thing that I liked is that the calorie value is stated on every dish on the manu,for those who want to have a mindful cheat day'
Leo Prakash, 3 weeks ago, 4, ''
Lauren Weist, 3 weeks ago, 5, ''
Hezekiah Harris, 3 weeks ago, 4, ''
L. S. Smith, 3 weeks ago, 3, 'I love the food, but literally EVERY time I place a delivery order, it takes over an hour to get my food. It goes through several people before finally getting picked up. This doesn’t happen with any other restaurant. So, I can’t blame it on the delivery platform. I’m going to have to stop ordering. And getting someone on the phone is impossible. Too bad. I really like the food.'
Christine Daly, 3 weeks ago, 5, 'I’ve eaten at a shake shack location and really enjoyed it. However this post is not yet about the food. Shake shack Hoboken seems to have an amazing team. The level of efficiency I experienced when I walked in made me excited. If they are that thorough in performance I cannot wait to try the food!'
Qian Song, 3 weeks ago, 1, 'UberEats canceled order. When you contact with ShakeShack, there is no response from them.'
Adish Narangikar, 4 weeks ago, 5, ''
BARUN ROY, 4 weeks ago, 5, ''
Ed Wiegner, 4 weeks ago, 5, 'Shake Shack, Hoboken, Good Burgers,'
William casillas, 4 weeks ago, 5, ''
