author, date, rating, text
Lajya Suman, 4 hours ago, 3, ''
Valentina Restrepo, a day ago, 5, ''
Mario Jorell Haigler, 6 days ago, 5, 'Very fresh and wholesome. Great broth and ingredients I would most definitely have this ramen again and again.'
Brian F, a week ago, 4, 'Good ramen'
Tysis Sid, 2 weeks ago, 4, 'Tried Shoyu Ramen and momos, both are so good, loved the chicken broth in ramen. Though ramen bowl is good enough, would be even better with some extra toppings.'
Jonathan Raitses, 3 weeks ago, 1, 'The other items I ordered were good but the Okonomiyaki I ordered was completely raw in the center. After eating a couple bites and noticing it was off my stomach hurt.'
Hanna Agarrouj, 3 weeks ago, 1, 'Terrible customer service!'
Priyank Thakkar, a month ago, 5, ''
Jessica Chen, a month ago, 5, 'Yum! It’s my new favorite ramen spot in Hob-JC area! Legit tonkotsu. Soft shell crab is golden, crisp on the outside with a light batter and soft on the inside'
Diana Nunes, a month ago, 4, 'Great tasting food with a great vibe. Has outdoor and indoor seating. Establishment was clean and service was courteous and timely. I will definitely be coming back.'
Leena Morant, a month ago, 1, 'Wouldn’t seat us at 9:30 because the kitchen is closed although they close at 11. Very disappointing.'
Em Cat, a month ago, 5, 'The ramen was served with a good amount of toppings and portions. The inside was not crowded and we were seated immediately. The place was also clean and the staff were friendly. …'
Nancy Wadie, a month ago, 4, 'Not the best place to have Ramen, but definitely you will love the vibes and the place, they have a very nice outside area with a few tables. I loved the place!! I will definitely go back.'
Sid N, a month ago, 4, "Best Japanese food/ramen place in DTJC/Hoboken without tearing a hole in your wallet. The service is amazing 4/5 times except when it's only junior staff around before closing. …"
Angela Zhang, a month ago, 5, 'Definitely a proper place for Japanese food in Hoboken!'
Junliang Zhou, a month ago, 5, ''
Prince Chauda, 2 months ago, 5, 'One of the best Japanese food restaurant in Hoboken. Food tastes good and feels authentic, we loved the sake and appetizers.'
Andrew Flores, 2 months ago, 5, ''
Leti, 2 months ago, 3, "Service was good, restaurant was nice and clean. The Ramen lacks depth/flavor and the egg wasn't marinated as other ramen places do. For a high star location, I expected better ramen. Perhaps i have higher expectations than most as I love Ramen. I did not try other food, it may be what shines as i have not tried."
Charles Lin, 2 months ago, 4, ''
Kesavanand M, 3 months ago, 4, 'Soup broths are great here. Wish they had more rice and shrimp options.'
Melissa Ronga, 3 months ago, 5, ''
Jalessa Almonacy, 3 months ago, 4, 'I thoroughly enjoy their spicy pork bowl. I would enjoy the buns more if there was some acid to cut all the sweetness, same with the bowl. That’s the only reason I’m giving 4 stars. Other than that—delicious.'
Jill Stapleton, 3 months ago, 5, 'So good! It is a smallish location, but they accommodated 9 of us with no issues. The workers were kind and attentive and the food was so delicious! We may even go back again tomorrow!'
Asish Ghosh, 3 months ago, 5, ''
Marcus Jimenez, 3 months ago, 1, 'The spicy miso broth and pork buns were pretty good but the Chashu in the ramen tasted and smelled expired. Ive accidentally consumed expired pork before and it had the same smell and taste to it so I just ended up trashing it.'
Michaela C. Dudley, 3 months ago, 1, 'The ramen here is good but pretty overpriced. Unfortunately the customer service is terrible. I order from here a couple times a month because I live down the block. I ordered the vegetable ramen today for delivery through UberEats (because …'
Kunal Puranik, 3 months ago, 4, 'Nice ramen place in Hoboken. They have nice open vibe and have indoor and outdoor seating. We were greeted by a nice lady and got a table instantly. It was surprisingly crowded given we went on a Monday eve. They have 1 vegetarian ramen and …'
Pete, 3 months ago, 5, 'Really enjoyed'
