author, date, rating, text
Joy Gertner, 2 days ago, 2, "Aisles go on forever.\nOk store. In this time you, need to improve product selection in terms of more healthier items. More organic and competing with TJ's, Whole Foods, Wegman's you are having competition that can wreck you. You are actually a 'department store' of food and non food but still need improvement."
Toxichammertoe, 3 days ago, 4, "This place has more of a variety for healthy conscience people, The Only reason I give it 4 stars is because it's not as big as the super shoprite"
Andrew Freeman, 5 days ago, 4, "The store itself is great and has nice quality. Their butcher isn't the best so don't expect high quality steak here. My biggest complaint though that drops a star is the deli department. They are painfully slow and will add an extra half hour to your shopping trip no matter how many people are there."
Ramez George, a week ago, 5, 'A Nice ShopRite that is located near the 9th street Light Rail station,'
Alvaro Velez, a week ago, 5, ''
Thomas Fan, 2 weeks ago, 4, "I mean it's better than acme"
Frank Sikernitsky, 2 weeks ago, 5, 'This may be the best Shop Rite in the entire chain. It doesn’t have the warehouse-y or dated feel of many of the other locations. It’s clean, has an extensive meat department, parking, and prices are very good compared to most of the local competition. The staff has always done right by me. They recently changed about half the checkouts to self-service, which I personally like. It can get very crowded on Sundays and around holidays.'
Kathy Baird, 2 weeks ago, 5, 'Great place to shop'
Iveth Adina Emanuelli, 3 weeks ago, 3, ''
Kesavanand M, 3 weeks ago, 1, "Changed my review from 4 star to 1 star.\n\nCurrent: This is the worst shoprite ever. I mean I can't see it getting any worse.\nConsistently jacking up the prices and extremely poor quality produce over the last few months.\nMost items are marked up higher to the Jersey City. To top it - poor quality produce.\nConsistently got stale oranges for e.g.\nIf I had a car, I would have never visited this place again.\n\nPrevious: Good quality.\nHas a wide range of fresh grocery.\nWish they had a small section for Indian grocery like the one in Jersey City."
Ann Fabbricatore, 3 weeks ago, 5, 'I am always here 😌'
Stephanie Black-McDonald, 3 weeks ago, 4, ''
Tamaraw Del Rosario, 3 weeks ago, 5, ''
Alexandra Sanchez, 4 weeks ago, 5, ''
Jose Anaya, a month ago, 4, ''
Izabela Jaroszynska, a month ago, 5, ''
Angela Calcano, a month ago, 5, ''
Steven Betancourt, a month ago, 5, ''
Aidin Ameri, a month ago, 4, ''
DJ Marly Mar, a month ago, 5, 'Always Great 😋😋😋😋💘'
Treasure Scott, a month ago, 3, 'At night you dont know your pulling up to shoprite because the lights are off'
Andrey Celi, a month ago, 5, "Great . Most clean store I've ever seen"
Erik Caceres, a month ago, 5, '(Translated by Google) Wide site to get a great variety of fresh products and in a well-equipped area, good service and attention\nNote: if you want to pay quickly, go to the auto Pay or self Pay area\n\n(Original)\nAmplio sitio para conseguir gran variedad de productos frescos y en un área bien acondicionada bien servicio y atención\nNota: si quieres pagar rápido ve por el área de auto Pay o self Pay'
Mark Wittman, a month ago, 2, 'Meats are good, produce is hit or miss. Bakery is outstanding. Lately lots of stocked items are missing. Currently standing in a 15+ person checkout line. 1 slow checker only ....\n\nMy neighbor just told me never go to Shoprite on Monday. UNDERSTATEMENT'
J Gold Rise, a month ago, 5, ''
Antony “CarpeDiemCrea” Magne, a month ago, 5, 'The best cheese selection in town.\nRaclette, camembert, comté, saint agur, and all'
Julie Borelli, a month ago, 4, 'I do most my food shopping here'
Justin Foley, a month ago, 3, ''
Kevin Harrigan, a month ago, 5, ''
Rohan Puthran, a month ago, 5, ''
Tom DeBerardine, 2 months ago, 3, ''
stella ng, 2 months ago, 1, 'The disrespect received from this store is absolutely unacceptable. To turn away people in need of a shelter during the hurricane about 2 weeks ago, how much humanity left does the manager of this store have? Furthermore, the people they turned away when they needed shelter, one was someone who works in healthcare. They risked their lives saving people, sacrificing their health and life for somebody else. What if one of the shop-rite workers had been in a life-threatening situation and had been turned away simply because the hospital is closed? You really couldn’t even open up the lobby space for helpless people to find shelter?\nThis situation really shows how much we can’t depend on each other.\nIf you have any morales, please boycott this particular shop rite. Corporate needs to rethink management on this store.\nIn fact, I don’t even trust what the corporate offices’ policy are for each store, but this reflect that a change in the policy is needed.\nShop rite, you really let us down on this one.'
Allison Madden, 2 months ago, 5, ''
Amal BR, 2 months ago, 5, '(Translated by Google) Very good\n\n(Original)\nവളരെ നല്ലത്'
Venu Gopal, 2 months ago, 5, ''
Yanira silva, 2 months ago, 1, 'Never again will I ordered for delivery . I never received my delivery. I waited from 5 to 930. I called the store all they can tell me is that the driver is out. No communication at all. Nobody called to tell me anything . At the end I had to cancel my order.. I had no food at home !! I had to get out of work early the next day to go shopping !! The worst thing is like no explanation from anyone'
Alvaro Rangel, 2 months ago, 1, 'Today was my first time and last time at this store. When I was checking out the cashier was taking her time as if there were not a bunch of people behind me in line. She looked like she could care less about her job. My grandma could literally probably scan items faster than her. Anyways that’s not the biggest problem, the biggest problem was when I tried to ask her about water jug refills and she looked at me with so much disgust and annoyance. What a rude staff. I don’t know why people act this way. If they hate their job they should leave and go do something else. I hate this sort of entitlement from people. I hope management makes changes soon but will not be returning ever.'
Christina Willis, 2 months ago, 5, ''
Margarita Lucero, 2 months ago, 5, '(Translated by Google) Excellent products and good service.\n\n(Original)\nExcelente producto s y buena atención.'
Alice, 2 months ago, 1, 'If I could give this store -1 stars, I would. The manager of the store was so unempathetic and selfish. During the Ida hurricane/flash flood that took lives in New Jersey, a couple of people wanted to seek shelter to stay warm and dry. However, during closing time, she kicked everyone out and had the attitude of, "you\'re on your own". What if something happened to those people because of her decision? She only thought about herself and the store and not the lives of the people morally. Understand that when store closes, people who are not employees should leave. BUT THIS WAS AN EMERGENCY THAT WAS LIFE THREATENING. Aren\'t people supposed to help each other during an emergency? Be kind hearted? One person I know that experienced this is a pharmacist in a hospital and was stuck in the flood after getting off from work. HE HELPS SAVE LIVES. What does he get in return? SOMEONE TRYING TO KICK HIM OUT IN AN EMERGENCY. HIS CAR GOT SUBMERGED IN WATER. IT\'S GONE. I will never put my money on this shop rite because of the unethical treatment this manager gave. UNBELIEVEABLE.'
Ismael Delgado (SenorBoriQua), 2 months ago, 4, 'Pick up should be set up near the entrance doors instead of 3/4 of the length of the store. The plantain at the produce were horrible.'
Emma Chiriguaya, 2 months ago, 5, ''
Nelson Ramirez, 2 months ago, 5, 'Nice'
Donnalee Grant, 2 months ago, 5, 'One of the best'
Roger Sarrabo, 2 months ago, 3, 'Nice clean store. Friendly staff. Nothing negative to say.'
Francisco Puma, 2 months ago, 5, '(Translated by Google) Right place to shop without so many people\n\n(Original)\nLugar indicado para hacer compras sin tanta gente'
pallavi kapadia, 2 months ago, 4, 'Good place to shop'
GR Alia, 2 months ago, 4, ''
Narendra Gajraj, 2 months ago, 4, ''
lena beshi, 2 months ago, 4, 'This shoprit was clean well stocked and very big. They had plenty of parking and no lines when i checked out. My experience was good, i was able to find what i was looking for and check out quickly.'
Athia Perez, 2 months ago, 5, 'Great place!!'
BARUN ROY, 2 months ago, 5, ''
Honorio Aparicio, 2 months ago, 3, ''
ᄏᄏ막내이모, 2 months ago, 5, '(Translated by Google) Cake at Whole Foods Market\n\n(Original)\n케익은 홀푸드마켓으로'
Mehul Kapadia, 2 months ago, 4, '(Translated by Google) Walnut store.\n\n(Original)\nNoce store.'
Louis Mannarino, 3 months ago, 4, ''
wendy pinero, 3 months ago, 5, ''
Wei-tung “Wilson” Liao, 3 months ago, 5, ''
Keith Montague, 3 months ago, 4, ''
Jaffet Guenard, 3 months ago, 5, 'Just comfortable shopping here'
Paudia Acosta, 3 months ago, 3, ''
Antonio Vasquez, 3 months ago, 4, ''
Joseph Bell, 3 months ago, 5, ''
bella hughes, 3 months ago, 5, ''
Joseph Brown, 3 months ago, 4, 'Better than most any other location. Pretty low bar to achieve though.'
Jennifer Rosales, 3 months ago, 5, ''
Amado Fernandez, 4 months ago, 5, 'It’s a big supermarket where you can find everything'
