author, date, rating, text
Evan Sun, 2 weeks ago, 3, 'Noodles were decent but nothing special.. the broth was okay as well.. nothing really stands out with this ramen dish.. service is average.. I would say if you can skip it, skip it.. maybe better ramen spots in Hoboken'
Alexander Polyakov, 4 weeks ago, 5, ''
Wei Wang, a month ago, 5, ''
Jackie Seith, a month ago, 5, 'Amazing poke - I’ve tried all in Hoboken and by far south street has the best. Huge portions and the ingredients are so fresh'
H Singh, 4 months ago, 5, ''
Nasrin Nahnooch, 4 months ago, 5, 'I visited a few days ago, and was really new to Hoboken and came in not really knowing what to eat. But I was soon greeted by lovely staff, specially one by the name of Sara who explained the menu piece by piece and was patient enough to help me through, what I can eat without compromising my allergy reactions. Will be visiting again soon !!!'
stephanie lopez, 4 months ago, 1, 'worst place. 40$ for two bowls of ramen. definitely not worth it'
Natalie Nikolaieva, 5 months ago, 5, 'Above and beyond! You guys are rock!\nSo yummy! Food is super fresh, tasty and healthy. Service is good, staff is friendly and the whole place is clean!  Nice! I love it here! ✨🔥'
Andrew Park, 6 months ago, 4, 'many different ramens to choose from. the broth can be slighlty hotter in a rainy day. I liked there signature spicy ramen'
jihye moon, 6 months ago, 3, ''
Ginette B, 7 months ago, 5, "I come here for Poke. It's always very fresh with great portions. I like the premade combinations such as the spicy tuna because it has spicy mayo, guacamole, and mangos plus much more. Less for me to think about it. This is my friends favorite place for Poke too."
Sheena Eb, 8 months ago, 1, ''
Nivesh Kalra, 8 months ago, 2, "Called them to check if noodles contains egg and their response..I don't know! Not friendly customer experience."
Tran Thai, 11 months ago, 1, "The service was extremely terrible, I have never experienced anything like this before. When we got to the place, we were rudely told by the employee (girl with red hair) that they were closing soon in a rude tone. My girlfriend said that we thought they were closing at 9:30PM and it was only around 8PM, she said yes they close at 9:30PM but they were still about to close. And then we asked if it is okay if we can eat here and she responded rudely and said sure. As she was taking our order, she was scrolling through her phone and singing to the song over the speaker, which is extremely unprofessional. Then she took a century to swipe my card because she didn't know how the machine worked. Never coming back again and surprised this is located in Hoboken. The food was decent, broth was too salty."
Rachel Cipkins, 11 months ago, 5, 'Large portions excellent food'
Kouryou Ngin, a year ago, 5, "Always love the food here. Always fresh and absolutely delicious. I've only had their sushi burrito but it's amazing. I heard the ramen and poke bowl is great too from friends!"
Ariana Slater, a year ago, 2, 'ramen was underwhelming, no ambiance very dead inside'
Sophia T, a year ago, 5, 'Great ramen!'
Ellen, a year ago, 2, 'Soft boiled egg is hard boiled.\nBraised pork? Barely blanched. Tough and has no flavor whatsoever.\nSoup has this fake umami, greasy sweetness that stayed in tastebud for age.\n\nOnly saving grace is the noodle, and the large potion of the clearly priorly frozen seafood.'
Melissa Zoleta, a year ago, 5, 'Delicious ramen and pork bao bun,  so much flavor.  Highly recommended comfort food'
Angela, a year ago, 1, 'Got the poke bowl and ended up throwing up 30 minutes after eating it. The salmon looked a strange color to begin with, and the inside of the restaurant didn’t look the cleanest either.'
Sandra isabel Velasquez, a year ago, 1, 'This place is a joke and can’t believe it’s located in Hoboken! They send me a rotten food yesterday I called them and the guy who answered said I had to call Uber it’s because is not their responsibility,  So nobody  helped and I had no food yesterday paying lots of fees for my food Thru UberEats, I don’t recommend this place stay away'
Red Chris TV, a year ago, 1, 'The food had a bad flavor, the egg was rotten and this guys said they cant help me, 30 dollars for a rotten ramen, no good'
Latia Bates, a year ago, 1, 'I ordered today for delivery and as I immediately opened my container of the hot and spicy ramen (fire pulled pork), I got a horrible stench. It was a very heavy, foul smell. I was making excuses for this dish and telling my husband it must be the seaweed but then I took a bite of the egg and gagged. Not only was the outside brown, the inside was too. My entire bowl is rotten and my daughter ordered the same thing. We just cant eat it and I will not take a chance. 30+ dollars down the drain. This was our last order.'
Amanda Barron, a year ago, 5, 'Got a sushi burrito with shrimp tempura, mango, peanut sauce, and black rice. Amazing! I split it with my gf but next time I will definitely be getting my own. Half of one was very filling but I wanted more because it just tasted that good!'
Mark Peterson, a year ago, 5, ''
Andrew Price, a year ago, 5, 'Left is the south street special, right it a custom bowl (half rice/half salad, chicken, peanut sauce)'
