author, date, rating, text
AMI Logistics, a month ago, 5, 'I love this place , come here weekly . Found out about it through their Newark location !'
Mike Clark, a month ago, 5, 'Love this place , I come here 2-3 times per week . Great food and service !!'
Austin Armon, a month ago, 5, 'Food and Drinks were delicious.'
Mike Nowatzky, a month ago, 5, 'Love the food. Shakes are amazing. 10/10 recommend.'
Nestor Haro, a month ago, 5, 'My first time today and it was great!!, I think I found my new favorite place with healthy and tasty flavor.'
Matthew Palazzolo, a month ago, 5, 'Great food and great service. I eat here for breakfast, lunch and dinner several times a week.'
KING BOXX (King Boxx), a month ago, 5, 'The food is awesome! Great place for smoothies as well, they make any combination you want'
Cre8tive Mojo, a month ago, 1, 'I had the tropical salad with honey mustard dressing was good but a little bland and smoothie which was good but not the best I ever had. Unfortunately the main person working kept bothering me to leave a google review for free drinks. I originally gave a 4 star for free drinks but he didn’t think was good enough and then charged me for the drinks! Food is good but people are so pushy and very unprofessional and pushy about reviews! for review!  so unprofessional I will never come back because of this!'
Craig O'Sullivan, a month ago, 5, 'Had the Cajun Salmon Wrap with quinoa and sweet potato fried totaling 500 cal, 43g of protein, and 41g of carbs.  The food is quality and seems cleaner/leaner than the average quick service restaurant.  One of their differentiating factors is that they list the nutritional info such as the metrics above.  Staff is friendly as well.'
Robert Rose, a month ago, 5, 'Good smoothies. All natural ingredients. Friendly staff. Seems like a good choice.'
Matt, a month ago, 5, 'Souzafit’s a great spot if you’re trying to lose weight and maintain muscle. They breakdown the macros of each meal within the menu. The staff’s also very friendly and helpful if you need to add or change your meal.'
Michael Skircak, a month ago, 5, 'One of the best places to eat in Hoboken. Clean food, macros are shown and it always taste great. If you care about your diet, or just want some tasty food check them out.'
Christina M. Segro, a month ago, 5, 'Always a friendly experience! Food is fresh and they are always so accommodating.'
Nicholas Fultz, a month ago, 5, 'Souzafit is hands down the best meal prep service in Hoboken that will cater meals to your exact macros or diet. The service is always superb as well!'
jose almonte, a month ago, 5, 'I love this place, great choices friendly service and they accommodate to your style which I love!!! Come on in they hook you up great prices as well!!!!'
JayPelle, a month ago, 5, 'Food was so good that I signed up for the meal plans. Smoothies are also amazing. Service & staff are excellent.'
stevie bello, a month ago, 5, 'The best after exercising'
Xavier Beaudet, a month ago, 5, 'I love this place! I found this place a few weeks ago, and I’ve been getting lunch multiple times a week here since. The food is healthy, delicious and affordable with good portions. The staff is very welcoming! I’m trying everything on the menu one at a time, but my favorite so far is the Souzafit burrito. If you’re thinking of grabbing a meal here, I’d definitely recommend it.'
kk greg, a month ago, 4, 'Great service very friendly people!'
David Werner, a month ago, 5, 'Love this place. I come in here several times a week for lunch/dinner. Delicious protein shakes and awesome healthy wraps (must try the monster wrap, fire), not to mention the early 2000s hip hop music videos, great vibes. Staff also couldn’t possibly be nicer!'
britney ellis, a month ago, 5, 'This place has the most amazing and healthy food that is always of the best quality! My fiancé and I easily eat here 4 times a week for either lunch or dinner. Great smoothies and wraps. Definitely worth a walk downtown to eat here!'
kenneth Martin, a month ago, 5, "I eat souzafit @ least 5 day's a week. Great service and great tasting, especially for healthy food options."
Nydia Montanez, a month ago, 5, 'Best healthy natural juice & foods and you can create your own.. ❤'
Allison Levy, a month ago, 5, 'Food is amazing!! Discovered this place a couple weeks ago and have been here 5x since'
David Brown, a month ago, 5, 'Love this place. Heathy while still being very tasty. Usually get the chicken teriyaki but recently tasted someone’s steak stir fry and WOW. That will be my next order.\n\nAdditionally: friendly service, comfortable to eat inside, outside or takeout.'
David Shakir Sari, a month ago, 5, 'I love this place. It’s perfect to have a healthy and protein based breakfast.'
Maria Andrade Velez, a month ago, 5, 'Favorite post workout, they have vegan options and friendly staff.'
Jonathan Chitic, a month ago, 5, 'highly recommended.  very good service and very healthy food.  fantastic restaurant'
Michael Quinlan, 2 months ago, 5, 'The grilled chicken quesadilla was excellent!'
E.Jason Prince, 3 months ago, 5, 'Great place'
Gregory Gioia, 3 months ago, 5, 'Very good juice people are friendly.'
Ian, 3 months ago, 5, 'One of my go to places to eat in Hoboken.\nHigh quality ingredients\nBig portion size\nLots of meat/protein\nFriendly staff\nI recommend the chicken quesedilla.'
Karen N, 4 months ago, 1, 'They need to wear masks, especially during the time of COVID to protect the local community. Prices are steep for what you get. The strawberries and kiwi fruit are so sour and they are very skimpy with serving sizes (it’s like cutting up not even 2 strawberries for an entire fruit bowl…) which I know they can’t control easily but at least figure out your produce problem if that’s what the meal is all about. I’d head to Piki Poke up the road next time for their acai bowl.'
Jeffrey Becker, 4 months ago, 5, 'Great food and great service!  Some of the extremely weak complaints featured here are from people who have nothing better to do than complain.'
nina witas, 4 months ago, 5, ''
ss amazon, 4 months ago, 1, 'Really bad service and decent food. Do not even try'
nycentral tours, 4 months ago, 1, 'Horrible food and disrespectful service.'
Angela Frid, 5 months ago, 2, 'I feel bad writing a negative review because they had such friendly service and I have worked in several restaurants. I didn’t realize until after I already paid that not a single staff member was wearing a mask which seems not only unsafe for the customer but contrary to their healthy lifestyle branding. The cajun salmon wrap was tasty but the salmon still had the skin on.'
X Boone (The FiG), 5 months ago, 3, 'Shout out to souza fit for making  a Medium rare burger close to well and dryer than whoopin coughss The menu is super dope, really detailed and I love the fact that you can see the stats of your meal like boxing games. The shrimp tacos were the best part of the meal and yet I am STILL not full. Get regular fries.'
Michael M, 5 months ago, 5, ''
Michael Rufino, 5 months ago, 4, 'The food was fantastic, the staff was friendly and helpful, but what made the experience even better was that the resturaunt lists the calorie and macro content of most dishes. This is extremely beneficial for anyone on a diet, or those that are a bit more conscious of what they intake. Unfortunately, Souzafit does not detail any of the nutrition facts past macros, leaving out the sodium and sugar content. It also does not list the calorie count of sides or of specific plates. If those two things were addressed, then this would be five stars, for sure.'
Bryan Hricay, 6 months ago, 5, 'The staff at SouzaFit are amazing, they treat me like a VIP every time I dine here! Tasty, healthy, and reasonably priced. Plus they provide the "macros" on the menu if you\'re tracking what you eat.\n\nRecommend the barbell salad with chicken and protein coffee to give you an extra jolt!'
Gizem Acar, 6 months ago, 4, 'Nice place with healthy-ish bites. Fast service, food is okay.'
ketleen cuel, 6 months ago, 5, ''
I Aco, 6 months ago, 5, ''
Tere Lopez, 6 months ago, 5, '🤩🤩The best food in town 🤩🤩'
P S, 6 months ago, 5, ''
Dener AmeriCANO, 6 months ago, 5, 'Delicious food, I love it....'
Gabriel Lino, 6 months ago, 5, ''
Livia Mara, 6 months ago, 5, 'Best restaurant on town. Good to have a near-healthy spot to stop by. If you are looking for a place where you really gonna eat good, this is the place.'
