author, date, rating, text
Devireddy Abhinavreddy, 3 days ago, 4, ''
Joel Alvarado, 3 days ago, 5, ''
Jon Zanan, 6 days ago, 3, "Spice levels have been toned down too much. The spicy tom yum soup is now like a mild broth. I haaaaate that they mix chopped lemon grass into the squid salad because it's hard and isn't easy to pick out. Other than that...food is good and price right."
Larry Qin, 3 weeks ago, 5, 'Good, accessible food and friendly service'
Frank Fettuccine, 3 weeks ago, 1, 'This was actual dog food. I had one bite of the drunken noodles and threw it away. Horrible.'
Addepalli Asish, a month ago, 4, ''
rajkumar PARDASANI, 2 months ago, 4, 'Quick service. Food was average.\nU must specify the degree of spice.'
Raj Pardasani, 2 months ago, 4, 'Good food . Quick service.'
David C, 2 months ago, 1, "Food is way way way too salty. Basically paid 15 bucks for a container of food about the size of a pint. The meat was incredibly dried out and just no love in the food. Wouldn't order ever again."
Barak Nizgoda, 3 months ago, 5, 'Great service and good food. Chicken pad Thai 9/10, yellow chicken curry 6/10. Would definitely go back.'
Luca De Simone, 4 months ago, 4, 'The place has few tables inside and some more outside.\nService is good, food used to be excellent, now is just good, but maybe what we ordered was not the best choice. The Shumai were ok, good spring rolls, good duck with tamarind sauce, beef with basil was ok, overcooked. BYOB.\nExcellent location on a not busy street just a block from Washington Street.\nStreet parking only.'
Andrew Marshall, 4 months ago, 5, 'Really good food and fast delivery.'
Luis Del Orbe, 5 months ago, 5, 'Delicious food and very good friendly service.'
Keith Hills, 5 months ago, 5, "Food and service was outstanding!! It doesn't get better than this."
Zanna, 6 months ago, 5, "I order from this restaurant probably every other day! They have the best curry and I've tried them all. I get yellow curry and it's the perfect amount of curry to rice ratio.... so good. Pad thai is great as well. Comes quick and warm every time. Highly recommend!"
Paresh Patel, 6 months ago, 4, 'We ordered Panang curry and the taste was decent. We Dine in and the experience was ok. Overall the experience was good.'
Pete, 7 months ago, 3, 'We did takeout - food was pretty good but a little salty. Also wished the portions were bigger.'
Kool 1, 7 months ago, 4, 'Very personal setting , service and food was great!'
Johan de Nysschen, 9 months ago, 1, 'When you experience something as poor as this you have a duty to post a review. This was by far the poorest take out meal experience in recent memory. The chicken green curry was so over salted it was not only inedible- no exaggeration, it went to the garbage bin- but likely would represent a health hazard. Avoid this place there are many alternative Thai restaurants in Hoboken.'
Dhanya Balasubramanian, 9 months ago, 5, ''
Buyannemekh Munkhbat, 9 months ago, 5, 'Ubereats delivery was good. Delicious pad see ew. Steamed dumplings were just amazing.'
Megan Gillen, 10 months ago, 4, 'I ordered here for takeout on a Friday night and had no issues with my order, ready for me when I arrived. I got the Thai iced tea, pad Thai and the jungle curry! Would definitely recommend the pad Thai but I think I’ll try a different curry next time since it wasn’t my favorite and they have an extensive menu!'
Nigesh Prajapati, a year ago, 5, ''
Akansha Sharma, a year ago, 5, 'The best THAI food I’ve had in the neighborhood. The food is absolutely delicious and the staff is friendly. They do have spaced out dine in available now. If looking for a vegetarian option I would highly recommend the Tofu Gra Praw or the Kaw Pad Gra Prow'
Prasad Jape, a year ago, 4, 'Sri Thai is a lovely place of Thai cuisine with homemade touch. We have been here couple of times now and every time food has been delicious.\n\nThey have both indoor and outdoor seating. We had called in advance for reservation and did not require to wait for the table. They also sanitize the table in between guests.\n\nWe ordered Spicy Noodles and Panang Curry with Tofu Tod. Food was delicious and perfectly balanced. We asked for little spicy and it was good. They have BYOB. Also, they have non-alcoholic drinks.\n\nStaff is friendly and can customize the order if needed.'
Jeff Henriquez, a year ago, 5, 'Always great service.'
Ryan Kulp, a year ago, 5, 'I’ve been waiting.... for some good Thai food. This is that go to Thai food spot I’ve been waiting for. I had the drunken noodles and finished it in about 10 mins. Soooo good. Best in Hoboken'
Alfredo Franco, a year ago, 5, "One of the best Thai restaurants I've ever been to! Love their chicken with broccoli with peanut sauce. Always good to try new places, and would definitely recommend this to others!"
Camilo Aguirre, a year ago, 4, ''
Zain M, a year ago, 4, ''
Darrell Anderson, a year ago, 4, 'Nice neighborhood spot. Will try again when they lift the restrictions. I had the chicken satay  for the appetizer, and a chicken with ginger sauce. Very good. Their outdoor seating was kind of awkward.....good food and service. And I liked the prices very much.'
Oğuz Furkan, a year ago, 1, 'I ordered food for my family meeting and they send me a wrong food and charged me $60 for 1 food. Tried to call them but when i tried to speak with the manager they told me they are busy and hung up the phone.'
Harrison Pointe Condo Assoc., a year ago, 5, 'Excellent food, excellent service. Highly recommended.'
Katsuya K, a year ago, 4, ''
