author, date, rating, text
Anand Patel, 3 months ago, 3, ''
R K, 10 months ago, 1, 'Staff here are ridiculous, poor service.'
Anwar El Kamouny, 11 months ago, 1, 'The lady was taking my order while talking on the phone. I had to point at every item. Unprofessional attitude and poor communication.'
Adrian Geraci, a year ago, 1, "i dont like the attentions of the girls,they make the sandwich like don't care what they do,no good"
Omar Perez, a year ago, 1, 'I came inside with my workers we were very patiently waiting I even let a guy on line go ahead of me just to wait a little longer so she takes her time when I decided to order and ask if I can go wash my hands she saids no screaming like the I saw a guy coming out of there with no problem so I just left horrible experience'
Rishabh Choudhary, a year ago, 1, 'This Subway employees don’t know how to make a sandwich. Plus employees were not wearing masks and gloves'
Dushal Patel, a year ago, 5, 'Nice job'
MAX POLOZANI, a year ago, 1, 'This place is a joke.\nSays they close at 9pm and when you order online it allows you to order but the store is closed.\n\nGood job subway!'
Benny Liang, a year ago, 1, 'Terrible service'
Big Frank, a year ago, 3, ''
Varun Harnathka, a year ago, 5, 'The staff are absolutely amazing. Special mention for Kajal and Usha. They are extremely friendly, skilled, and quick on their feet. I usually order online and the estimated wait time is 20 minutes, but my order is usually ready in less than 5 minutes. As a vegetarian, I thought I was limited to just the veggie patty, but they also went out of their way to suggest new varieties such as Falafel. They are always smiling, welcoming, and prompt. Since I was new to the area, I asked them help for finding events happening in the city, and they gladly helped me with that as well.\n\nAs for the taste, they make the subs exactly as per my liking. Usually, I have noticed that the subs are so filled that the veggies start popping out when you eat, but they fit in all the toppings in such a way that it is just right.\n\nI would highly recommend it. Cheers.'
Maxx Moxquera, a year ago, 5, ''
Vatsal Mehta, a year ago, 5, '👍🏼'
MELLO GANG, a year ago, 5, ''
Charles M, a year ago, 5, ''
juan i gonzalez, a year ago, 5, 'Friendly employees and clean store'
Ryan, a year ago, 1, ''
Shraddha Chauhan, a year ago, 1, 'Did not toast my order wrong bread and put black olives in my order. Did not put any sauce. Messed up my order, had to throw away and waste $10'
Usha Patel, a year ago, 1, ''
Chao Shi, a year ago, 5, 'nice place to have a sandwich'
Brandel Tavarez, 2 years ago, 1, ''
Hector Pagan, 2 years ago, 3, 'Subway sliders impressed finicky me.\nTried the: Turkey one-- good as is\nThe cheese steak- better than expected.  And Italian spice-- needs more cheese and a veggie, the pepperoni is to strong..  but great service.'
rajshree pawar, 2 years ago, 5, 'This subway is very clean and the employees are really helpful and welcoming. It’s a really nice experience to visit it .'
Jonathan Ortega, 2 years ago, 5, ''
Ricardo Ricardi, 2 years ago, 5, ''
Maitrey Prajapati, 2 years ago, 1, "I'd give them minus if I can. They made very personal and vulgar comments on my appeal. Staff can't be any worse. They're always shouting and making fun of customers. Not a place to take family to."
Aries Zamora, 2 years ago, 5, "Clean, great staff, good sandwiches. The employee who opened this morning went above and beyond to make a sandwich tray for me at the last minute. She was absolutely amazing, she was on her own, baking cookies, making my order and taking care of the customers coming in. Way to go! (I don't know how to write her name but she was working the morning shift today 10/9/19)."
Dorene Johnson, 2 years ago, 3, 'Clean restaurant quick service. Bread for sliders tasted old.'
Kanvi Gandhi, 2 years ago, 5, 'Friendly employees ...owesome place for to eat ,...'
aravind r, 2 years ago, 4, ''
German Martinez, 2 years ago, 5, 'Excellent food'
Salvatore Rubino, 2 years ago, 4, 'Eat fresh'
armando velasquez, 2 years ago, 5, '(Translated by Google) Some sandwich as a lunch\n\n(Original)\nUnos sandwich como un almuerzo'
Akash Negi, 2 years ago, 5, ''
Patrick DePaolo, 2 years ago, 2, ''
Mike Campanelli, 2 years ago, 1, 'Crazy expensive for a bread sandwich. You get like 2 slices of thinly sliced meat and one piece of cheese. I asked for chibatta bread that was extra. Combo was 10 bucks... I just wanted a sandwich not to help pay for a college education. Stay away'
Luis Fernando Nieto Ramirez, 2 years ago, 5, '(Translated by Google) rich\n\n(Original)\nRico'
Raul Moreno, 2 years ago, 5, 'Great service'
Theodore Kluge, 2 years ago, 4, ''
Krupa Brahmbhatt, 2 years ago, 5, 'Very nice place, and great service'
Sandra Milosavljevic, 2 years ago, 3, 'Service was poor. Also, they advertised mac&cheese all over the place but did not have it.'
vallabh chakkilam, 2 years ago, 5, ''
Abhijit Valiathan, 2 years ago, 5, 'My experience at subway was pretty good. The staff there are extremely helpful and friendly. I also found the place to be very clean. All in all great experience.'
Dhruv Pratap Singh, 2 years ago, 1, ''
D T, 2 years ago, 1, 'Don’t sell me a drink then tell me you don’t have a working bathroom. (Based on the reviews hasn’t been working for 8+ months) Useless.\nPlus don’t try and charge me extra for bacon I didn’t ask for, but you put on anyway, that’s poor form.'
Doug Barnard, 2 years ago, 1, 'I should have listened to my friends Chris, Chris, Yeab, and Jack. My dad and I decided to visit this Subway location for what we expected to be a wonderful father-son outing. Turns out, these supposed “Sandwich Artists” are actually professional SCAM ARTISTS!!!! They gave me a mere 4 thin cucumber slices on my sandwich and a deathly thin layer of meat. I SHALL NEVER RETURN!!!!'
Kenneth Morris, 2 years ago, 5, ''
CurlsnPearlsss, 2 years ago, 2, 'Staff was not friendly or helpful. I ended up leaving and going somewhere else.'
Michael Magalotti, 2 years ago, 3, ''
Balakumar Nair, 2 years ago, 1, 'My goodness, these guys are stingy !!!! Subway sandwiches are usually good, but not from this place. They just don’t want to add veggies to the sub. I asked for cucumber on a foot long and they put four thin slices on it. I asked for more and she added just one slice!!! I asked for lettuce and she literally sprinkled a few in a it. I probably could have counted the lettuce bits in it. Same goes for jalapeños, olives, you name it. STAY AWAY from this place!!!'
Vishal Lakra, 2 years ago, 4, 'Quick healthy bite as usual....'
dan demeo, 2 years ago, 4, ''
Vrujesh Patel, 2 years ago, 5, 'Very decent place. Staff is friendly n restaurants is very clean.'
Kalpesh Patel, 2 years ago, 5, 'Very nice clean place and very nice people and good foods'
niteshpatel niteshpatel, 2 years ago, 5, 'Very nice food and clean store and very nice stuff'
Jyosna Patel, 2 years ago, 5, 'This subway is very clean and very helpful service ...I like only that subway sendwich I am regular costmer that subway'
namık kemal dönmez, 2 years ago, 1, ''
Josh Mayer, 2 years ago, 3, 'It is an OK place to go when you are in a rush and hungry for lunch. My favorite is the choice of different types of bread you would like to eat.\n\nLunchtime can have a line forming so prepare for that .\n\nI find the ambiance here kinda like dead, damp and need update.\n\nService is generic (neither bad or good), but it gets the job done.'
Rahul Yadav, 2 years ago, 4, ''
Abby W, 2 years ago, 3, "Yikes. Mediocre food, mostly because the staff here gives customers less product than normal on your subs (4 or 5 pieces of meat instead of 6, 3 pieces of cheese instead of 4 on a footlong, etc). I don't know whether it's laziness or trying to cut corners to save money. I've visited this location 5 times, and each time the employees are on their phones or joking and talking with each other, paying little/no attention to the person buying the sub."
E8 MALAV, 3 years ago, 5, 'Nice employee good services care people fast worker clean subway'
Randeman, 3 years ago, 4, ''
Gaurang Saini, 3 years ago, 5, ''
Celeste Perlez, 3 years ago, 3, ''
Blanca Salas, 3 years ago, 5, 'Best food there'
Miss Marg, 3 years ago, 5, 'They give good service..\nHealthy and fresh food...'
Brandon Ralph Minichiello, 3 years ago, 5, 'This is the best subway ever. Really quick and staff is awesome! Rotisserie chicken sandwich is bangin!'
Rohan Gala, 3 years ago, 5, 'Nice restaurant'
Rima Patel, 3 years ago, 5, 'I have visited at afternoon. ...it was great service...very friendly employees ........store was very net and clean....fresh food....'
Jalaj Desai, 3 years ago, 1, 'Horrible customer service! Restrooms were not working. We couldnt even wash our hands! It closes at 8 pm but we were told that it we needed to be done by 6 as they were closing early. The temperature was 86 degrees in the restaurant and when we asked them to turn the AC on she said "its closing time". Pathetic!'
Jossue Ascencio, 3 years ago, 1, "Can't believe I had to wait 15 mins for 2 sandwiches i was the only customer and it was 3 ladys back there how does that happened and then the young one making my sandwich with a attitude smh damn near made me get a ticket"
Joshua M, 3 years ago, 4, ''
jigs nakum, 3 years ago, 1, 'Very poor service I ever seen in subway.staff was not cooperative.'
M G, 3 years ago, 1, "They don't accept coupons from their Subways. Com or text coupons.\n\nOnline says they close at 9...i got there at 8 and they were closed..."
Moonis Javed, 3 years ago, 5, ''
AAKANKSHA GOKHE, 3 years ago, 5, ''
diana hernandez, 3 years ago, 4, ''
