author, date, rating, text
sadri 777, a week ago, 4, 'Good latte and mini muffins gluetin free'
Cherie Calingasan, a week ago, 1, 'ok'
Cherie Hankin, a week ago, 1, 'fine'
Liz Cognat, 2 months ago, 2, 'Let me start off by saying my daughter ordered a cake in April that was absolutely delicious!  This is why I decided to order from them for my nieces bridal shower in September. Unfortunately this cake was dry and stale. I was so disappointed and embarrassed. I called the store the following day but the manager was not there. I told the person I spoke with what happened and she apologized and told me she would have the manager call me back. It’s 24 hrs later and no phone call. Very poor customer service. Needless to say I will not be returning.'
Star Bellemie, 2 months ago, 5, 'Excellent! The best cannolis in the world'
Nikhil Saxena, 3 months ago, 1, 'I don\'t know if the people that work here know what they\'re doing. I placed an order here for a very special birthday over the phone simply for two yellow cakes with chocolate frosting. The lady on the phone jotted down two "vanilla" cakes with chocolate frosting. When I followed up that I specifically want yellow cakes, she responded, "Those are our vanilla cakes." I expected after my clarification of yellow cake, and the affirmation from the lady over the phone, that the bakery would provide me with yellow cakes. I then picked up the cakes a week later. However, only during the birthday party once we cut the cake did we notice that they made us white cakes. This honestly spoiled the birthday party as yellow cake is the birthday girl\'s favorite. A professional bakery should understand the difference between white cake and yellow cake especially after I made it clear and repeated I wanted yellow cakes. This is why I\'m not confident the employees here know what they\'re doing. To top it off, the cakes were dry and lacked any flavor. Very disappointing from a supposedly professional bakery that they couldn\'t manage to complete a very simple cake order, and I would recommend people use another bakery if they want the cakes they actually ordered...'
LaTesha Collins, 3 months ago, 5, ''
Karishma Ahluwalia, 4 months ago, 5, 'Absolutely loved the delicious cakes we ordered for our sons 1st birthday !!  Looked beautiful and tasted super delicious 💖💖 thank you guys'
Pete, 6 months ago, 5, 'Nice little bake shop place with cupcakes and cookies'
Lady Ace, 6 months ago, 3, 'I came here after dinner as I was craving something sweet. I love eating something sweet and I am always in the mood for cake. The quaint bakeshop is located near a park. Due to COVID, they are limiting the amount of people in the store.\n\nI ordered a Red Velvet ($3.75) and a Fluffernutter ($3.75). The cupcakes were tasty but, I felt that they were a bit small to be "regular" sized. Personally, I thought the tasty and presentation was just okay. I didn\'t see anything that made them noteworthy to visit again.\n\nThe bakery had tons of interesting flavors but, I am not sure I would return. Maybe if I was in the area again. The one thing I didn\'t like is that the cupcakes were placed in a paper bag. I had to be very careful on transporting home my goodies. The customer service was okay. The person didn\'t really seem into being there one way or another. I was just another fly on the wall for all they cared.'
Regina Cappio Wilson, 6 months ago, 5, ''
Hip Hop Junky Radio Show, 7 months ago, 2, 'Not impressed. There are 2 other cup cake joints that are same price range but tastes better. Sweet is the spot that I would go as a last cupcake option'
Liza Duval, 8 months ago, 5, "We've been getting cakes and cupcakes at Sweet since the day they opened, and will never go anywhere else! Angela and her team are amazing and the cakes are unique and delicious... Also best hot chocolate in hoboken! Definitely highly recommend Sweet!"
Soha Chokshi, 8 months ago, 5, 'The cupcakes were great! This is probably the best place for cupcakes that we’ve ever been too! (the coffee was awesome too)'
Jojo Gian24, 8 months ago, 1, 'Hard flavorless cupcakes and cake. Not sure why the 5.0 reviews, only place in Hoboken for cupcakes, I guess.'
Omar Lopez, 8 months ago, 5, ''
Rachael Genovese, 8 months ago, 5, 'Ordered a Pawl Patrol cake for my daughter’s 3rd birthday. Came out adorable and the cake was delicious 😋'
Jessica Nisler, 9 months ago, 5, 'Ordered a delicious red velvet cake for my friends birthday! So good, and so cute!  Thanks Sweet'
LYVICK PEREZ, 9 months ago, 5, 'These desserts are incredibly delicious. They have mini cupcakes as well as regular sized ones.  Worth the walk in the freezing @ss cold.'
Rich Slaby, 10 months ago, 5, "Don't miss their cookie dough. Super easy to make amazing fresh cookies at home in a few minutes."
JESSIE CHIRIBOGA, a year ago, 5, ''
Regina Wilson, a year ago, 5, 'Sweet is great! Lovely staff, even better desserts! A neighborhood staple.'
G. Lee, a year ago, 1, 'Wrong open hours in google map. The google map says open now (8:38am). It has to be updated. Cupcakes are great that’s why I walk this far... 😭'
Chris Bramble, a year ago, 5, ''
Kristin Tuozzo, a year ago, 5, ''
Evelyn Hanni, a year ago, 5, ''
Randall Bruins, a year ago, 5, 'We ordered two 6” birthday cakes - they were ready on time and just fabulous!'
Danielle Morrison, a year ago, 5, ''
Carla Reagan, a year ago, 5, 'OMG -best, very moist cupcakes I’ve ever had in my life! I think about them while sleeping! Yesterday tried chocolate with peanut butter frosting to delicious to describe!'
Matt Schwalb, a year ago, 5, 'Had a cake made for my wife\'s birthday. My instruction, "make it look pretty" Angela took my vague instruction and hit it out of the park. It\'s the little things during the pandemic. Thanks Angela'
Kelly Mayer, a year ago, 5, 'Delicious cupcakes! Thank you for staying open during this pandemic and making my day much sweeter!'
Brent Kottner, a year ago, 5, 'We are so excited to have had a cake made for the reveal of our daughters gender by Sweet! She delivered at an extremely high level! The cake was beautiful, it was on time, and it tasted amazing.'
Nadya Kulenich, a year ago, 5, ''
lotlotmonroe, 2 years ago, 5, ''
Yolanelle Label, 2 years ago, 5, ''
LOVE, 2 years ago, 5, 'Consistently great cupcakes. They are fantastic.'
Michael O'Mara, 2 years ago, 5, ''
