author, date, rating, text
Joseph Aubourg, 5 hours ago, 5, 'Great pizza'
Chanel “シャネル” Right, 2 weeks ago, 5, 'This is so good! He went with ‘The Brick’ and I the ‘Penne Vodka’ both were very delicious! The brick had a nice spice. While the penne was very flavorful! We enjoyed our evening here!'
Mark Hoffarth, 2 weeks ago, 4, ''
Ultrasound Techniques, 3 weeks ago, 5, 'I’ve ordered the blackened salmon wrap from here a few time which was always ON POINT! Tonight at 11pm I was happy to know they were still open because I needed a good meal aside from fast food. I ordered the “fire salmon” instead which came with cauliflower,\nCarrots, asparagus, and mashed potato. IT WAS AMAZING!! Better than some fine dining places I’ve been to. I didn’t not expect such a perfect meal at that time of night. Compliments to the chef! That meal was well thought out; salmon cooked perfectly, the sauce they cooked the veggies in was super flavorful and delicious , and the veggies were still crispy and had texture. I would give more stars I would!'
Nishanth Mudkey, 3 weeks ago, 5, ''
Stephanie Jones, 3 weeks ago, 5, 'Looking for good vegan Italian food? This is your place. A ton of gluten free options too.'
Brittany A, 3 weeks ago, 5, 'Good pizza. Great services. Chicago is DEF better. Ha.'
brittany bettiegrue, 3 weeks ago, 5, 'Great pizza. Great service.  Great prices.'
Morgan Powell, a month ago, 3, 'The best dairy free cheese but they always get one part of the order wrong. Phone calls with them are a little painful, but they have the best vegan cheese I’ve ever had so I’m stuck.'
Wilson Veras, a month ago, 5, 'Excellent Spaghetti and Meat Balls'
Karen Montoya, a month ago, 5, 'their mint lemonade alone was sooo bomb, the rest of the food was too!!!'
Mihir Joshi, a month ago, 5, ''
AJ G, a month ago, 5, "I've eaten here 3 days in a row😁\nVegan Buffalo pizza\nBuffalo cauliflower\nAsparagus fries are my favorites so far! Great customer service and lovely atmosphere 👌🏾"
Darryl Montoute, a month ago, 5, 'Excellent  Is spaghetti and meatballs very very good'
Edinson Pérez Blanco, a month ago, 5, ''
JdGreat, a month ago, 4, ''
Parichit choksi, 2 months ago, 4, 'Good atmosphere,  live band and young and energetic atmosphere.'
robert Van Ryzin, 2 months ago, 1, 'Worst pizza in Hoboken by far'
Steven Deollas, 2 months ago, 4, 'I ordered off the vegan menu , good personal vegan pizza or you can make it a large , you must request GF other wise the crust is gluten , very good mozzarella sticks non diary GF impressive , lots of other vegan options ✌ enjoy'
Uma Moiseenko, 3 months ago, 5, 'I don’t know where they found these magicians to work as their chefs, but I tried Vodka Parm Sandwich and Margarita Pie, both were absolutely delicious. Will definitely come back!'
Tim Mazyrko, 3 months ago, 5, 'One of my favorite spots for pizza - absolutely delicious and great service to boot'
Darkest Knight, 3 months ago, 4, 'My family and I had a great meal. I would personally recommend the everything bagel pizza. Comfy environment and dog friendly. Everything we order was great.'
Brandon, 3 months ago, 4, 'Food is good for the price. I recommend this place if you’re looking for an Italian quick eats'
Justine E, 3 months ago, 4, "Pleasantly surprised with our visit to this restaurant. We love visiting new vegan spots and this was definitely worth it. The vegan mozzarella sticks were huge and so worth it. The garlic knots were delicious. The tomato sauce had a great flavor. The vegan Greek salad was very refreshing and had delicious dressing (can’t wait to try their other salads). We ended up ordering large half vegan buffalo chicken and half can’t believe it’s vegan pizza. To be honest the apps were where the excitement was. The pizza crust / flavors could have been a little more balanced, but the apps make up for it!! There is an entire vegan menu and we can't wait to come back and try more entrees. The restaurant is located on a beautiful street great for date nights. Free parking on Sunday. They have a variety of gluten free options as well. Oh and the best part is they have a dog friendly patio out front!!"
Nicole Wenger, 3 months ago, 4, 'Great gluten free pizza options!'
Marcos de brito, 3 months ago, 5, 'We came back for more! Great choices Non Vegan and  Vegan food!! They are open until 4 am. I believe Fridays and Saturdays.  Please call and confirm it!'
JORGE MONTERO, 4 months ago, 5, ''
Dan Hayes-Patterson, 4 months ago, 5, ''
Danni Dee, 4 months ago, 4, ''
Dady Yagoubi, 4 months ago, 5, ''
Thomas Hayes, 5 months ago, 4, 'Large menu, and a dedicated vegan menu with lots of variety.  I got one of the vegan burger choices (I think it was called Brick something).  My burger was tasty, but got salty near the last few bites.  My girlfriend got a chicken wrap and she noted it was salty too. We both drank plenty of water during our meal.'
Renee Kornbluth, 5 months ago, 4, "The food was delicious & our waitress couldn't have been nicer or more accommodating. In addition to the regular menu (for omnivores), there was a full vegan menu. I enjoyed a sausage and pepper sandwich, something I haven't eaten in the 10 years I've been vegan."
Tanvi Domadia, 5 months ago, 4, 'Really cute place! Ordered vegan fries, pizza, and salad and had a great time!'
Al G, 5 months ago, 5, 'Great fried ravioli and pizza,\nMy sister is vegan and it is often to find vegan food that she likes, with this place that is not the case. Plenty of vegan options that she liked and has yet to try. Great atmosphere during day.'
Nick Felker, 5 months ago, 4, ''
Juan Medina, 5 months ago, 5, 'Terrific food. Our first choice in Hoboken. Great deals. Always happy staff.'
Dev, 5 months ago, 5, 'Good place to visit enjoyed it and service is good and dine in is open. 06/02/2021'
Veronica Uhlig, 5 months ago, 5, 'Fantastic vegan options. Had the vegan stuffed mushrooms,  garlic knots,  buffalo flower and pizza. All vegan and all delicious!!!'
Sarah D'Annibale, 5 months ago, 5, "OH MY GOD!!\n\nAs a vegan it can be hard to find great options when going out with omnis. Not at The Brick!  The food was incredible, huge delicious pizzas, great atmosphere, an entire vegan menu with GF options and a huge omni menu as well.\n\nThis is our new favourite place!!  PLEASE support this business, it's great to have so many options!\n\nPS, whether you're vegan or not, TRY THE GARLIC KNOTS!!  They'll change your life! ❤️❤️🤤🤤"
Neal “Alexander” Williams, 6 months ago, 5, ''
Parvathy Ajit, 6 months ago, 4, 'Oven Baked Margarita 😋😋😋'
Eligio A. Rosa Sr., 6 months ago, 3, ''
David H Bebawy, 6 months ago, 5, 'Excellent food and service! They have a full vegan and non-vegan menu.'
Rebekah Gray, 7 months ago, 5, ''
YASMINE HANNA, 7 months ago, 5, 'Awesome food and service'
Mena Paul, 7 months ago, 5, "Just amazing, you have to try the chicken Parmesan, they're so good, we also took the chicken tacos and the classic burger, Perfect !\nThey have a good selection of food, great service , great price, good vibes, i could not ask for more. I will return for sure !!!"
Mike Maloney, 7 months ago, 5, ''
Corrine Rybarski, 8 months ago, 5, 'Huge vegan menu, delicious food, good service'
Jinay Shah, 8 months ago, 5, 'Really good vegan food and helpful owners/staff'
Andrea Ravikumar, 8 months ago, 4, 'I am lactose intolerant so vegan pizza is a rarity that is right up my alley. I was super excited to try the “This Can’t Be Vegan?!” Pizza and it was yummy! From a non-vegetarian, the beyond meat “sausage” was flavorful and satisfying.\n\nMy partner got the Sweet Mango Pizza and loved it. He ate most of it in one sitting!!\n\nUnfortunately, the crust on both was basically pita bread which is why our experience wasn’t 5 stars. I’d say the pizza is 3 stars but the garlic knots are 50 stars. They’re absolutely amazing!!\n\nGET THE GARLIC KNOTS NOW!'
N Shah, 8 months ago, 4, 'Definitely a must try, especially for vegans and vegetarians.\nReducing a star only for their ambience and dine-in capacity'
Nancy Guzman, 9 months ago, 4, ''
Maggie Holsten, 9 months ago, 5, 'Never disappoints! The go-to option for pizza in Hoboken. The margarita pizza is great. Pancetta sprouts are insane. Tons of pasta and vegan options too!'
Anielka Ptasinski, 9 months ago, 5, ''
Hakim Burton, 9 months ago, 5, 'Great for late nights best thing open late night!'
Javier Castillo, 9 months ago, 5, 'The best pizza'
Veronica B, 9 months ago, 5, "The Brick NEVER disappoints. So many Vegan food options. I absolutely love it! I've ordered from them 3 x from Grubhub and they've never disappointed. Foods always hot and fresh, and again (did I mention the vegan menu)."
Juan Sanchez, 10 months ago, 1, 'First time order for this place\nThe pizza was thin and over cooked\nNo flavor at all. Mozzarella sticks... well dry and taste like just take out from the freezer\nAnd the total was $50 for tasteless burnt and poor quality food.'
Darnell Tucker, 10 months ago, 5, 'Really good pizza.   Hidden gem.   Yummy'
Michael Casey, 10 months ago, 5, ''
Marissa Felicetti, 11 months ago, 5, 'Pizza was very delicious and cheesy. Definitely a hidden gem in Hoboken. Has a little bit of everything and even had a full vegan menu which was great for various options.'
Kristen C, 11 months ago, 5, "We went for the vegan menu and weren't disappointed! We couldn't believe all the options and upon ordering a number of them, plus a pizza and dessert to go, we were more and more impressed. We loved everything and will plan to return. They told us there were new creations as well that weren't even listed on the menu yet. What a gem to find and everyone who worked there was wonderful and super friendly!"
Diana “Dee” Falvo, a year ago, 5, 'Great gluten free pizza - crust was the right combination of crispy and doughy. Very tasty.'
Philip Mierswa, a year ago, 5, ''
danielle fishman, a year ago, 5, ''
Jonathan Bolden, a year ago, 5, 'Food was delicious and the staff was friendly.  I could definitely see myself as a repeated customer.'
Luis Munguia, a year ago, 5, 'Pizza was divine.'
Syna Kenna, a year ago, 1, 'If I had to put NO STARS I WOULD!\nI will never come here again! My food was under cooked, unseasoned, and missing the main ingredient! Once I told the waitress the manager only took $10 off of my bill and the dish which I did not eat because it tasted like a bowl of sugar! cost $17. This was my second try at this establishment and it will be my last!'
Graham, a year ago, 1, 'Ordered a chicken parm hero w/vodka sauce and received a hero with cold grilled chicken with some kind of lemon marinade and some sauce that did not taste like vodka sauce (or at least the lemon flavor of the chicken overpowered the sauce). Very disappointing and a waste of $16...'
Tracie Gonzalez, a year ago, 5, 'Vegan pizza was very good. :)'
