author, date, rating, text
Harlan Elder, a week ago, 5, "Just WOW!!!!!!!!!!! Hand's down gotta go here at least once in your life time! Delicious"
RECETAS KETO Por: Esther Feliz, a week ago, 5, 'Best sandwich eveeer'
Suleiman Elrowmeim, a week ago, 5, ''
Chase Boehringer, a week ago, 5, 'Best pizza ever'
Kristiana Noel, 2 weeks ago, 5, 'Delicious pizza, nice staff! Wish they had a location in manhattan'
Tom Drinkwater, 2 weeks ago, 5, 'A different kind of pizza and sub place!! Great non-traditional pizza and subs!'
Sun Diamond, 3 weeks ago, 5, 'This location was tucked away for me, but we pulled it out to EAT! The General Khan boneless wings were hittin’. I actually enjoyed those more than the pizza. The pizza was tasty. I did not have room to try the taco flavored, but of course I’m returning to do just that.'
Mell Me*l, 3 weeks ago, 5, 'Good 😎'
jasmine cruz, 3 weeks ago, 1, 'The food is not worth the price.  Menu said $25 for a sub but I was charged $30, the wings were very salty, the place looks old and dirty. Im very disappointed.'
Brandon Stephanie, 3 weeks ago, 5, 'Had gluten free taco taco pizza. Best gluten free pizza i have ever had! Amazing! Actual Place is a bit small. Prices are a little high but the food is worth it. Will be going back.'
Byron Betancourt, 3 weeks ago, 1, ''
Todd Dixon, 3 weeks ago, 2, "Wasn't impressed, definitely had better elsewhere (Grimaldi's). The mozzarella sticks taste frozen and store bought, it's not hard to make from scratch. Maybe I'll try the other location in New Jersey. Hopefully the sandwiches are better."
Fernando Ferrer, 3 weeks ago, 4, ''
NIRAV JAIN, 4 weeks ago, 4, ''
Ariel Tranquilli, 4 weeks ago, 1, "Great food! Horrible staff & delivery. They can't get an order right if their life depended on it."
Sohil Gandhi, a month ago, 5, ''
Mike D, a month ago, 5, ''
Ads H, a month ago, 5, "If you like pizza this is the place for you, if you don't well just don't go it's that's simple"
Moe Badawi, a month ago, 4, ''
Shyam Vora, a month ago, 5, 'Great vegan pizza'
Jacob Moak, a month ago, 5, 'Yes. More.'
Michelle Howard, a month ago, 5, 'This place has really good pizza and great vegetarian options … this spot has a nice Decorative wall nice to look at while you eat your pizza!!  the people there was really helpful great place to grab a quick bite'
Barney Simon, a month ago, 5, "How can I not have reviewed this place earlier! I've been here many times. The variety of innovative pizza toppings is amazing"
Angela Atehortua, a month ago, 5, 'Excellent! Delicious, high quality pizza. Friendly service and staff and the variety of pizzas were all delicious. We tried a few. I was with a group of friends that just came in to town so I got distracted and I didn’t add a tip, and I’m really sorry for that because the service was great. I will double up on the tip next time I go. And the restroom was very clean too, that says a lot!'
Maude Swearingen, a month ago, 5, 'Wonderful food and friendly staff'
Mike McTigue, a month ago, 5, 'Went in for 3 sandwiches,  all were extremely amazing ,  nice place, wall of doors opened for a beautiful open airy experience , sandwiches were , lobsta trap , thundercat,  bologna rex , amazing , will be returning often'
Neil Patel, a month ago, 5, ''
Ruben Moreno, a month ago, 1, "Two of the rudest staff that I've ever encountered. Waited 1.5 hours + for online order, meanwhile when I show up to the store, there are many customers that ordered waaaay after me that get their orders first.\n\nIdk if it's because of discrimination, but they also have extreme attitude problems when I politely bring this to their attention.\n\nI hope you don't have to encounter these two individuals."
Amit Mhatre, a month ago, 5, ''
laura alejandra nieto castiblanco, a month ago, 5, 'The pizza I a little bit pricey but it worth it. The flavor is delicious'
Yash Dave, a month ago, 4, ''
Sagi Kadosh, a month ago, 5, 'Super delicious subs. I’m on a quest to try them all!'
Elhassan Tachtab, a month ago, 1, 'Need more professional stuff'
Adish Narangikar, 2 months ago, 5, 'I had pizza over here and taste was really awesome. We had chicken pizza and lobster one(forgot the exact name) but yeah it was good and owner was kind.'
john marotta, 2 months ago, 5, ''
John Marotta, 2 months ago, 5, ''
Maria Dennisee Pavon, 2 months ago, 4, 'Love the pinky and lobster pizza.'
George Bekhit, 2 months ago, 5, ''
John, 2 months ago, 3, "I walked in and saw a TV on the wall, but wasn't working. I came from a far to try their 7 rings challenge pizza. They said they don't make it and it was only for the show with Guy Fieri. Was very disappointed about it. The pies looked okay but decided to go else where."
Jaison Jacob, 2 months ago, 4, ''
Ahmad Said, 2 months ago, 5, ''
Hannah Pereira, 2 months ago, 5, 'Satisfied with the service. The personnel at the counter were incredibly nice and helpful as a first-time customer. I would definitely return.'
Giselle Swann, 2 months ago, 5, 'Amazing! Amazing! AMAZING! The Taco Pizza! The Garlic Knots! The Sandwiches!'
Hana Sherza, 2 months ago, 5, 'Unique and fun options, tastes good too.'
Priestly Canty, 2 months ago, 5, "Saw this as one of the featured places on Giant Foods you have to eat before you die on youtube, so I drove over from Manhattan to try it. Street parking is available, but be advised it's meter parking only. $4.00 max for two hours, and if you use the app, they charge you an extra .35 cents. They are limited on tables. As far as the pizza, it's probably one of the best if not the best slice I've ever tasted in NJ. It's a bit pricey at $10 a slice but I do recommend the Lobster Roll slice. The dough is nice, and soft, loved the crust, loved the taste. I also enjoyed the $hitfaced slice which cost $4.69 per slice. I enjoyed the food so much, I had to order something different to go. I got the winger fries with added chicken. The buffalo sauce gave it an a nice kick it it. I also ordered the Lobster Trap. It was good, but overpriced at $35 for a sub. Overall, great place to go for lunch, or to grab a pie for dinner. They definitely have an assortment to choose from."
Peter Chu, 2 months ago, 4, ''
Beatrice CAI, 2 months ago, 5, ''
Grace L, 2 months ago, 5, ''
jennifer mercado, 2 months ago, 5, 'Traveled all the way from Brooklyn to try their pizza and it was well worth it..'
Jason Freeman, 2 months ago, 5, 'This place is amazing just amazing.'
Ana Lopez-Vera, 2 months ago, 5, 'Great food'
Greg Blank, 2 months ago, 5, 'Very good vegan pizza. Would like to see a thicker crust though so it doesn’t droop when you hold it so much.'
J G, 3 months ago, 1, 'Worst customer service'
Daniella Davidov, 3 months ago, 1, 'I ordered Taco Taco pizza got soda with it and ice machine was out so I got warm soda but that not really the issue while I was eating one of the employees got on the table where the ice machine was with his shoes and the shoes were touching soda dispenser and utilities for the cups. With COVID-19 it’s not sanitary and when I bring this to the attention of the another employee he just laughed at it. Do not recommend buying anything from this place STAY AWAY!!!!'
Fatima Chorres, 3 months ago, 5, "Delicious. I got Boloneys Rex, unfortunately o didn't took a picture but it's worthy to adventure yourself. Tasty and amazing meat. A bit pricey, just so you are aware but really good"
Tiantha Fields, 3 months ago, 3, "I was excited to make the trip from Manhattan and try the specials that I saw on Instagram.  A little disappointed because food prices were higher than advertised, and some of the slices were not what I expected.  The Lobster Trap was overloaded with cheese, and the Lobster portion was not as significant.\nMy sister enjoyed her Giuseppe sandwich that I brought back home, which was a plus.\nThe positive part is if you're looking for vegan options, they have them!"
VAUGHNEVA WRIGHT, 3 months ago, 5, ''
Alberina Hoti, 3 months ago, 3, 'Lobster roll slice was very good! On the other hand, the birria sub wasn’t all that great. If you’re looking for birria to be authentic, try diff spot. Also a bit overpriced but that is to be expected with the location'
Tru Reynolds, 3 months ago, 5, 'Great food and an amazing spot for pictures.'
Zachajewia1110, 3 months ago, 5, "If you aren't a plain slice kind of person this is the place for you. They do vegan slices by the slice as well."
EverythingEmery, 3 months ago, 1, 'Overated and overpriced ,🥲😑😔'
Allison Eberle (Allie E), 3 months ago, 4, ''
Kareem I. Talaat, 3 months ago, 3, 'Foods alright, tons of funky choices which is nice, usually messy and expensive for what your getting'
vallurupalli sivarupesh, 3 months ago, 5, 'Never disappointed in what ever pizza we ate there'
Daniel Lee, 3 months ago, 2, 'Taco pizza was a major letdown, the fusion did not work. As a pizza it’s a letdown (and my slice was stale) and as a taco it left much to be desired; the taco didnt taste good and i would much rather go to taco bell. Also if you eat the tacos first, then your pizza loses its main flavoring. Ridiculously pricey too for what was an incredibly mediocre pizza\n\nI would recommend going to taco bell and pizza hut to make your own ‘taco pizza’.\n\nMaybe i just had a bad slice but in general ill be avoiding novelty food that is only popular bc of instagram'
Sai Mezzi, 3 months ago, 5, ''
gammeelovemusic, 3 months ago, 5, 'Ordered the sandwich and black truffle fries. Surprisingly good! The marinated beef tastes so tender and delicious! Good choice as a supplement for Subway.'
Ian Danquah, 3 months ago, 5, ''
Kimberly Griffith, 3 months ago, 4, ''
faical siraj, 3 months ago, 5, '👍'
Arina G., 3 months ago, 5, 'Always fabulous pizzas, and every time we go there is something new and tasty on their menu. I am not into pizza and this is really the rare once I truly enjoy. One of a kind, always fresh and original👍'
Price W Klockner, 3 months ago, 5, "Relatively expensive for a pizza place, but the specialty slices are awesome. Think individual slices are very big and recommend getting 2. Winger was delish along with the pinky. I want to go back and try the subs because I've heard they're amazing as well."
Anastasia Sal, 3 months ago, 1, 'Ordered 1 slice of taco pizza and asked them how long it would take. They said 15 minutes, and I waited 45 mins before I got my order. I went up 2-3 times and they said the same thing each time, “Just 1-2 more minutes”.  The last time I went up, he said “I’m reheating it right now”. Like excuse me, after 45 minutes you are deciding to heat it now!?! So disappointed! Not worth paying that much to eat 1 hr later.'
Matthew Detetta, 3 months ago, 5, ''
Mo Money, 3 months ago, 5, 'DROVE 2 HRS. pizza was the bomb! Lobster pizza 10/10. taco pizza 10/10. Buffalo pizza 10/10'
TheJokersWrath, 3 months ago, 5, ''
Jason Stephen, 3 months ago, 5, 'This is such an amazing little joint! I’m so happy I stopped by! They have a lot of really cool pizzas with toppings I never would have thought would work on a pizza!\n\nWe tried their famous taco taco taco pizza, the general khan, s#itfaced, and da ruler slices. I really wanted to try the k-pop mic drop but they were already sold out by the time I got there. I think that’s one of their most popular slices.\n\nI thought the taco taco taco was going to just be a gimmick but it actually worked! The 3 full size tacos are all delicious (one steak, one brisket and one chicken) but the steak was my favorite. The retried beans and green sauce on the pizza were very tasty as well! This thing is massive so if you’re on your own this should be enough to fill you up by itself! My favorite was the general khan! The sauce, fried chicken, green onions and sesame seeds all worked really well together. The wontons were a nice touch too!\n\nThere were so many other slices that I wanted to try so I’ll definitely be back! They also have sandwiches and wings if you want something other than pizza. We tried the gochuchang wings and the beeria sandwich, both of which were awesome as well! Highly recommend this place!'
Clarice L, 4 months ago, 4, ''
Spacer Shield, 4 months ago, 5, 'Nice pizzas. Plenty of choices for vegan and vegetarians'
Rooney Avila, 4 months ago, 5, 'Love this place. Imagine a guy from New York who travels to Hoboken to get jersey pizza and made by habibis they def hit a homerun with this place\nThere slices are creative and delicious'
Josh Caves, 4 months ago, 3, ''
Brandon A, 4 months ago, 5, ''
shakor conner, 4 months ago, 5, ''
Jacqueline Aguilar, 4 months ago, 5, 'This pizza place is great! They have so many enticing choices!!! And some out of this world combinations…. I stopped here on a whim and decided to try their classic pepperoni pizza 🍕. Did not disappoint- even the pepperoni pizza had some creamy vodka sauce that gave it a Nice and  subtle twist. Way to go!!! Will definitely be coming back to try other slices, which as decent sizes! Only one filled me up!'
Erica Aborlleile, 4 months ago, 5, 'They have a really cool menu with a lot of options'
Krishna Patel, 4 months ago, 5, ''
Daniel Pino, 4 months ago, 4, "**Outdoor dining during COVID pandemic\n\nFood/drink\n*Jerzey Jezebel (Nashville hot fried chicken, sour dill pickles, smoked mozzarella, dill aioli, purple slaw) on OG AC roll - Good\n*Boloney Rex (bone-in ribeye, sharp smoked white wiz, caveman sauce) on OG AC roll - Very good\n*Puck's Lemonade - good"
Baggys Tech, 4 months ago, 5, ''
Chris Nguyen, 4 months ago, 4, ''
Joe Kaczowski, 4 months ago, 3, 'Large variety of pizza, weird names for the food and expensive.'
Estefany Mya LEE Ortiz, 4 months ago, 5, ''
Maria Polanco, 4 months ago, 5, ''
Josh S, 4 months ago, 3, ''
Tina Williams, 4 months ago, 5, 'Great service. Guys at counter were super nice and helpful as a first time customer there. Would definitely go back again.  Big thumbs up!'
George Ferrell, 4 months ago, 4, ''
Marilyn Isabel, 4 months ago, 5, 'The vegan subs are soooo good!'
Francesca Gene Young, 4 months ago, 5, 'I used to live right above them and never missed the opportunity to try something new - love that they are innovative and unlike other pizzerias in HBKN always come up with something exciting. I like their salads too. Oh, and matzoh ball soup in the winter is my fav! I miss Tony B!'
Rayan Alyusufi, 4 months ago, 4, 'The food is good but the kid who works their got a teenager attitude 🤦🏻\u200d♂️\nThe owner must explain to him that this is not the best way to run a business.'
Dori Shahar, 4 months ago, 5, ''
Peter Gallagher, 4 months ago, 5, ''
Chula’s Channel, 4 months ago, 5, ''
Rennie Jacob, 4 months ago, 1, 'FALSE ADVERTISING at its finest!!! And a complete RIP-OFF!!!\nWhat is advertised on their FB & IG don’t even come close to what you get in real life!!!'
Vinny Blake, 5 months ago, 1, ''
Pete Nice, 5 months ago, 4, ''
Rudy Cobian, 5 months ago, 5, 'Great pizza. Had Pinky outstanding'
Bahaa Al Yafi, 5 months ago, 1, 'First two times was great, till I got a person on the phone that does not care one bit about the customer'
Chinmayi Mungara, 5 months ago, 4, "The pizza was great, as expected. Didn't get to try their famous Taco Pizza so will definitely go back for that"
Jessica McDade, 5 months ago, 5, ''
alFredo Romero, 5 months ago, 2, 'Chicken cutlet was bland , made sloppy. The pizza was okay, 4/10.'
Anton Kovalov, 5 months ago, 4, ''
Faye P., 5 months ago, 1, 'Plastic in Salad, pics are below. Ranch sauce all over the container. What happened guys?you used to be good. This is scary. Also chicken wings and garlic knots are missing from my order.'
R C, 5 months ago, 5, ''
Jacob Yi, 5 months ago, 4, 'Good late night grub. Pizzas are good idk what happened to our sandwiches but it was subpar.'
Delores Goeman, 5 months ago, 5, "First time there we were on our way home from Florida and stopped in. They were very polite and busy which I can understand why there pizza was to die for and loved the wings and parmesan rolls. Wish it was closer to me because I'd be a regular"
Merj Din, 5 months ago, 5, 'Great customer service and fresh food, one of the best places in town!'
Michael Hepler, 5 months ago, 5, ''
Mina Wasfy, 5 months ago, 5, 'Best sandwiches'
Michael Rufino, 5 months ago, 5, "Tony Boloney's is by far one of, if not the best pizzerias in the Tri-State area. It's a must stop: nothing you get will dissapoint."
Fred Chill, 5 months ago, 5, 'Really really good pizza'
julio Mejia, 5 months ago, 5, ''
Stuart Kim, 5 months ago, 5, 'A little pricey but definitely worth it.  You wont find this kind of pizza anywhere else.  The workers were also very friendly!  We had the taco pizza, kpop much drop and Bangkok pizza.  All of them were excellent!'
BARUN ROY, 5 months ago, 5, ''
Erica Gordon, 5 months ago, 5, 'I came here for the first time, met up with an old colleague. Was not let down!!'
SharanyaReddy Pagidi, 5 months ago, 5, 'The mac n cheeze pizza is soooooo good\nLoved it❤️😍❤️😍❤️😍😍😍😍😍🤤🤤🤤🤤🤤🤤🤤'
Brian Almonte, 5 months ago, 5, ''
matthew dogali, 5 months ago, 3, ''
Erik Adelhock, 5 months ago, 5, "Hands down the most unique, flavorful, and outrageous specialty pizza spots I've ever been to. They put tacos on pizza for goodness sake. Lol. A must try"
Paul Fratto, 6 months ago, 2, ''
ZAIDAZAIRA ZAPATA, 6 months ago, 4, '(Translated by Google) Exquisite\n\n(Original)\nExquisitos'
Jason Lopez, 6 months ago, 5, "Can't go wrong with all their crazy toppings"
Sed Bazzle, 6 months ago, 5, 'You have to go here!!!! Anticipate spending $35-45. For each person. Baloney Rex and Monopoly fries. You will thank later!!!'
Thomas G, 6 months ago, 4, 'Average pizza for the area.'
Rachana Urs, 6 months ago, 5, 'One of the best pizza I have ever tasted. Tikka pizza amazing Indian flavors 🙂'
Milica Mila Ristic, 6 months ago, 5, ''
Giovanni Padin, 6 months ago, 5, ''
Mari Melendez, 6 months ago, 4, ''
Elizabeth D'Amato, 6 months ago, 4, 'A great slice. Sub is also good but a little on the messy side for me.'
michael torregrosa, 6 months ago, 5, ''
Ana West, 6 months ago, 3, 'Like most people I have seen the videos of the Boloney Rex and wanted to try, was finally in the area and was able to order it for pick up. I got the Boloney Rex and the Magic fries. The Rex is huge, the meat is very tender, the bread is good and the bone really slides out, but I was not a fan of the sauce it had a weird taste and it ruined the sandwich for me. The fries were amazing and the truffle sauce was very good. Would definitely try other items in the menu next time I am in the area.'
david dejesus, 6 months ago, 5, ''
LunkHead, 6 months ago, 5, 'I ordered a pizza that started fire, but he put it in its place.'
Gabriela Guidozzolo, 6 months ago, 5, ''
GARIMA SINGH, 6 months ago, 5, 'Fantastic'
Alexander Lukyanov, 6 months ago, 5, ''
Glenn Savage, 6 months ago, 5, ''
Miss Sophisticated, 6 months ago, 5, 'Pizza!! Pizza!! Pizza!! I remember coming for these slices but now they have lots of new toppings'
Tommy Wong, 6 months ago, 5, "Loved the pizza's 🍕.. The chicken club was 👍.  The pizza was awesome; the service, and being able to eat in was greatly appreciated. Thanks Tommy"
Vincent J Calcano, 6 months ago, 2, "To expensive..the taste does not equal the value..but that's just my opinion !! Diffenitly not my kind of pizza, it was way to thin and way to burnt for my taste !!"
T.Heath, 7 months ago, 5, 'Food was delicious!!!'
Gloria Shah, 7 months ago, 3, 'Spent $74 on 2 Moonshiner pies. Awesome.\nAlso added 4 garlic knots.\nHad to ask for 2 more sauce cups as they only gave 2 ! !\nThey put it in 2 boxes. One box 12 other box 10 garlic knots. Also the garlic knots was burnt.\nThe guy said 18 knots in 2 boxes.\nCame all the way from Princeton to Hoboken because we love the food.'
VidaAire, 7 months ago, 5, 'Awesome pizza because of unique creations. . . Like, Aye Dios Mio Mac & Cheese pizza (very popular), or Tiki pizza made with curry. Amazing flavors and quality! And they do the same with their sandwiches! Foodies would love this place!'
Paige Romano, 7 months ago, 5, ''
Mounica B, 7 months ago, 2, 'Based on reviews we chose this place and highly disappointed. Pizza was damn greasy. Not tasty. After having this, we quickly rushed to another restaurant to eat some tasty food. Service is ok. Staff can be friendly. Not going back.\nNo safety protocols were in place.'
Annie Vu, 7 months ago, 5, 'The employee at the counter was friendly and made sure my takeout order was correct. A reasonable price for trendy pizza. The slices are thin and floppy, so I had to use 2 hands to eat a slice or fold it up. The Jewish cowboy pizza had a great BBQ brisket taste, and the magic mushroom was a good truffle oil pizza. As I was taking it home, someone in the elevator complimented the pizza without even seeing it!'
Johanna Y, 7 months ago, 5, 'tysm Darwin for taking my order although u guys were closing in 15 minutes, you’re the best!!'
Deborah Olivo, 7 months ago, 5, 'The best pizza anywhere..any place! Cool vibe!'
Raphael Sheikh, 7 months ago, 5, 'Best pizza in town. Tony Boloney’s won’t disappoint. 10/10'
Jared Singer, 7 months ago, 3, ''
Ramy Stein, 7 months ago, 5, 'Amazing food. Definitely making the trip back sometime soon. Service is excellent and staff are all friendly and helpful. Bring your appetite and a napkin or 5!'
V, 7 months ago, 5, ''
Jolyn Villanueva, 7 months ago, 1, "This place would be great if they were consistent. Sometimes you can get really good food from here and sometimes you can get some horrible food. It's a gamble every time I order from here."
Brunilda Vasquez, 7 months ago, 5, ''
Yajaira Compres Moscoso, 7 months ago, 4, ''
cristina marin, 7 months ago, 5, 'One of my favorite pizza places in Hoboken! 100% recommended!'
Lorna Vi, 7 months ago, 3, "Wasn't bad just need better service."
Cynthia, 7 months ago, 2, "I love Tony Baloney's and it's honestly the best pizza I have ever had and I wish we had it here in Ohio. I wanted to bring some of that home so I ordered one of their kits from their site to take a class at home. My order went through twice On 2/2 and I emailed immediate to inquire about cancelling one, 10 days passed and I never received a response. I emailed again, it has now been an additional week and I haven't heard back. I never did receive either kit that I ordered (which were $89 each) and I missed the class. I called on 2/12 and I was told that the owner would get back to me, it is now 2/16 and I have not heard from anyone. To say I am disappointed is an understatement.\n\nUpdate: It is now 2/24 and I have not gotten a response via email or phone regarding my orders. I am out $180 for products I have never received.\n\nUpdate: 3/9. I have received a single pizza making kit and was told I would also receive a refund but I have not as of today.\n\nUpdate 3/16: Still no sign of a refund for either $89 charge.\n\nToday is 4/5/2021: Two months later and my original payments have finally been returned\n\nVisit Tony Baloney's in person. Don't go through what I've been through. The pizza is amazing but the customer service is... anything but."
Laura Bari, 7 months ago, 5, ''
Kimone B, 7 months ago, 4, 'Went for the TRex sandwich it was really good. So much meat! Could have used bigger bread but was great. Seating is a disaster but menu is to die for.'
Nikhil Maheswaraiah, 7 months ago, 4, ''
xcath143x, 7 months ago, 5, 'The best vegan pizza ever with marinara, vegan cheese, fresh pesto basil and eggplant meatballs. So delicious!!'
Dine White, 7 months ago, 3, ''
william dejesus, 7 months ago, 4, 'Delicious'
Biil P, 7 months ago, 5, 'Amazing Pizza and subs'
Edward Hobbs, 7 months ago, 5, 'What else but 5 stars can you put on this place. A ton of options. Very original menu.  Great names. And a taco pizza with tacos on it #mindblown. Great customer service.  A variety of hand crafted sodas. I cant wait to come back. Thanks for making my drive to the city today not so s#%@y 👍😁 YOU GUYS ROCK!!!'
Darren Santo Tomas, 7 months ago, 5, "Thrillst, Insider, and Mikey Chen brought me here.\n\nI have to say, it lives up to the hype.\n\nI ordered two things: the first: the taco, taco, taco pizza. To see that pizza in-person, was like seeing something magical come to life. I've seen it in videos, reactions, and etc. But to eat it myself? Magical. I have to warn you, it is a bit pricey for ONE SLICE (12.50). When I ordered it, I didn't realize the price until my order was totaled.\n\nHowever considering, you are getting a pizza, + guac + 3 very well-made tacos...the price is WORTH IT, and dare I say, A STEAL. (Tony Baloney's, please do not increase the price :/) It was delicious, and although my slice was the last one in per-slice category, it was still BOMB. 10/10\n\nThe second item I ordered were the K-POP fries. These little potatoes were A LOT. This is a good shareable item, especially if your going with someone [a friend/a date] that your not finnicky with, and would share a dish with. WARNING: IT WILL GET MESSY. It has gochujang, cheese, scallions, and sesame seeds on a MASSIVE BED OF FRIES. 10/10\n\nSo all in all? Does it love up to the thrill[ist]]? Absolutely. I need to inquire about the Ramen Pizza, because NO INFORMATION WAS FOUND.\n\nMike (the owner), if you see this, lmk!"
Dave Skirtun, 7 months ago, 5, ''
Ahmad Said, 7 months ago, 5, ''
Nadiyah Dabney, 7 months ago, 5, ''
Robert Rose, 7 months ago, 5, 'Love their unique pizzas.'
MannY Kumi, 8 months ago, 4, 'Five stars if they labeled the food..amazing food though.. Loved it wings were phenomenal'
Robert Spichiger, 8 months ago, 5, ''
Ashley Sanchez, 8 months ago, 4, 'Really good, funky slices. Lots to choose from.'
Kevin King, 8 months ago, 4, 'I saw this place on Instagram and decided to check it out because the food looked delicious on the site and I had to try it out and I can say the food is as good as it looks. The food came out fresh and tasted delicious. The restaurant could be tidy a bit but overall I would come here again for all the delicious foods that they serve.'
Sean Brown, 8 months ago, 4, ''
Rene Laurent, 8 months ago, 4, ''
Nick Brown, 8 months ago, 5, 'Great place amazing food, good customer service, hilarious to watch them answer the phone and say Tony Boloneys 😂'
Greyson Paris, 8 months ago, 5, 'Unique and delicious! You have to try it if you’re in town :)'
Psychic Chevy Chase, 8 months ago, 5, ''
