author, date, rating, text
Jorge Garcia, 8 hours ago, 5, 'Great quality food clean, good service always friendly'
Matthew Sheffield, 3 weeks ago, 5, 'Some of the best pizza I’ve had in Hoboken! Super fresh ingredients, great flavorful crust with a nice char on the bottom. My new go-to spot! Good crispy fries too.'
Adam G., 2 months ago, 5, 'I\'ve tried multiple pizza places in Hoboken, including all of the "famous" places that are supposed to be so good. Each time I\'m disappointed compared to the great pizza at Uptown. My family all agrees that this is the best pizza in Hoboken. Favorites include the vodka pie (we get onions and pepperoni with it) and the standard pie (we love the portobello mushrooms, spinach and garlic with it). Food is good as well. I enjoyed the eggplant, eggplant sub and veggie stromboli. Stay away from the garlic bread.'
Ryan Hart, 5 months ago, 5, "Artie Lange was 100% right. It was one of the best pizzas I've ever had in my life."
stephen shustock, 5 months ago, 5, "I used to frequent this shop almost daily! It's amazingly good and has never disappointed ! I would highly recommend the sicilian style!!! I remember when they were newly opened and it was great then and great now!!!"
X Boone (The FiG), 6 months ago, 4, "Super Tasty, presentation a little gaudy, homely hole in the wall. I ordered a  chicken bacon and ranch Sicilian slice; 'twas fluffy, STACKEd, crunchy, and golden. Hefty, filling, and as visually pleasing as it tastes."
Brandi Burgese, 6 months ago, 5, 'This place is so underrated. Our favorite pizza in hoboken! Yes, better than Napolis! It’s always consistent. Can’t comment on any other dishes but the pizza is 10000% amazing!'
Marquis Rollins, 7 months ago, 5, 'I adore this restaurant very much. there is a very special mood. The cuisine is splendid. the service is efficient and the stuff is professional. The cost is modest. profoundly recommend.'
Ralf274, 8 months ago, 5, 'Great pizza!'
ADE ADE, 10 months ago, 5, 'best pizza store'
chocco escobar zamora, 11 months ago, 5, 'The best'
Josue Collazo, 11 months ago, 5, 'Great spot.. work down the street and definitely my go2!'
Chris Shimmin, 11 months ago, 5, "I'm not sure if I was just hungry or it's because this is the first pizza I've had in a while but it was delicious. 😁 The dough was good. This place deserves more credit."
Isaiah Anderson, a year ago, 5, ''
Bnard O (Bnard), a year ago, 5, ''
Gabriela Espana, a year ago, 5, ''
Janet Ramos, a year ago, 4, 'Pizza was sitting for sometime place back in the oven had no mozz cheese a couple of slices of rock cheese and sauce slap on it overeally price very dissapointed  and very upset'
Bert Dahlman, a year ago, 5, "I'm from the south side of Chicago and i loved the pizza and the pasta. The food was awsome and prices were reasonable."
Yo Sop Shin, a year ago, 5, 'Their sicilians were so good.  Great service and food!'
Stephen Cornwell, a year ago, 4, ''
Walter Cedeno, a year ago, 5, 'Food is out of this world'
Connor Corcoran, 2 years ago, 5, ''
Brian Hornak, 2 years ago, 5, 'Well worth a try..'
Tara Krause, 2 years ago, 5, ''
Katelyn Raspanti, 2 years ago, 2, 'We just ordered tonight to have it delivered to the Sheraton hotel down the street. Extremely disappointed after we had seen all the positive reviews. Our pizza toppings were incorrect, the pizza wasn’t hot, our garlic knots were like ROCKS, and we got a 2 liter of the wrong soda. It was all edible, but not enjoyable. I feel bad for those in Hoboken who think this place is worth it. Would not recommend.'
Oscar, 2 years ago, 5, 'Really good Sicilian slices'
Michael Shanahan, 2 years ago, 4, ''
Eric A, 2 years ago, 1, ''
Crazy_Gamer4579, 2 years ago, 5, ''
Irina, 2 years ago, 5, ''
Adrian Douglas, 2 years ago, 4, 'Never saw this place before. Got some slices the other night and was not disappointed! Dough was on point, not too overcooked. Good size slice too.'
Adair Lopez, 2 years ago, 5, 'Great pizza! The sicilian slices were other worldly! I do recommend this place as a spot to kill hunger!'
manny dominguez, 2 years ago, 5, 'Amazing  pizza. Good Service'
Kettie Pierrilus, 2 years ago, 5, ''
A. Sharif, 2 years ago, 5, "This is the best pizza I've had in Hoboken."
Scott Masaitis, 2 years ago, 5, ''
Xavier Arboleda, 2 years ago, 5, ''
Koffi Amedome, 2 years ago, 5, ''
Roxanne Young, 2 years ago, 3, "The pizza wasn't warm enough"
Mark Cooper, 2 years ago, 5, ''
Saul Perez, 2 years ago, 5, ''
RJ J, 2 years ago, 5, 'This is Artie Lange\'s favorite pizza place. Just look on youtube "artie pizza contest" lol.'
Marcello D'Aureli, 2 years ago, 4, "Great Sicilian pizza, sauce is good but not too sweet and dough is crunchy but not hard. Best in town since Queens. Can speak about regular slices, so I won't. Friendly guys."
Gabriela C., 2 years ago, 4, 'Very good experience for the type of restaurant this is. The waiters are very generous and helpful whenever needed. They also have great pizza and mozzarella sticks!'
sujan shrestha, 2 years ago, 3, ''
Dan Thalas, 2 years ago, 4, ''
Bernd Pfähler, 2 years ago, 5, ''
Nilson Gamboa, 2 years ago, 5, ''
Michael Pizza, 2 years ago, 5, 'First time there and it was the best Pizza I had I Hoboken since I moved here two years ago.'
Michael Wu, 2 years ago, 5, '(Translated by Google) Artie Lange feels me\n\n(Original)\nArtie Lange sent me'
Nicole _, 2 years ago, 5, ''
Carmine Sodora, 2 years ago, 4, ''
Charles Lindberg, 2 years ago, 4, "It's ok!"
Jasmin Pjetrovic, 2 years ago, 5, ''
Albert Zicker, 2 years ago, 5, ''
Latoya Austin, 2 years ago, 5, ''
Franchesca Sinning, 2 years ago, 3, 'great food, but unfortunately if they give you the wrong order and you leave and try to return it, within 5 minutes of getting it, untouched, they just dont refund nor offer you any credit toward a next order. They just kept my 20 bucks!'
Nishansala Medhani Kaluthanthri, 2 years ago, 4, ''
William L, 2 years ago, 5, ''
Rafael irizarry, 2 years ago, 5, ''
Lauren Siev, 2 years ago, 5, 'Dare I say the best Italian in Hoboken? Their Sicilian, penne vodka and eggplant parm are off the charts. Sooo delicious and super fast delivery and very reasonable prices.'
Josefina Mercedes, 2 years ago, 3, ''
Juan Pena, 2 years ago, 5, ''
Otreblig Garcia, 2 years ago, 5, ''
Lenny Grant, 2 years ago, 1, ''
luis cruz, 2 years ago, 4, ''
Rebecca Spirer, 2 years ago, 5, 'Probably my favorite pizza place in Hoboken.  Really good Sicilian pizza'
Bizidy Bizidy, 2 years ago, 5, 'The greatest pizza and the nicest people'
Silvia Roche, 2 years ago, 5, ''
Angel Cardoso, 2 years ago, 5, ''
Tito Bautista, 3 years ago, 3, ''
Michael Roithmayr, 3 years ago, 4, 'If you ever visit Montauk this is definitely a place you want to eat at. A variety of good food, great beer and a good view.'
Elsie Davis, 3 years ago, 5, ''
ismael rojano, 3 years ago, 5, ''
Mark A Marashlian, 3 years ago, 5, ''
Jane Morgan, 3 years ago, 5, ''
William Meier, 3 years ago, 4, ''
T Rex, 3 years ago, 4, 'Good food and the waitresses are soft on the eyes.'
Christol Hendrix, 3 years ago, 5, 'I love their selection of pizza. Their prices are pretty reasonable. And the greeters and cashier is very helpful and hospitable. They have an outside sitting area which is great'
Susan Raynes, 3 years ago, 4, 'Fast, friendly service and good pizza.'
T Rex, 3 years ago, 3, 'Great place to eat,just need more and different kinds of specials.'
Edward Cooper, 3 years ago, 5, 'Best place to get a slice of pizza in Hoboken.'
Salvatore Coladonato, 3 years ago, 4, "Great crust,but light in the seasoning . Not the best sauce.  But when I'm on the 14 street side of Hoboken...its as good as it gets"
raidel vasallo, 3 years ago, 5, 'Great pies. Open late too. Friendly service'
Aquila Thomas, 3 years ago, 4, ''
Feng Jiao, 3 years ago, 5, 'Affordable'
Ryan Lee, 3 years ago, 4, 'Excellent pizza!'
Ricardo Pachon, 3 years ago, 5, "One of the best Sicilian pies I've ever had. When I'm at work we order from Uptown every week cuz it's just so damn good."
Patrick Bateman, 3 years ago, 5, 'This is by far the best pizza I ever had. Not to exaggerate but, I was never so passionate about a pizza place before, this place is amazing! Sauce is great and has that fresh, homemade taste. The cheese is delicious with pieces of fresh mozzerella spread around. Even the crust is great. I plan on trying every slice. Very satisfied, highly recommend.'
Eddie Genao, 3 years ago, 5, ''
Jennifer Gutierrez, 3 years ago, 5, ''
pete pete (pete), 3 years ago, 5, 'The most beautiful girls works there :):):)'
Greedy V2, 3 years ago, 5, ''
Stiven Segura, 3 years ago, 5, 'Great service'
juan vasquez, 3 years ago, 5, 'Great pizza wonderful service and awesome lunch special'
Yulieth Perez, 4 years ago, 5, ''
Christopher Szary, 4 years ago, 5, ''
Andrew Price, 4 years ago, 5, 'Pizza is really awesome. One slice ($3-$4) is enough to fill me up. There are no seats indoors - more of a grab and go place, but they do have seating out on the sidewalk.\n\nTheir other food is okay, but this is a pizzeria so stick with what they do best. If you want a slice of pizza, this place is awesome.'
Coltrane The Czar, 4 years ago, 1, 'Damm , I get here at 9 they say their closed ....'
Morris Goldberg, 4 years ago, 4, 'Good Food .. Great place to grab lunch and sit outside..'
Victor Guillen Febres, 4 years ago, 5, ''
The Chad, 4 years ago, 5, 'My favorite pizza place in the whole NYC Metro region.'
Chick-Fil anus, 4 years ago, 1, 'Worst pizza in Hoboken My order arrived late and cold. The pizza was below average and the service stinks. Stick with Napolis or Grimaldis. Skip Uptown. TERRIBlE!!!!'
Anthony tv247, 4 years ago, 5, ''
Xavier Abreu Cedeno, 4 years ago, 3, 'Good flavor'
paola leon, 4 years ago, 4, ''
j2times2006, 4 years ago, 5, "Artie Lange brought me here. Awesome Sicilian Pizza that's so good you'll start swearing out loud in Italian."
Bo Touchon, 4 years ago, 5, 'Fast, friendly and close to home. Thanks for dinner Uptown. I recommend this pizza pie.'
Wayne Jr, 5 years ago, 5, 'Greatest Sicilian slice I ever had.'
what is this .for real, 5 years ago, 4, 'I was drawn to this place by the delicious aroma emanating from the doors as I drove past. A bit pricey, like everything in Hoboken. But the sauce was delicious. I had a pepperoni slice which at first bite sent my taste buds to heaven but the bland crust soon creeper in and finishing he slice was a bit of a chore.  Again, their sauce is delicious, and I will go back for one of their true Italian dishes when I get time (parking is horrible). Will update review after my next visit. 😀'
itzia santiago, 5 years ago, 5, ''
J D, 6 years ago, 5, ''
Ty Barnes II, 9 years ago, 1, 'Fallen off big time. They use ceap ingredients now.'
Des O'Grady, 10 years ago, 4, ''
