author, date, rating, text
Joseph Aubourg, 3 hours ago, 5, 'Great food'
Sean Connelly, a week ago, 5, ''
Tiffany Lee, a week ago, 5, 'The best place to go with small kids! Great, friendly staff and the food is consistently good!  We have been to this place a lot so that’s a review in and of itself. After having a little one it has been difficult to find places to accommodate having a stroller. Urban has been so amazing with not just having one stroller but accommodating several moms with several strollers.'
Samantha Kopf, a week ago, 4, ''
Ralph Quinones, a week ago, 5, 'Pizza here is amazing, love the pepperoni.'
Young K, 2 weeks ago, 5, 'Love the foods especially the fried calamari and chicken wings!'
Mark K, 3 weeks ago, 5, "Get the margherita pizza... It's perfect!! 🤤"
Ariel Tranquilli, 4 weeks ago, 1, "Called to place an order. The woman clearly didn't speak english that well. After 4 minutes of giving her all my contact info for delivery... I asked if I can upgrade an appetizer to an entrée. She didn't understand my question... got annoyed that she couldn't understand my question then HUNG UP on me. I had to call back 3 times before she'd answer again then she blamed it on being disconnected. CANCELLED my order & didn't bother calling me back. HORRIBLE customer service. The manager wasn't any help either. Been in Hoboken 10 years and I'm a huge foodie, too bad they will not be getting any of my business & I'm happy to tell everyone I welcome into Hoboken about their horrible attitude as well."
Rosa I Ramos, a month ago, 5, 'Our service was amazing and the chicken nuggets!!!'
christian morales, a month ago, 5, ''
Regina Jaslow, a month ago, 5, 'Nice gourmet pizza options!'
Chris Frie, a month ago, 5, ''
Claire Kenyon, a month ago, 4, ''
Ishtiaque Khan, a month ago, 4, ''
K. __, 2 months ago, 3, 'The location is lively and fun to walk around and explore especially on Friday and saturday nights. The restaurant looks nice from the outside, it looks like something you’d find in Manhattan. When we got there we were ignored twice by waiters and hostess. The waiter who served us was kind. The pizza was bland, it lacked a rich flavor and sitting outside made the pizza colder by the second. The spinach artichoke appetizer came in big chunks with barely any cheese in it. Nothing looked appealing nor something that I would want to take a photo of. The fried calamari was good.  The seating arrangement was odd—pushed up against each other; It took away from the private setting of a dinner. Overall, I would not come back here  nor recommended this place to friends. There are much better spots in town just look at the reviews.'
Brad Carr, 2 months ago, 5, 'The pizza was amazing!!!'
Ralf274, 2 months ago, 4, ''
Steven Diaz, 2 months ago, 5, ''
Luis Delgado, 2 months ago, 5, ''
Giovanni Canales, 2 months ago, 5, ''
