author, date, rating, text
Marco Facchiano, a month ago, 5, ''
rahuL islam, 3 months ago, 4, 'Not relevant whiskey collection'
Landy216, 3 months ago, 5, 'Went to this place on a recent visit to Jersey. The young bearded man recommended a wine and beer that were excellent. Great customer service, friendly people.'
Justin Acker, 4 months ago, 5, 'Excellent selection of beers and wines plus friendly service!'
angela santana, 4 months ago, 5, 'I visited the shop today and had the best experience; in spite of the fact, that they did not have the wine I was looking for.  Nevertheless, the owner endeavored to research the wine I wanted and promised to order it, if I decide to go back and purchase it.'
Ginette B, 4 months ago, 5, "They have the super-sized Espolon that I can't find anywhere else."
Pavel Stepanov, 5 months ago, 5, 'The people there are very helpful and nice.'
Rajiv Katara, 5 months ago, 5, 'Great service and selection! The staff is extremely helpful and knowledgeable!'
Western Direct, 5 months ago, 5, 'Joe is extremely helpful and a very nice person. The overall staff is great.'
Christina G, 6 months ago, 5, ''
Lisa Nastawa, 7 months ago, 5, 'This place is great, always friendly helpful staff! Plus, they are always so happy to welcome my pup when I stop by!'
Vito Ellison, 7 months ago, 5, ''
Xinrou Tan, 8 months ago, 5, "Always our go to for wine and liquor. They have a wide selection of all kinds of wine, beer, and liquor. Their prices are fair and they sometimes have special offers for buying more. The people working there are always very helpful whenever I'm there. They carry a lot of locally produced products, which is great!"
Law rah, 8 months ago, 5, 'Amazing selection and super friendly staff! My favorite!'
mike garcia, 9 months ago, 4, 'I made a mistake last rating meant to do a 4 star'
shtetlg, 9 months ago, 5, 'Nice place.  Staff is friendly.  They used to have tastings and samples before covid hit... Hopefully that can happen again.'
Bouvery CV, 9 months ago, 5, ''
Adam Wit, 9 months ago, 5, 'People working here are superstars.'
Constantine Antonakos, 10 months ago, 5, ''
Maria Regina, 10 months ago, 5, 'they are great at recommending new wines to try, selection is top-notch'
Jonathan Pepe, 10 months ago, 5, "Unique selection of wines, beers, and spirits. Usually the first place I look for something high-end or obscure. If they don't have it's they can order it... Very knowledgeable staff. Free delivery in Hoboken, which I recommend."
Sanjay Merchant, 11 months ago, 5, 'Good wines helpful and knowledgeable owner with good and friendly recommendations'
Bobby Kuhfuss, a year ago, 5, ''
sushmanth vaibhav, a year ago, 5, 'Allison here is awesome! She has some great recommendations for red wine enthusiasts, she’s very friendly and helpful while I visited the store, I’m not from the area, but if I happen to drive by, I will sure visit the store and ask for Allison :)\nI will also give her a call for any good suggestions for my next wine adventure!'
Gabriella Yitzhaek, a year ago, 5, 'We always have a wonderful experience at Wine Dad’s, but today’s was particularly great hence the review. The staff is always friendly and very knowledgeable. Jeff was extremely helpful (and really knows his stuff) and assisted us in picking a delicious bottle and Diana was great in the checkout process!'
Danielle DeZao, a year ago, 5, ''
Andrea Gomez, a year ago, 5, ''
Felicity Barber, a year ago, 5, 'Love this place - great recommendations for affordable wines and beer if you ask the staff.'
Kyle Englishman, a year ago, 5, "This place is amazing. I highly recommend shopping here. It's a small store, but they carry a really wide selection. Don't let the name fool you; they carry far more than just wine. They have beer, spirits, liquors, and mixers. The staff are all incredibly helpful. They've given me some great recommendations for things I wouldn't have found on my own, but that I really enjoyed."
Bianca Sampang, a year ago, 5, 'love this place! they are always so nice .. we have been getting delivery since the quarantine started and they always come right away!'
Cj Ninebot, a year ago, 1, 'Place is a complete joke, they list stuff online and can’t update , good places would still Deliver the other items not ask me to add mote to the order, like it’s my problem, very bad management and customer service'
Brian Quinones, a year ago, 3, 'Great selection of wine and beer.  Staff are knowledgeable about the various wines and beers that they carry and are more than willing to assist you with your needs.  Very limited stock of cognac though.'
Nicole Guilbault, a year ago, 5, "Love this place. We came in to find natural wines, most places don't carry a true natural wine. They had a large selection of them and the man that helped us was very knowledgeable about seemingly everything. They offer the right amount of help without constantly being in your face. Lovely place with reasonable prices. They have a lot of local stuff as well."
The Kiara Nicole Way, a year ago, 5, 'I’m from Maryland and was visiting New Jersey for the weekend. This liquor store was near my Air BnB and they were so hospitable and knowledgeable. They helped my friend and I pick out an ale and red wine that definitely did the trick for the night! I didn’t catch the names of the associates but thank you guys so much! Actually on my way back right now lol'
Hannah Eareckson, a year ago, 5, ''
Kyle Douglas Harrison, a year ago, 5, 'Best liquor store in Hoboken, maybe on earth. Wine Dad is an absolute legend.'
Daniela Velasquez, a year ago, 5, 'Friendly and knowledgeable service, great selection of beers (locals and imports) only thing they are missing is delivery, deff recommend them.'
Pavel A, 2 years ago, 4, ''
Tom Doody, 2 years ago, 5, '“Milk won’t solve your problems NIETHER alcohol  will solve your spelling”'
Elisabeth Lenheim, 2 years ago, 4, ''
Chanel Flores, 2 years ago, 5, 'I stopped in on a Friday afternoon, the owner was thorough in helping me choose three natural wines for a dinner party. Wine "snobs" or not, my guests were very impressed! Great prices, selections, and exceptional quality wines. Highly recommend. :)'
Jon Hobart, 2 years ago, 3, ''
Billy D, 2 years ago, 5, ''
Kevin O'Rourke, 2 years ago, 5, 'Great hand selected single barrels available in the store!'
Stacy McCally, 2 years ago, 5, ''
Pablo Neira, 2 years ago, 5, "The best selection of craft beers in Hoboken or north Jersey with no doubt you can found a large variety of trappist abbeys beers from Belgium la trapper, sn bernadinus 12, 6 en regular one just  take your time and go over there the stuff it's very nice and they know a lot about what the are selling."
Walter Pineda, 2 years ago, 5, ''
Matthew Zabiegala, 2 years ago, 5, ''
Silvio Micheloto, 2 years ago, 5, ''
Matthew Benny, 2 years ago, 5, 'Aside from a solid beer selection, probably the nicest group of people you’ll come across.'
Edouard Baudoin, 2 years ago, 5, 'Best place in Hoboken for your booze. Friendly staff - very good advice, going there on a regular basis'
Chance Scheffing, 2 years ago, 5, 'Super stAnd up shop! Selection of wine is amazing!'
Asharah Simpson, 2 years ago, 5, ''
Róbert Busa-Fekete, 2 years ago, 5, 'Cool staff! good selection of beers'
Kevin Meyers, 2 years ago, 5, ''
Mike Pacheco, 2 years ago, 5, ''
Chris Himes, 3 years ago, 5, 'Friendly staff-- very attentive and knowledgeable-- great addition to the neighborhood!'
Steven Montoni, 3 years ago, 5, ''
Adam W., 3 years ago, 5, 'I am down with the new store. Staff is super attentive. Maybe a bit too much if that is possible but I understand their enthusiasm. The store is great. So much to choose from. Prices are excellent. Really excellent and worth the extra few blocks for me.'
Hannah Han, 3 years ago, 5, 'Great store. Nice staff.'
