author, date, rating, text
Luz Morales, 4 weeks ago, 5, 'Best place for food & they deliver.There wings are amazing.They are aways on point with everything.Great customer service also.'
Melly Blanco, a month ago, 5, 'Best food ever 😉I love the meatballs and pizza 🍕'
Jay Aguilar, a month ago, 5, ''
Christopher abramson, a month ago, 5, "BUYER BEWARE!\n\nWhen this food was delivered and I opened the first container I heard cries of despair and anguish from my closet - all of my clothes were openly weeping.\n\nThey all knew they wouldn't fit me for long, because I had found the best wings in the area..."
Lynn Hobson (Money Lynn), 2 months ago, 5, 'This place has THE best lemon pepper wings on the planet! Try them! Whenever I am expecting company, I order a platter of wings to go along with my sides and they are a hit!'
Sarah Linde, 3 months ago, 2, 'Food was not cooked all the way and gave my roommate food poisoning. Go elsewhere!'
Jonny Franco, 5 months ago, 5, 'Nice guy, took my order even though they closed. Thank you, good food.'
Og Han Solo, 6 months ago, 5, ''
Abinesh kumar K, 6 months ago, 2, 'I was there to get a "Too Good to go" order, but they gave a slice of pizza and 2 garlic knots for 4$ I paid on the "too goo to go" app.\n\nI am sure a slice of pizza doesn\'t cost 4$.\n\nThey are making money off of the Too good to go app,instead of keeping the word of giving items worth about 10$-15$ for 4$ because they are too good to go.'
Steven Normandia, 6 months ago, 1, 'I brought a slice of pizza and found hair on it. Also place was very dirty.and Horrible service.I wouldn’t recommend this place.'
Vanessa Santiago, 8 months ago, 5, ''
Louis Dapron, 10 months ago, 4, ''
Jeannette Calle, 10 months ago, 5, 'Our family favorite for mild wings and fries.'
Stephanie Matos, a year ago, 1, 'Tried a slice mozzerella sticks boneless chicken and seasoned fries... Everything was blah.. No flavor or soggy.. Wasted like 25 bucks smh.. Not a go to at all..'
Stuart Smith, a year ago, 5, ''
Matia Peebles, a year ago, 5, ''
Susana Santiago, a year ago, 5, ''
Meilani Shuler, a year ago, 5, 'Yummy.. good customer service'
Monika F, a year ago, 5, 'The best 👍'
sandra Santiago, a year ago, 5, 'Best pizza and wings place ever .... they make sure to keep\nTheir customers safe ..cashier wears mask and gloves ..they keep their 6t distance'
juan vasquez, a year ago, 5, 'Great wings'
reynaldo diaz, a year ago, 4, ''
Julio R, a year ago, 5, 'Variety of food, quick to order and not a long time to wait. My quick to go place for lunch.'
James Foley, a year ago, 4, ''
Alexander Orellana, a year ago, 5, ''
Piyush Devikar, a year ago, 5, ''
Andres Romero, 2 years ago, 5, ''
ashish anand, 2 years ago, 4, 'Nice wings'
Todd Lindquist, 2 years ago, 4, 'Good!'
Albert Stone, 2 years ago, 5, 'Delicious wings'
Mike Porter, 2 years ago, 3, 'Overpriced but good wings'
Scott Lamond, 2 years ago, 3, 'Expected better, but was ok'
Matthew Berkery, 2 years ago, 1, 'Their “chicken” tastes like a sponge'
Vicky Bonilla, 2 years ago, 2, ''
Michael Spiering, 2 years ago, 2, 'Soggy and un interesting. :('
Ivan Velez, 2 years ago, 3, ''
Matthew Witter, 2 years ago, 1, ''
Jose Savedra, 2 years ago, 1, ''
Carolina Deleon, 2 years ago, 5, ''
Robert Smith, 2 years ago, 1, "The entire place is gross. I'm not a picky eater either. No sauce on the pizza, which looked old from the get go, wings were really plain. Shouldn't have to rely on sauces for good wings. Not a fan and will not go back. Fyi, gave the place 3 tries, months apart, same result."
Vivek kumar, 2 years ago, 3, ''
Martha fernandez, 2 years ago, 5, "Love all the wing sauce flavors, the place feels a tad bit small, but homey and very chill. The Wings taste as fresh as I've ever tasted! Probably the best wing place in Hoboken!!"
Yesenia Rivera, 2 years ago, 5, ''
