author, date, rating, text
R Savalia, a week ago, 5, 'Great spot that was fairly empty on a weekday night. It’s BYOB for free and even has some outdoor seating.'
Anthony Berritto, a month ago, 5, ''
Nancy Meyers, a month ago, 5, ''
Shail Lakhani, a month ago, 5, 'Very authentic Italian food with a great ambience! Loved every dish! Would recommend the bolognese, perfect balance of flavours. For dessert, it’s one of the better tiramisu’s that I have had. It is a byob place, so make sure you bring your wine along! The staff are very friendly and will give you amazing recommendations. Would go back here for sure!'
Ilva Mane, a month ago, 5, 'Spinach Ravioli - an out of this world experience!!! Look no further for true authentic Italian food🤤🤤'
Vinay Ramkrishnan, a month ago, 5, ''
totof z, 2 months ago, 5, 'Best pizza in the USA I have had! As good as in Italy...wonderful pasta and anything else really.\nGood pricing plus a BYOB and wine with no charge.... place to go in Hoboken for sure'
Cyr & Associates, 2 months ago, 5, 'I’ve been here a few times now and I’m impressed. One of the better Hoboken Italian spots. It’s authentic, fresh ingredients, and clean.\n\nI would recommend the seafood fried platter to begin. Calamari, shrimp, and peppers. I only have one gripe, no tentacles but hey still amazing and plentiful. I’ve had similar starters at many other area restaurants and theirs is “the best.”\n\nFor entrees, their pasta dishes or the Branzino are also quite good. We’ve had the fusilli with shrimp in a cream sauce. You will not be disappointed.\n\nThey are BYOB, liquor store on next block is a hop. Just a nice relaxing meal with beautifully presented plates and service.'
Richard Seickendick, 4 months ago, 5, ''
Vladislava Kursheva, 4 months ago, 5, 'Menu 🤍\nFood is delicious'
İpek Yarar, 5 months ago, 1, "Hoboken is the perfect place. A restaurant that doesn't deserve to be there. a terrible place"
A Mes, 5 months ago, 5, '(Translated by Google) Great very well thank you!\n\n(Original)\nGreat molto bene grazie !'
PAULA MEDINA, 6 months ago, 5, ''
Eduardo Garcia, 6 months ago, 5, 'Thank you for excellent dinner. I enjoyed it a lot👍'
Emily Ng, 6 months ago, 2, 'The food was pretty good but I asked for bread three times and never got it. We were also rushed out just like the other reviewers'
Todd Pantuso, 7 months ago, 4, ''
